Coluna;Região Natural
CNAE 2.0 Subclasse;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
Cultivo de manga;6;13534;536;0;18
Cultivo de pêssego;2;0;353;145;0
Cultivo de frutas de lavoura permanente não especificadas anteriormente;345;6469;6540;2016;396
Cultivo de café;217;6502;78689;843;460
Cultivo de cacau;227;7393;657;0;5
Cultivo de chá-da-índia;0;0;65;0;0
Cultivo de erva-mate;0;1;0;440;0
Cultivo de pimenta-do-reino;525;144;713;0;1
Cultivo de plantas para condimento, exceto pimenta-do-reino;7;22;116;6;137
Cultivo de dendê;8075;80;4;0;6
Cultivo de seringueira;703;416;1245;7;1723
Cultivo de outras plantas de lavoura permanente não especificadas anteriormente;352;1861;2893;894;345
Produção de sementes certificadas, exceto de forrageiras para pasto;539;1741;7844;4037;6609
Produção de sementes certificadas de forrageiras para formação de pasto;6;290;1243;96;1027
Produção de mudas e outras formas de propagação vegetal, certificadas;334;1406;6035;1010;582
Criação de bovinos para corte;51750;30818;78257;26343;114596
Criação de bovinos para leite;4287;7930;47797;7131;13167
Criação de bovinos, exceto para corte e leite;1680;3160;4760;1251;4415
Criação de bufalinos;360;131;391;84;99
Criação de eqüinos;210;1160;5804;1075;582
Criação de asininos e muares;16;49;177;13;82
Criação de caprinos;42;426;183;60;19
Criação de ovinos, inclusive para produção de lã;11;397;438;625;88
Criação de suínos;164;2326;12233;14655;5671
Criação de frangos para corte;5913;13057;8820;3508;3539
Produção de pintos de um dia;1074;1836;7739;7947;1574
Criação de outros galináceos, exceto para corte;167;1286;1094;2357;1061
Criação de aves, exceto galináceos;213;1175;1425;1473;572
Produção de ovos;2008;15516;21957;12104;7468
Apicultura;28;169;909;116;39
Criação de animais de estimação;12;127;319;53;36
Criação de escargô;0;0;1;0;3
Criação de bicho-da-seda;0;0;1;4;0
Criação de outros animais não especificados anteriormente;199;755;2421;585;492
Serviço de pulverização e controle de pragas agrícolas;351;508;2866;1577;2071
Serviço de poda de árvores para lavouras;56;305;959;718;252
Serviço de preparação de terreno, cultivo e colheita;1315;8576;30104;9605;10477
Atividades de apoio à agricultura não especificadas anteriormente;5527;13433;40845;18609;15529
Serviço de inseminação artificial em animais;52;87;372;87;168
Serviço de tosquiamento de ovinos;2;7;14;9;5
Serviço de manejo de animais;805;1043;2140;2083;1676
Atividades de apoio à pecuária não especificadas anteriormente;1629;2690;8209;6818;3395
Atividades de pós-colheita;365;2610;4478;5819;3848
Caça e serviços relacionados;1;14;9;9;7
Cultivo de eucalipto;1340;1982;16024;2372;6520
Cultivo de acácia-negra;0;3;5;41;0
Cultivo de pinus;7;0;1087;7048;77
Cultivo de teca;91;0;20;0;528
Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca;104;157;279;49;26
Cultivo de mudas em viveiros florestais;701;1023;3779;2029;1541
Extração de madeira em florestas plantadas;504;2790;7375;7124;5056
Produção de carvão vegetal - florestas plantadas;634;2617;10152;552;721
Produção de casca de acácia-negra - florestas plantadas;0;2;5;7;0
Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas;12;258;2848;1417;78
Extração de madeira em florestas nativas;1406;102;52;93;863
Produção de carvão vegetal - florestas nativas;361;489;40;7;323
Coleta de castanha-do-pará em florestas nativas;37;0;0;1;0
Coleta de látex em florestas nativas;24;23;56;12;57
Coleta de palmito em florestas nativas;0;0;71;10;0
Conservação de florestas nativas;106;39;356;68;62
Coleta de produtos não-madeireiros não especificados anteriormente em florestas nativas;4;399;285;285;2
Atividades de apoio à produção florestal;3238;7464;20764;8327;5726
Pesca de peixes em água salgada;233;437;1172;2703;0
Pesca de crustáceos e moluscos em água salgada;116;401;40;130;0
Coleta de outros produtos marinhos;0;3;6;3;0
Atividades de apoio à pesca em água salgada;4;50;200;110;1
Pesca de peixes em água doce;63;81;138;195;57
Pesca de crustáceos e moluscos em água doce;0;0;0;0;0
Coleta de outros produtos aquáticos de água doce;0;6;9;0;0
Atividades de apoio à pesca em água doce;17;36;16;15;38
Criação de peixes em água salgada e salobra;4;90;8;6;3
Criação de camarões em água salgada e salobra;34;6921;52;22;10
Criação de ostras e mexilhões em água salgada e salobra;0;45;5;69;0
Criação de peixes ornamentais em água salgada e salobra;0;12;29;0;0
Atividades de apoio à aqüicultura em água salgada e salobra;0;201;10;1;0
Cultivos e semicultivos da aqüicultura em água salgada e salobra não especificados anteriormente;1;106;20;6;3
Criação de peixes em água doce;687;1055;2560;1026;1169
Criação de camarões em água doce;0;617;19;3;0
Criação de ostras e mexilhões em água doce;0;0;0;2;0
Criação de peixes ornamentais em água doce;45;68;126;39;7
Ranicultura;0;0;6;2;1
Criação de jacaré;0;0;4;0;23
Atividades de apoio à aqüicultura em água doce;16;168;21;21;11
Cultivos e semicultivos da aqüicultura em água doce não especificados anteriormente;29;171;61;31;35
Extração de carvão mineral;0;0;24;2539;18
Beneficiamento de carvão mineral;0;33;159;498;2
Extração de petróleo e gás natural;398;6438;18192;43;0
Extração e beneficiamento de xisto;0;0;0;217;0
Extração e beneficiamento de areias betuminosas;0;9;4;10;9
Extração de minério de ferro;13339;443;48675;0;2188
Pelotização, sinterização e outros beneficiamentos de minério de ferro;2;330;5039;8;0
Extração de minério de alumínio;4267;0;281;3;16
Beneficiamento de minério de alumínio;0;0;367;38;419
Extração de minério de estanho;623;0;0;0;11
Beneficiamento de minério de estanho;131;0;0;0;0
Extração de minério de manganês;436;33;224;0;835
Beneficiamento de minério de manganês;1;1;19;0;0
Extração de minério de metais preciosos;2039;1796;6476;334;6694
Beneficiamento de minério de metais preciosos;15;1952;396;0;1611
Extração de minerais radioativos;0;275;94;0;0
Extração de minérios de nióbio e titânio;33;30;288;0;131
Extração de minério de tungstênio;1;305;0;0;0
Extração de minério de níquel;1161;647;71;0;73
Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente;6438;3219;2214;0;1220
Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente;374;1381;618;0;315
Extração de ardósia e beneficiamento associado;9;14;735;35;1
Extração de granito e beneficiamento associado;55;3487;4769;302;96
Extração de mármore e beneficiamento associado;0;604;625;146;68
Extração de calcário e dolomita e beneficiamento associado;1336;1505;2501;2129;3140
Extração de gesso e caulim;284;727;156;77;0
Extração de areia, cascalho ou pedregulho e beneficiamento associado;981;2028;8821;3773;1789
Extração de argila e beneficiamento associado;127;402;866;343;100
Extração de saibro e beneficiamento associado;4;5;127;345;0
Extração de basalto e beneficiamento associado;0;63;1388;959;337
Beneficiamento de gesso e caulim associado à extração;411;223;45;22;16
Extração e britamento de pedras e outros materiais para construção e beneficiamento associado;1323;6638;13132;7261;2260
Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos;328;1552;2698;686;1766
Extração de sal marinho;0;2520;490;0;0
Extração de sal-gema;0;14;0;0;0
Refino e outros tratamentos do sal;0;2223;4;347;37
Extração de gemas (pedras preciosas e semipreciosas);28;362;613;9;6
Extração de grafita;0;106;921;0;0
Extração de quartzo;47;319;486;0;15
Extração de amianto;0;0;7;0;484
Extração de outros minerais não-metálicos não especificados anteriormente;105;2832;3797;1100;459
Atividades de apoio à extração de petróleo e gás natural;326;6308;32292;125;1
Atividades de apoio à extração de minério de ferro;256;203;1060;0;11
Atividades de apoio à extração de minerais metálicos não-ferrosos;355;81;159;22;422
Atividades de apoio à extração de minerais não-metálicos;2;472;705;554;178
Frigorífico - abate de bovinos;37258;9341;41618;18383;63975
Frigorífico - abate de eqüinos;0;144;0;110;0
Frigorífico - abate de ovinos e caprinos;2;65;77;168;9
Frigorífico - abate de bufalinos;0;0;0;0;0
Matadouro - abate de reses sob contrato, exceto abate de suínos;960;972;1358;347;411
Abate de aves;2167;14343;55183;168939;31945
Abate de pequenos animais;0;1197;259;315;111
Frigorífico - abate de suínos;893;36;16814;88266;25151
Matadouro - abate de suínos sob contrato;1;4;175;4;2
Fabricação de produtos de carne;1213;6597;40248;17847;5507
Preparação de subprodutos do abate;1275;709;3863;4836;2691
Preservação de peixes, crustáceos e moluscos;1794;2165;3269;5113;941
Fabricação de conservas de peixes, crustáceos e moluscos;1203;3346;3368;6980;754
Fabricação de conservas de frutas;5865;10744;8107;5399;2300
Fabricação de conservas de palmito;351;194;435;452;11
Fabricação de conservas de legumes e outros vegetais, exceto palmito;39;266;3557;2599;2863
Fabricação de sucos concentrados de frutas, hortaliças e legumes;776;4649;9878;1720;104
Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados;489;1621;2520;1497;368
Fabricação de óleos vegetais em bruto, exceto óleo de milho;7424;1448;4263;9486;9874
Fabricação de óleos vegetais refinados, exceto óleo de milho;1021;1163;4290;345;3225
Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais;151;814;1065;1195;160
Preparação do leite;1043;1622;6720;4632;855
Fabricação de laticínios;4108;12097;47552;25897;8747
Fabricação de sorvetes e outros gelados comestíveis;2191;8308;13685;6180;2818
Beneficiamento de arroz;1826;1453;3508;13575;2822
Fabricação de produtos do arroz;0;104;32;517;72
Moagem de trigo e fabricação de derivados;622;9442;5763;10022;1416
Fabricação de farinha de mandioca e derivados;147;629;1200;2723;174
Fabricação de farinha de milho e derivados, exceto óleos de milho;294;5577;1590;1304;1434
Fabricação de amidos e féculas de vegetais;50;1050;3283;4107;1164
Fabricação de óleo de milho em bruto;0;0;0;101;2
Fabricação de óleo de milho refinado;0;0;0;0;0
Fabricação de alimentos para animais;3959;10879;33193;24407;11343
Moagem e fabricação de produtos de origem vegetal não especificados anteriormente;162;5150;8877;4968;1332
Fabricação de açúcar em bruto;0;77092;147787;17175;24212
Fabricação de açúcar de cana refinado;0;4282;958;62;55
Fabricação de açúcar de cereais (dextrose) e de beterraba;0;0;0;0;0
Beneficiamento de café;75;131;627;83;81
Torrefação e moagem de café;514;5465;7405;611;1235
Fabricação de produtos à base de café;0;0;1649;1430;0
Fabricação de produtos de panificação;0;4;0;0;0
Fabricação de produtos de panificação industrial;3173;16223;48456;20489;6145
Fabricação de produtos de padaria e confeitaria com predominância de produção própria;7514;43468;88141;31817;15985
Fabricação de biscoitos e bolachas;1332;11928;20929;9703;2442
Fabricação de produtos derivados do cacau e de chocolates;190;2344;17589;6691;207
Fabricação de frutas cristalizadas, balas e semelhantes;35;1120;7602;5597;37
Fabricação de massas alimentícias;364;8293;20709;9803;1738
Fabricação de especiarias, molhos, temperos e condimentos;876;2115;9349;2543;2407
Fabricação de alimentos e pratos prontos;524;1915;11358;5211;1493
Fabricação de vinagres;52;560;680;238;1
Fabricação de pós alimentícios;215;67;3566;1710;1038
Fabricação de fermentos e leveduras;0;76;1854;119;0
Fabricação de gelo comum;1146;2057;2991;749;692
Fabricação de produtos para infusão (chá, mate, etc.);6;206;258;3133;38
Fabricação de adoçantes naturais e artificiais;0;0;14;83;288
Fabricação de alimentos dietéticos e complementos alimentares;21;452;5531;978;128
Fabricação de outros produtos alimentícios não especificados anteriormente;1741;10260;47854;16698;6028
Fabricação de aguardente de cana-de-açúcar;48;2545;2895;553;226
Fabricação de outras aguardentes e bebidas destiladas;55;590;2667;415;135
Fabricação de vinho;48;1159;1528;4595;89
Fabricação de malte, inclusive malte uísque;0;0;80;614;0
Fabricação de cervejas e chopes;1377;7923;24380;6208;2525
Fabricação de águas envasadas;1715;10617;8668;3015;1942
Fabricação de refrigerantes;4969;11427;13467;8768;7826
Fabricação de chá mate e outros chás prontos para consumo;0;87;47;167;0
Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas;157;820;6728;159;110
Fabricação de bebidas isotônicas;0;0;0;1;1
Fabricação de outras bebidas não-alcoólicas não especificadas anteriormente;267;414;614;128;18
Processamento industrial do fumo;0;1228;0;4770;1
Fabricação de cigarros;0;252;2395;838;30
Fabricação de cigarrilhas e charutos;0;384;514;24;0
Fabricação de filtros para cigarros;0;0;39;0;0
Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos;0;425;443;663;130
Preparação e fiação de fibras de algodão;9;8420;4368;7737;2138
Preparação e fiação de fibras têxteis naturais, exceto algodão;1294;1687;1156;682;3
Fiação de fibras artificiais e sintéticas;0;2109;4616;2563;0
Fabricação de linhas para costurar e bordar;0;180;2479;1910;3
Tecelagem de fios de algodão;2;9514;13000;6116;383
Tecelagem de fios de fibras têxteis naturais, exceto algodão;355;256;510;319;13
Tecelagem de fios de fibras artificiais e sintéticas;16;4076;10903;3742;359
Fabricação de tecidos de malha;1;2394;8444;13988;84
Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário;309;1244;7477;4046;332
Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário;0;1686;2842;9007;289
Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário;83;1106;3545;4309;339
Fabricação de artefatos têxteis para uso doméstico;133;6586;19495;13008;1910
Fabricação de artefatos de tapeçaria;60;862;5352;770;468
Fabricação de artefatos de cordoaria;19;642;1644;2125;60
Fabricação de tecidos especiais, inclusive artefatos;116;2762;11139;4673;169
Fabricação de outros produtos têxteis não especificados anteriormente;530;3893;30397;9330;1438
Confecção de roupas íntimas;289;16905;30982;7025;2815
Facção de roupas íntimas;46;5240;1452;354;252
Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida;1518;58073;132379;110444;14441
Confecção, sob medida, de peças do vestuário, exceto roupas íntimas;565;3816;15727;4333;1248
Facção de peças do vestuário, exceto roupas íntimas;106;8035;15676;26919;2906
Confecção de roupas profissionais, exceto sob medida;1279;4249;10921;4867;1653
Confecção, sob medida, de roupas profissionais;498;1309;3076;853;577
Facção de roupas profissionais;82;590;1250;680;163
Fabricação de acessórios do vestuário, exceto para segurança e proteção;57;2935;3008;4460;255
Fabricação de meias;0;2517;8630;1420;4
Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias;425;844;5197;5363;2037
Curtimento e outras preparações de couro;2255;2115;8239;11989;6706
Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material;42;1417;5534;4681;252
Fabricação de artefatos de couro não especificados anteriormente;246;1936;3972;1963;492
Fabricação de calçados de couro;1058;55927;20271;34333;1232
Acabamento de calçados de couro sob contrato;3;502;2489;14297;2
Fabricação de tênis de qualquer material;0;4324;5593;890;237
Fabricação de calçados de material sintético;10;32858;11131;19214;920
Fabricação de calçados de materiais não especificados anteriormente;4;29927;11505;4091;94
Fabricação de partes para calçados, de qualquer material;0;3263;8072;10575;152
Serrarias com desdobramento de madeira (Desativado);0;0;0;0;0
Serrarias sem desdobramento de madeira (Desativado);0;0;0;0;0
Serrarias com desdobramento de madeira em bruto;9835;751;7982;31209;6392
Serrarias sem desdobramento de madeira em bruto  Resserragem;1446;392;2080;2846;1255
Serviço de tratamento de madeira realizado sob contrato;52;64;771;513;97
Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada;3072;57;6585;24748;1523
Fabricação de casas de madeira pré-fabricadas;12;12;136;123;10
Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais;749;2590;3196;13578;764
Fabricação de outros artigos de carpintaria para construção;31;802;1804;932;342
Fabricação de artefatos de tanoaria e de embalagens de madeira;160;1605;9395;5490;329
Fabricação de artefatos diversos de madeira, exceto móveis;998;1668;8938;10612;1186
Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis;10;84;634;257;33
Fabricação de celulose e outras pastas para a fabricação de papel;676;4583;7100;4636;6026
Fabricação de papel;648;1886;16725;21014;1077
Fabricação de cartolina e papel-cartão;0;0;1366;1715;0
Fabricação de embalagens de papel;301;4151;14234;8600;1170
Fabricação de embalagens de cartolina e papel-cartão;123;874;8303;3091;36
Fabricação de chapas e de embalagens de papelão ondulado;1805;3743;23123;10103;652
Fabricação de formulários contínuos;3;0;113;114;129
Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório, exceto formulário contínuo;922;1868;11419;6299;932
Fabricação de fraldas descartáveis;0;701;6117;1911;906
Fabricação de absorventes higiênicos;0;229;148;4;0
Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente;386;2103;5579;5623;70
Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente;733;458;6393;3852;653
Impressão de jornais;154;585;649;232;174
Impressão de livros, revistas e outras publicações periódicas;145;1528;10235;2040;1195
Impressão de material de segurança;160;1503;5642;819;285
Impressão de material para uso publicitário;1676;6763;13465;5942;2447
Impressão de material para outros usos;756;3660;15200;8425;1653
Serviços de pré-impressão;368;1171;6494;1534;590
Serviços de acabamentos gráficos (Desativado);0;0;0;0;0
Serviços de encadernação e plastificação;16;271;722;112;147
Serviços de acabamentos gráficos, exceto encadernação e plastificação;532;1167;5286;1259;405
Reprodução de som em qualquer suporte;43;1;217;15;0
Reprodução de vídeo em qualquer suporte;102;2;30;36;0
Reprodução de software em qualquer suporte;40;194;654;266;101
Coquerias;0;0;337;7;0
Fabricação de produtos do refino de petróleo;412;2753;22562;2155;32
Formulação de combustíveis;0;0;39;37;4
Rerrefino de óleos lubrificantes;228;4;2317;142;4
Fabricação de outros produtos derivados do petróleo, exceto produtos do refino;6;382;4898;347;47
Fabricação de álcool;2521;23834;59250;4563;49862
Fabricação de biocombustíveis, exceto álcool;904;793;466;2108;1235
Fabricação de cloro e álcalis;0;623;529;180;0
Fabricação de intermediários para fertilizantes;297;187;3058;215;274
Fabricação de adubos e fertilizantes (Desativado);0;0;0;0;0
Fabricação de adubos e fertilizantes organominerais;330;268;3907;2812;739
Fabricação de adubos e fertilizantes, exceto organominerais;1385;5091;15902;11868;4425
Fabricação de gases industriais;470;773;3616;749;227
Elaboração de combustíveis nucleares;0;0;710;0;0
Fabricação de outros produtos químicos inorgânicos não especificados anteriormente;58;1046;6467;1315;284
Fabricação de produtos petroquímicos básicos;5;1305;1648;817;243
Fabricação de intermediários para plastificantes, resinas e fibras;0;481;649;65;2
Fabricação de produtos químicos orgânicos não especificados anteriormente;61;1359;11335;2802;244
Fabricação de resinas termoplásticas;957;1825;5139;1930;0
Fabricação de resinas termofixas;0;47;1909;629;2
Fabricação de elastômeros;1;41;736;787;0
Fabricação de fibras artificiais e sintéticas;19;769;1679;377;344
Fabricação de defensivos agrícolas;4;1033;9115;2286;364
Fabricação de desinfestantes domissanitários;42;151;1428;801;330
Fabricação de sabões e detergentes sintéticos;967;6694;11869;3451;1703
Fabricação de produtos de limpeza e polimento;1054;7839;16586;2894;1253
Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal;578;5838;38326;8189;3457
Fabricação de tintas, vernizes, esmaltes e lacas;661;3880;17630;6592;1633
Fabricação de tintas de impressão;1;10;2167;343;0
Fabricação de impermeabilizantes, solventes e produtos afins;4;346;2227;634;58
Fabricação de adesivos e selantes;176;265;3648;1923;43
Fabricação de pólvoras, explosivos e detonantes;361;141;1846;1481;208
Fabricação de artigos pirotécnicos;0;4;2385;0;0
Fabricação de fósforos de segurança;0;0;0;1068;0
Fabricação de aditivos de uso industrial;105;750;11658;1911;162
Fabricação de catalisadores;0;0;586;33;0
Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia;219;0;287;0;3
Fabricação de outros produtos químicos não especificados anteriormente;745;2152;24617;8374;550
Fabricação de produtos farmoquímicos;50;528;2777;417;593
Fabricação de medicamentos alopáticos para uso humano;1304;5584;69596;7906;18017
Fabricação de medicamentos homeopáticos para uso humano;10;2;307;70;45
Fabricação de medicamentos fitoterápicos para uso humano;4;180;305;358;1
Fabricação de medicamentos para uso veterinário;1;256;9860;1201;291
Fabricação de preparações farmacêuticas;0;152;1502;739;23
Fabricação de pneumáticos e de câmaras-de-ar;1543;5303;18194;5711;20
Reforma de pneumáticos usados;1184;3185;6980;4475;1983
Fabricação de artefatos de borracha não especificados anteriormente;594;3020;34313;10251;802
Fabricação de laminados planos e tubulares de material plástico;730;2555;11357;5385;865
Fabricação de embalagens de material plástico;6677;20051;81312;42264;6791
Fabricação de tubos e acessórios de material plástico para uso na construção;262;2598;6511;6017;831
Fabricação de artefatos de material plástico para uso pessoal e doméstico;520;6696;23478;9042;313
Fabricação de artefatos de material plástico para usos industriais;5374;2810;39113;20272;171
Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios;430;3497;7887;8088;706
Fabricação de artefatos de material plástico para outros usos não especificados anteriormente;1676;5200;42716;21359;1101
Fabricação de vidro plano e de segurança;1149;2019;13181;2979;1299
Fabricação de embalagens de vidro;0;785;6245;605;0
Fabricação de artigos de vidro;356;2456;10377;5952;390
Fabricação de cimento;1054;4081;8665;2386;2157
Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda;2515;11607;15044;13191;5259
Fabricação de artefatos de cimento para uso na construção;1019;5271;16606;10770;3735
Fabricação de artefatos de fibrocimento para uso na construção;408;460;1855;1707;359
Fabricação de casas pré-moldadas de concreto;17;2;258;77;88
Preparação de massa de concreto e argamassa para construção;1242;2975;11898;6937;2287
Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;1277;3314;6897;4013;1684
Fabricação de produtos cerâmicos refratários;210;827;6949;603;253
Fabricação de azulejos e pisos;10;4956;16751;8503;22
Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos;7959;27215;22692;9098;5520
Fabricação de material sanitário de cerâmica;0;3160;6001;1;0
Fabricação de produtos cerâmicos não-refratários não especificados anteriormente;94;966;6904;3943;242
Britamento de pedras, exceto associado à extração;77;447;1017;366;146
Aparelhamento de pedras para construção, exceto associado à extração;71;435;3512;695;184
Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras;929;6701;29361;8127;3284
Fabricação de cal e gesso;36;2420;3965;1965;94
Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal;28;560;4240;716;107
Fabricação de abrasivos;12;2;749;181;0
Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente;413;3084;15007;2567;745
Produção de ferro-gusa;1188;732;10226;0;1044
Produção de ferroligas;75;1803;9817;4;2071
Produção de semi-acabados de aço;44;2766;4076;109;5
Produção de laminados planos de aço ao carbono, revestidos ou não;691;108;28208;883;336
Produção de laminados planos de aços especiais;0;4;3318;16;2
Produção de tubos de aço sem costura;0;0;4743;34;200
Produção de laminados longos de aço, exceto tubos;2280;2777;19133;2604;107
Produção de arames de aço;0;601;3663;266;164
Produção de relaminados, trefilados e perfilados de aço, exceto arames;229;903;6125;743;510
Produção de tubos de aço com costura;729;2698;6893;1768;176
Produção de outros tubos de ferro e aço;15;145;2113;226;25
Produção de alumínio e suas ligas em formas primárias;3996;4903;9277;874;157
Produção de laminados de alumínio;0;947;6622;2101;83
Metalurgia dos metais preciosos;1410;7;297;32;1
Metalurgia do cobre;32;473;3723;335;261
Produção de zinco em formas primárias;0;0;1525;48;0
Produção de laminados de zinco;0;12;26;6;6
Produção de soldas e ânodos para galvanoplastia;0;0;106;5;4
Metalurgia de outros metais não-ferrosos e suas ligas não especificados anteriormente;1762;580;3502;1635;47
Fundição de ferro e aço;86;572;19777;21955;46
Fundição de metais não-ferrosos e suas ligas;594;133;11222;1942;163
Fabricação de estruturas metálicas;3379;7679;28317;17681;5820
Fabricação de esquadrias de metal;835;9049;27171;19520;5072
Fabricação de obras de caldeiraria pesada;540;2885;13442;1995;414
Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central;214;921;4217;1810;405
Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos;1;31;2685;771;7
Produção de forjados de aço;0;94;1972;1268;18
Produção de forjados de metais não-ferrosos e suas ligas;0;26;755;149;34
Produção de artefatos estampados de metal;1533;985;16015;7261;1240
Metalurgia do pó;0;0;757;274;0
Serviços de usinagem, solda, tratamento e revestimento em metais (Desativado);0;0;0;0;0
Serviços de usinagem, tornearia e solda;1660;5142;34702;15371;5230
Serviços de tratamento e revestimento em metais;132;1830;15639;6636;435
Fabricação de artigos de cutelaria;1296;6;658;6656;19
Fabricação de artigos de serralheria, exceto esquadrias;577;3062;24528;7277;2657
Fabricação de ferramentas;137;300;11782;10946;320
Fabricação de equipamento bélico pesado, exceto veículos militares de combate;0;0;1493;162;0
Fabricação de armas de fogo e munições;0;0;2851;2530;5
Fabricação de embalagens metálicas;834;2187;13928;2241;1012
Fabricação de produtos de trefilados de metal padronizados;243;1404;8970;4948;207
Fabricação de produtos de trefilados de metal, exceto padronizados;134;572;8590;2682;853
Fabricação de artigos de metal para uso doméstico e pessoal;235;2926;11254;7215;260
Serviços de confecção de armações metálicas para a construção;851;837;3723;1142;783
Serviços de corte e dobra de metais;279;1032;8179;3476;1229
Fabricação de outros produtos de metal não especificados anteriormente;1815;4001;55355;28349;3622
Fabricação de componentes eletrônicos;10406;241;13229;7030;65
Fabricação de equipamentos de informática;1832;720;5847;1908;28
Fabricação de periféricos para equipamentos de informática;3655;428;11366;1785;6
Fabricação de equipamentos transmissores de comunicação, peças e acessórios;811;159;3645;1133;9
Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios;1441;37;5168;4678;1
Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo;10835;507;3008;2033;160
Fabricação de aparelhos e equipamentos de medida, teste e controle;1344;557;12240;8680;445
Fabricação de cronômetros e relógios;1470;2;342;229;0
Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação;11;99;4511;1049;53
Fabricação de equipamentos e instrumentos ópticos, peças e acessórios;19;123;450;78;0
Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios;0;0;73;52;0
Fabricação de mídias virgens, magnéticas e ópticas;0;4;6;0;0
