Coluna;Região Natural
CNAE 2.0 Subclasse;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
Cultivo de arroz;1370;558;399;14112;2230
Cultivo de milho;2273;3962;15076;5829;14785
Cultivo de trigo;6;8;146;995;168
Cultivo de outros cereais não especificados anteriormente;1078;4058;6260;8683;5324
Cultivo de algodão herbáceo;101;4405;798;14;7760
Cultivo de juta;29;0;1;0;0
Cultivo de outras fibras de lavoura temporária não especificadas anteriormente;103;145;558;335;75
Cultivo de cana-de-açúcar;1090;34151;57326;4225;13852
Cultivo de fumo;0;1978;12;156;0
Cultivo de soja;13641;29166;19053;30705;110617
Cultivo de amendoim;0;0;1355;0;46
Cultivo de girassol;0;6;9;1;1
Cultivo de mamona;0;0;1;0;0
Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente;300;207;1347;589;1982
Cultivo de abacaxi;40;139;153;1;12
Cultivo de alho;0;39;1984;202;686
Cultivo de batata-inglesa;0;3775;5373;2782;334
Cultivo de cebola;2;128;663;927;160
Cultivo de feijão;10;156;1051;183;468
Cultivo de mandioca;55;234;693;1033;225
Cultivo de melão;29;14484;1;2;2
Cultivo de melancia;106;117;113;132;43
Cultivo de tomate rasteiro;5;34;2142;368;315
Cultivo de outras plantas de lavoura temporária não especificadas anteriormente;553;5206;11632;3939;1735
Horticultura, exceto morango;828;4090;24997;3658;4533
Cultivo de morango;0;1055;879;1036;92
Cultivo de flores e plantas ornamentais;423;1500;15164;1672;527
Cultivo de laranja;920;2595;61657;2354;1811
Cultivo de uva;0;28356;1729;1115;73
Cultivo de açaí;1135;126;59;0;3
Cultivo de banana;331;6941;14328;1334;358
Cultivo de caju;2;153;179;0;4
Cultivo de cítricos, exceto laranja;65;2497;4833;276;94
Cultivo de coco-da-baía;1444;2826;482;12;30
Cultivo de guaraná;9;5;0;0;0
Cultivo de maçã;0;9;154;13175;0
Cultivo de mamão;50;3602;2896;1;51
Cultivo de maracujá;68;269;143;5;30
