Coluna;Região Natural
CNAE 2.0 Subclasse;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;{ñ class}
Metalurgia do pó;0;0;809;280;0;0
Serviços de usinagem, solda, tratamento e revestimento em metais (Desativado);0;3;13;5;0;0
Serviços de usinagem, tornearia e solda;1274;4477;31498;15905;3885;1
Serviços de tratamento e revestimento em metais;141;1284;14115;5409;335;0
Fabricação de artigos de cutelaria;1085;8;657;6567;46;0
Fabricação de artigos de serralheria, exceto esquadrias;434;3022;22176;6615;2333;0
Fabricação de ferramentas;87;194;12239;10778;348;0
Fabricação de equipamento bélico pesado, exceto veículos militares de combate;0;0;1623;99;0;0
Fabricação de armas de fogo e munições;0;0;2657;4137;22;0
Fabricação de embalagens metálicas;675;2216;12885;2213;1050;0
Fabricação de produtos de trefilados de metal padronizados;223;842;10088;5131;191;0
Fabricação de produtos de trefilados de metal, exceto padronizados;97;444;8220;2842;791;0
Fabricação de artigos de metal para uso doméstico e pessoal;207;2571;10282;7389;277;0
Serviços de confecção de armações metálicas para a construção;416;552;2708;729;584;0
Serviços de corte e dobra de metais;470;614;5988;2171;763;0
Fabricação de outros produtos de metal não especificados anteriormente;1023;3479;52008;25860;3822;0
Fabricação de componentes eletrônicos;10198;256;14373;6993;105;0
Fabricação de equipamentos de informática;1722;952;5686;2129;43;0
Fabricação de periféricos para equipamentos de informática;4582;484;13315;2025;11;0
Fabricação de equipamentos transmissores de comunicação, peças e acessórios;1981;149;3603;1819;52;0
Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios;1118;31;5942;4097;0;0
Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo;9731;497;3138;1908;112;0
Fabricação de aparelhos e equipamentos de medida, teste e controle;883;237;12210;6898;263;0
Fabricação de cronômetros e relógios;1310;4;367;392;0;0
Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação;0;68;5182;1144;40;0
Fabricação de equipamentos e instrumentos ópticos, peças e acessórios;16;85;442;78;0;0
Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios;0;0;85;48;0;0
Fabricação de mídias virgens, magnéticas e ópticas;0;5;4;0;0;0
Fabricação de geradores de corrente contínua e alternada, peças e acessórios;75;7057;3616;4327;141;0
Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios;293;99;9351;8603;1037;0
Fabricação de motores elétricos, peças e acessórios;344;770;5137;8108;13;0
Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores;1076;268;1054;137;13;0
Fabricação de baterias e acumuladores para veículos automotores;35;2015;2930;2917;166;0
Recondicionamento de baterias e acumuladores para veículos automotores;0;0;7;29;1;0
Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica;112;1526;15682;6112;825;0
Fabricação de material elétrico para instalações em circuito de consumo;294;55;4514;3088;319;0
Fabricação de fios, cabos e condutores elétricos isolados;2269;570;15416;5412;170;0
Fabricação de lâmpadas;3;212;200;131;0;0
Fabricação de luminárias e outros equipamentos de iluminação;310;507;7159;2278;93;0
Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios;0;2610;10836;13772;940;0
Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios;156;0;379;902;44;0
Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios;692;5818;10103;3136;133;0
Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores;0;51;1566;65;0;0
Fabricação de equipamentos para sinalização e alarme;0;82;2773;553;38;0
Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente;1995;1311;15074;5166;878;0
Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários;27;521;3944;592;47;0
Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas;57;296;9579;4165;238;0
Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios;3;488;9331;5818;365;0
Fabricação de compressores para uso industrial, peças e acessórios;2;0;1731;7514;1;0
Fabricação de compressores para uso não-industrial, peças e acessórios;0;2;2048;0;0;0
Fabricação de rolamentos para fins industriais;1;0;978;35;1;0
Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos;164;18;7485;2943;23;0
Fabricação de fornos industriais, aparelhos e equipamentos não-elétricos para instalações térmicas, peças e acessórios;123;245;2866;389;31;0
Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios;12;40;771;293;11;0
Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios;34;287;2214;2708;119;0
Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios;64;249;9151;6083;168;0
Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios;85;1175;9492;10065;363;0
Fabricação de aparelhos e equipamentos de ar condicionado para uso industrial;160;0;325;275;5;0
Fabricação de aparelhos e equipamentos de ar condicionado para uso não-industrial;3630;20;931;940;45;0
Fabricação de máquinas e equipamentos para saneamento básico e ambiental, peças e acessórios;24;175;2454;1655;29;0
Fabricação de máquinas de escrever, calcular e outros equipamentos não-eletrônicos para escritório, peças e acessórios;22;0;133;225;0;0
Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios;811;1159;36592;14651;396;0
Fabricação de tratores agrícolas, peças e acessórios;51;10;2796;5800;3;0
Fabricação de equipamentos para irrigação agrícola, peças e acessórios;1;215;2596;974;21;0
Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação;65;538;36248;48018;3303;0
Fabricação de máquinas-ferramenta, peças e acessórios;165;438;10086;8388;273;0
Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios;0;456;5618;877;0;0
Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo;925;22;5257;388;202;0
Fabricação de tratores, peças e acessórios, exceto agrícolas;0;15;5913;1504;0;0
Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, peças e acessórios, exceto tratores;28;4;7385;1250;51;0
Fabricação de máquinas para a indústria metalúrgica, peças e acessórios, exceto máquinas-ferramenta;1;354;3606;3056;35;0
Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios;55;115;10203;8108;365;0
Fabricação de máquinas e equipamentos para a indústria têxtil, peças e acessórios;0;87;671;848;26;0
Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados, peças e acessórios;1;12;826;1889;3;0
Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos, peças e acessórios;6;5;1375;2569;1;0
Fabricação de máquinas e equipamentos para a indústria do plástico, peças e acessórios;0;140;1529;861;27;0
Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios;13;962;27417;16539;459;0
Fabricação de automóveis, camionetas e utilitários;50;4863;44791;10321;3573;0
Fabricação de chassis com motor para automóveis, camionetas e utilitários;0;0;1124;1;10;0
Fabricação de motores para automóveis, camionetas e utilitários;0;0;3552;956;0;0
Fabricação de caminhões e ônibus;0;28;22476;13117;40;0
Fabricação de motores para caminhões e ônibus;0;0;3036;0;0;0
Fabricação de cabines, carrocerias e reboques para caminhões;973;1983;14971;15189;991;0
Fabricação de carrocerias para ônibus;0;8;3691;4649;0;0
Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus;55;304;1679;1181;577;0
Fabricação de peças e acessórios para o sistema motor de veículos automotores;460;272;26027;11085;118;0
Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores;532;656;4262;4101;48;0
Fabricação de peças e acessórios para o sistema de freios de veículos automotores;963;638;8956;5655;0;0
Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores;10;175;11006;3643;30;0
Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias;1794;3589;19345;10671;23;0
Fabricação de bancos e estofados para veículos automotores;3;1455;7147;1033;88;0
Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente;676;6048;119390;25702;179;0
Recondicionamento e recuperação de motores para veículos automotores;770;1628;5785;2470;1623;0
Construção de embarcações de grande porte;1530;1268;12848;5774;0;0
Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte;705;650;771;496;120;0
Construção de embarcações para esporte e lazer;180;838;859;1723;144;0
Fabricação de locomotivas, vagões e outros materiais rodantes;0;5;2172;0;3;0
Fabricação de peças e acessórios para veículos ferroviários;0;40;944;87;1;0
Fabricação de aeronaves;0;8;14758;36;33;0
Fabricação de turbinas, motores e outros componentes e peças para aeronaves;0;0;2616;171;5;0
Fabricação de veículos militares de combate;0;0;4;0;0;0
Fabricação de motocicletas, peças e acessórios(Desativado);0;0;0;0;0;0
Fabricação de motocicletas;9528;113;603;5;0;0
Fabricação de peças e acessórios para motocicletas;3325;634;1599;1851;24;0
Fabricação de bicicletas e triciclos não-motorizados, peças e acessórios;1454;597;3595;2987;20;0
Fabricação de equipamentos de transporte não especificados anteriormente;1071;72;1572;569;24;0
Fabricação de móveis com predominância de madeira;3466;16087;78210;89940;8397;0
Fabricação de móveis com predominância de metal;249;4271;15839;8441;1142;0
Fabricação de móveis de outros materiais, exceto madeira e metal;162;1369;2722;3074;259;0
Fabricação de colchões;2159;6655;8051;4969;3056;0
Lapidação de gemas;22;15;294;1056;1;0
Fabricação de artefatos de joalheria e ourivesaria;985;358;5586;2639;307;0
Cunhagem de moedas e medalhas;0;1;0;39;0;0
Fabricação de bijuterias e artefatos semelhantes;19;870;5754;978;435;0
Fabricação de instrumentos musicais, peças e acessórios;0;26;1335;139;5;0
Fabricação de artefatos para pesca e esporte;173;199;2649;1614;315;0
Fabricação de jogos eletrônicos;0;0;134;3;0;0
Fabricação de mesas de bilhar, de sinuca e acessórios não associada à locação;0;32;45;8;12;0
Fabricação de mesas de bilhar, de sinuca e acessórios associada à locação;62;55;143;302;89;0
Fabricação de outros brinquedos e jogos recreativos não especificados anteriormente;87;386;9612;2109;1369;0
Fabricação de instrumentos não-eletrônicos e utensílios para uso médico, cirúrgico, odontológico e de laboratório;0;252;10413;3556;350;0
Fabricação de mobiliário para uso médico, cirúrgico, odontológico e de laboratório;0;29;936;734;120;0
Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral sob encomenda;20;220;1189;829;120;0
Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral, exceto sob encomenda;0;363;2838;825;53;0
Fabricação de materiais para medicina e odontologia;443;215;18481;4167;1404;0
Serviços de prótese dentária;332;1485;6860;3162;1234;0
Fabricação de artigos ópticos;528;1581;6776;1779;436;0
Fabricação de artefatos de tecido não tecido para uso odonto-médico-hospitalar;0;0;0;0;0;0
Serviço de laboratório óptico;95;365;842;96;303;0
Fabricação de escovas, pincéis e vassouras;48;569;2817;4737;166;0
Fabricação de roupas de proteção e segurança e resistentes a fogo;0;68;304;147;0;0
Fabricação de equipamentos e acessórios para segurança pessoal e profissional;284;647;8994;5147;294;0
Fabricação de guarda-chuvas e similares;0;12;442;113;0;0
Fabricação de canetas, lápis e outros artigos para escritório;158;20;2671;424;25;0
Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos;541;1640;4304;3306;751;0
Fabricação de painéis e letreiros luminosos;222;764;2271;2250;556;0
Fabricação de aviamentos para costura;0;622;1293;1505;23;0
Fabricação de velas, inclusive decorativas;64;528;764;289;29;0
Fabricação de produtos diversos não especificados anteriormente;213;1132;8509;2922;945;0
Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos;686;2224;5905;1066;918;0
Manutenção e reparação de equipamentos transmissores de comunicação;0;0;0;0;0;0
Manutenção e reparação de aparelhos e instrumentos de medida, teste e controle;298;1121;6789;2211;548;0
Manutenção e reparação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação;287;966;2005;446;359;0
Manutenção e reparação de equipamentos e instrumentos ópticos;7;30;211;5;1;0
Manutenção e reparação de geradores, transformadores e motores elétricos;678;2349;6810;2123;1541;0
Manutenção e reparação de baterias e acumuladores elétricos, exceto para veículos;5;86;372;39;2;0
Manutenção e reparação de máquinas, aparelhos e materiais elétricos não especificados anteriormente;161;1476;5235;1425;357;0
Manutenção e reparação de máquinas motrizes não-elétricas;113;509;1692;179;67;0
Manutenção e reparação de equipamentos hidráulicos e pneumáticos, exceto válvulas;317;855;3512;720;658;0
Manutenção e reparação de válvulas industriais;1;278;1733;207;70;0
Manutenção e reparação de compressores;36;113;899;273;95;0
Manutenção e reparação de equipamentos de transmissão para fins industriais;17;273;1118;490;449;0
Manutenção e reparação de máquinas, aparelhos e equipamentos para instalações térmicas;125;407;701;589;66;0
Manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial;747;2330;5856;1928;989;4
Manutenção e reparação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas;99;607;3384;1245;117;0
Manutenção e reparação de máquinas de escrever, calcular e de outros equipamentos não-eletrônicos para escritório;4;32;189;20;23;0
Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente;1799;2643;15699;4560;1425;0
Manutenção e reparação de máquinas e equipamentos para agricultura e pecuária;161;733;2489;2019;1750;0
Manutenção e reparação de tratores agrícolas;104;181;862;522;515;0
Manutenção e reparação de máquinas-ferramenta;224;388;3478;898;401;0
Manutenção e reparação de máquinas e equipamentos para a prospecção e extração de petróleo;0;986;5224;0;0;0
Manutenção e reparação de máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo;78;165;623;106;149;0
Manutenção e reparação de tratores, exceto agrícolas;75;68;193;144;41;0
Manutenção e reparação de máquinas e equipamentos de terraplenagem, pavimentação e construção, exceto tratores;27;110;578;351;122;0
Manutenção e reparação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta;1;510;4884;711;58;0
Manutenção e reparação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo;184;465;1718;1148;557;0
Manutenção e reparação de máquinas e equipamentos para a indústria têxtil, do vestuário, do couro e calçados;14;122;310;344;149;0
Manutenção e reparação de máquinas e aparelhos para a indústria de celulose, papel e papelão e artefatos;0;10;2385;836;1;0
Manutenção e reparação de máquinas e aparelhos para a indústria do plástico;0;34;339;31;0;0
Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente;445;1887;16908;5139;1123;0
Manutenção e reparação de veículos ferroviários;0;266;871;260;0;0
Manutenção e reparação de aeronaves, exceto a manutenção na pista;61;283;7746;358;854;0
Manutenção de aeronaves na pista;4;3;2031;28;36;0
Manutenção e reparação de embarcações e estruturas flutuantes;436;298;9040;785;3;0
Manutenção e reparação de embarcações para esporte e lazer;41;96;1024;302;59;0
Manutenção e reparação de equipamentos e produtos não especificados anteriormente;1058;3867;7278;1908;782;0
Instalação de máquinas e equipamentos industriais;936;4270;26741;10107;4250;0
Serviços de montagem de móveis de qualquer material;355;1943;7369;1684;1474;0
Instalação de outros equipamentos não especificados anteriormente;38;455;2762;674;375;0
Geração de energia elétrica (Desativado);0;2;0;0;0;0
Geração de energia elétrica;5159;7887;12069;7776;3505;0
Atividades de coordenação e controle da operação da geração e transmissão de energia elétrica;28;29;996;99;32;0
Transmissão de energia elétrica;687;2450;9100;1862;889;0
Comércio atacadista de energia elétrica;13;263;2338;301;66;0
Distribuição de energia elétrica;6485;15351;25285;17158;6670;0
Produção de gás, processamento de gás natural;1;1429;853;438;88;0
Distribuição de combustíveis gasosos por redes urbanas;175;58;1717;128;23;0
Produção e distribuição de vapor, água quente e ar condicionado;49;105;800;145;9;0
Captação, tratamento e distribuição de água;8837;27109;62829;22325;13216;0
Distribuição de água por caminhões;38;1226;1538;133;44;0
Gestão de redes de esgoto;89;1223;4677;600;738;0
Atividades relacionadas a esgoto, exceto a gestão de redes;714;1548;3150;1787;657;0
Coleta de resíduos não-perigosos;5708;38556;95545;15971;19817;0
Coleta de resíduos perigosos;1205;2070;4420;3841;856;0
Tratamento e disposição de resíduos não-perigosos;314;5190;6862;1728;318;0
Tratamento e disposição de resíduos perigosos;432;2123;3917;636;115;0
Recuperação de sucatas de alumínio;420;748;1220;555;645;0
Recuperação de materiais metálicos, exceto alumínio;755;1023;5076;1418;518;0
Recuperação de materiais plásticos;437;2467;7213;4488;854;0
Usinas de compostagem;8;75;823;488;174;0
Recuperação de materiais não especificados anteriormente;425;1281;5507;2707;2999;0
Descontaminação e outros serviços de gestão de resíduos;141;323;691;382;337;0
Incorporação de empreendimentos imobiliários;4212;32774;61289;24734;17353;4
Construção de edifícios;53565;233032;375000;146292;90082;81
Construção de rodovias e ferrovias;16471;32860;78876;24198;15632;7
Pintura para sinalização em pistas rodoviárias e aeroportos;114;317;2012;1752;487;0
Construção de obras-de-arte especiais;872;6532;9727;4704;1148;55
Obras de urbanização - ruas, praças e calçadas;4207;10059;33610;8198;4954;0
Construção de barragens e represas para geração de energia elétrica;156;2401;498;2543;688;0
Construção de estações e redes de distribuição de energia elétrica;7857;22794;39485;15677;8055;0
Manutenção de redes de distribuição de energia elétrica;588;5845;6793;3358;3060;0
Construção de estações e redes de telecomunicações;1101;4027;17613;3598;4966;0
Manutenção de estações e redes de telecomunicações;2220;4486;24530;4629;1206;0
Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação;2392;15870;17890;6066;2327;14
Obras de irrigação;34;314;364;26;97;0
Construção de redes de transportes por dutos, exceto para água e esgoto;71;977;2059;261;22;0
Obras portuárias, marítimas e fluviais;167;794;2535;385;15;0
Montagem de estruturas metálicas;3996;6791;20780;9842;3508;0
Obras de montagem industrial;7426;11413;63511;3356;6940;0
Construção de instalações esportivas e recreativas;106;654;1007;252;144;0
Outras obras de engenharia civil não especificadas anteriormente;6318;20736;60987;9252;5861;0
Demolição de edifícios e outras estruturas;130;207;2631;238;79;0
Preparação de canteiro e limpeza de terreno;46;248;991;402;271;0
Perfurações e sondagens;1567;1716;7300;587;1349;0
Obras de terraplenagem;7019;11684;35720;14560;9047;0
Serviços de preparação do terreno não especificados anteriormente;2773;2033;3624;1625;1214;0
Instalação e manutenção elétrica;15539;33756;110509;36788;22089;1
Instalações hidráulicas, sanitárias e de gás;707;1792;18288;4616;1122;0
Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração;3333;7869;41274;5688;7341;0
Instalações de sistema de prevenção contra incêndio;382;561;5897;944;457;0
Instalação de painéis publicitários;140;630;3340;738;546;0
Instalação de equipamentos para orientação à navegação marítima, fluvial e lacustre;3;4;67;4;0;0
Instalação, manutenção e reparação de elevadores, escadas e esteiras rolantes, exceto de fabricação própria;377;2026;11890;3071;1482;0
Montagem e instalação de sistemas e equipamentos de iluminação e sinalização em vias públicas, portos e aeroportos;252;1520;5127;793;1488;0
Tratamentos térmicos, acústicos ou de vibração;25;965;3816;478;361;0
Outras obras de instalações em construções não especificadas anteriormente;453;1876;20131;2765;781;6
Impermeabilização em obras de engenharia civil;89;1109;6957;1887;554;0
Instalação de portas, janelas, tetos, divisórias e armários embutidos de qualquer material;443;2133;8491;2289;1390;1
Obras de acabamento em gesso e estuque;248;2171;9667;2695;1117;0
Serviços de pintura de edifícios em geral;636;4436;24229;10814;3280;0
Aplicação de revestimentos e de resinas em interiores e exteriores;90;1575;7222;3075;909;0
Outras obras de acabamento da construção;372;5656;32230;9573;3012;0
Obras de fundações;1040;3631;12819;3230;1620;0
Administração de obras;653;4630;27910;3087;1805;2
Montagem e desmontagem de andaimes e outras estruturas temporárias;1017;2362;10965;1494;516;0
Obras de alvenaria;3402;8718;47598;25526;9780;10
Serviços de operação e fornecimento de equipamentos para transporte e elevação de cargas e pessoas para uso em obras;989;1811;10807;1775;875;0
Perfuração e construção de poços de água;414;1377;2352;1076;576;0
Serviços especializados para construção não especificados anteriormente;1591;9724;31979;8466;3460;0
Comércio a varejo de automóveis, camionetas e utilitários novos;10955;28002;69018;33335;18926;0
Comércio a varejo de automóveis, camionetas e utilitários usados;1121;5153;15938;8301;3548;0
Comércio por atacado de automóveis, camionetas e utilitários novos e usados;41;800;4083;414;23;0
Comércio por atacado de caminhões novos e usados;1312;3496;10088;5535;2828;0
Comércio por atacado de reboques e semi-reboques novos e usados;37;43;1079;618;246;0
Comércio por atacado de ônibus e microônibus novos e usados;41;4;36;155;46;0
Representantes comerciais e agentes do comércio de veículos automotores;121;372;2133;303;191;0
Comércio sob consignação de veículos automotores;172;581;877;678;951;0
Serviços de manutenção e reparação mecânica de veículos automotores;6222;19524;61137;34589;17800;12
Serviços de lanternagem ou funilaria e pintura de veículos automotores;643;3661;11984;5378;2470;3
Serviços de manutenção e reparação elétrica de veículos automotores;718;828;3722;3023;1547;0
Serviços de alinhamento e balanceamento de veículos automotores;421;1305;4664;2060;1695;0
Serviços de lavagem, lubrificação e polimento de veículos automotores;1118;4627;12746;5509;3402;0
Serviços de borracharia para veículos automotores;372;946;4524;3243;1654;1
Serviços de instalação, manutenção e reparação de acessórios para veículos automotores;758;3085;11275;3417;1607;0
Serviços de capotaria;47;288;440;134;87;0
Comércio por atacado de peças e acessórios novos para veículos automotores;5589;12869;42631;18071;13605;0
Comércio por atacado de pneumáticos e câmaras-de-ar;673;2012;4026;2670;821;0
Comércio a varejo de peças e acessórios novos para veículos automotores;19553;51043;147104;61512;39731;7
Comércio a varejo de peças e acessórios usados para veículos automotores;424;1253;5341;4301;1629;0
Comércio a varejo de pneumáticos e câmaras-de-ar;2660;6805;20382;10398;4962;1
Representantes comerciais e agentes do comércio de peças e acessórios novos e usados para veículos automotores;192;276;468;267;176;0
Comércio por atacado de motocicletas e motonetas;362;130;306;136;202;0
Comércio por atacado de peças e acessórios para motocicletas e motonetas;665;2745;1869;737;1193;0
Comércio a varejo de motocicletas e motonetas novas;4770;12343;11980;4057;3452;0
Comércio a varejo de motocicletas e motonetas usadas;49;325;891;431;222;0
Comércio a varejo de peças e acessórios para motocicletas e motonetas (Desativado);26;42;25;12;12;0
Comércio a varejo de peças e acessórios novos para motocicletas e motonetas;3875;10704;13780;4641;4401;0
Comércio a varejo de peças e acessórios usados para motocicletas e motonetas;1;68;71;27;27;0
Representantes comerciais e agentes do comércio de motocicletas e motonetas, peças e acessórios;28;155;40;22;48;0
Comércio sob consignação de motocicletas e motonetas;7;35;52;29;34;0
Manutenção e reparação de motocicletas e motonetas;442;967;2519;1314;780;0
Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos;303;385;1248;839;563;0
Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos;100;396;962;493;329;0
Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens;512;1217;1713;831;508;0
Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves;504;900;1556;832;270;0
Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico;241;634;993;896;226;0
Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem;182;712;1315;743;248;0
Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo;1214;3513;3903;2457;982;0
Representantes comerciais e agentes do comércio de medicamentos, cosméticos e produtos de perfumaria;226;336;701;151;139;0
Representantes comerciais e agentes do comércio de instrumentos e materiais odonto-médico-hospitalares;178;203;2312;68;142;0
Representantes comerciais e agentes do comércio de jornais, revistas e outras publicações;35;9;29;38;9;0
Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente;573;731;3243;1328;560;0
Representantes comerciais e agentes do comércio de mercadorias em geral não especializado;1795;3270;9425;4162;1869;0
Comércio atacadista de café em grão;133;206;8454;221;21;0
Comércio atacadista de soja;1103;587;1458;10063;5334;0
Comércio atacadista de animais vivos;620;195;1021;1214;282;0
Comércio atacadista de couros, lãs, peles e outros subprodutos não-comestíveis de origem animal;197;187;670;796;65;0
Comércio atacadista de algodão;7;90;215;2;336;0
Comércio atacadista de fumo em folha não beneficiado;0;0;0;473;1;0
Comércio atacadista de cacau;101;424;18;0;0;0
Comércio atacadista de sementes, flores, plantas e gramas;293;754;5908;2601;2527;0
Comércio atacadista de sisal;0;2;0;0;0;0
Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada;40;233;652;2045;454;0
Comércio atacadista de alimentos para animais;1233;2963;9040;3301;1656;0
Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente;402;337;3618;16132;2955;0
Comércio atacadista de leite e laticínios;331;2990;12064;2161;939;0
Comércio atacadista de cereais e leguminosas beneficiados;855;3229;4896;12078;3987;0
Comércio atacadista de farinhas, amidos e féculas;161;717;1069;681;251;0
Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada;729;1519;2310;2069;719;0
Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos;2130;9488;49269;12235;5153;0
Comércio atacadista de aves vivas e ovos;284;1273;1768;534;502;0
Comércio atacadista de coelhos e outros pequenos animais vivos para alimentação;0;1;0;0;0;0
Comércio atacadista de carnes bovinas e suínas e derivados;1577;7166;14582;7071;2062;0
Comércio atacadista de aves abatidas e derivados;391;1484;1663;726;922;0
Comércio atacadista de pescados e frutos do mar;648;1345;2436;1390;452;0
Comércio atacadista de carnes e derivados de outros animais;71;177;332;230;45;0
Comércio atacadista de água mineral;461;1132;1327;439;373;0
Comércio atacadista de cerveja, chope e refrigerante;5192;25961;44002;12308;7379;0
Comércio atacadista de bebidas com atividade de fracionamento e acondicionamento associada;305;2019;877;925;143;0
Comércio atacadista de bebidas não especificadas anteriormente;673;2931;6766;2346;1206;0
Comércio atacadista de fumo beneficiado;15;238;196;476;42;0
Comércio atacadista de cigarros, cigarrilhas e charutos;158;368;2892;1054;378;0
Comércio atacadista de café torrado, moído e solúvel;73;494;1026;273;170;0
Comércio atacadista de açúcar;362;293;504;164;118;0
Comércio atacadista de óleos e gorduras;34;39;457;132;42;0
Comércio atacadista de pães, bolos, biscoitos e similares;285;1810;7868;1686;691;0
Comércio atacadista de massas alimentícias;165;540;2124;826;86;0
Comércio atacadista de sorvetes;208;891;3045;808;646;0
Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes;626;1601;3842;1749;226;0
Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente;1324;3767;14812;7480;2242;0
Comércio atacadista de produtos alimentícios em geral;14762;40852;82775;26070;17501;0
Comércio atacadista de produtos alimentícios em geral, com atividade de fracionamento e acondicionamento associada;587;1804;5873;1634;1975;0
Comércio atacadista de tecidos;180;3338;6432;1820;870;0
Comércio atacadista de artigos de cama, mesa e banho;346;399;1408;659;133;0
Comércio atacadista de artigos de armarinho;674;2594;3685;1375;364;0
Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança;698;3066;16646;7644;1993;0
Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho;293;633;4923;1924;619;0
Comércio atacadista de calçados;748;1461;2998;758;198;0
Comércio atacadista de bolsas, malas e artigos de viagem;9;210;1406;283;96;0
Comércio atacadista de medicamentos e drogas de uso humano;6485;17357;39932;11755;8450;0
Comércio atacadista de medicamentos e drogas de uso veterinário;333;1364;3674;2184;599;0
Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios;1945;6296;27142;6012;2743;0
Comércio atacadista de próteses e artigos de ortopedia;169;295;1719;517;373;0
Comércio atacadista de produtos odontológicos;165;612;3701;3064;400;0
Comércio atacadista de cosméticos e produtos de perfumaria;2908;8080;33524;5009;5120;1
Comércio atacadista de produtos de higiene pessoal;393;4421;13003;1260;1166;0
Comércio atacadista de artigos de escritório e de papelaria;910;2360;9515;2019;647;0
Comércio atacadista de livros, jornais e outras publicações;121;960;3634;1336;192;0
