Município;Leite;Ovos de galinha;Ovos de codorna;Mel de abelha;Casulos do bicho-da-seda;Lã
Brasil;87511969;31862060;600730;1010040;50021;46289
Nordeste;14448519;7093592;166117;342094;-;-
Piauí;222260;235406;214;101057;-;-
Acauã (PI);2237;717;-;1121;-;-
Agricolândia (PI);243;125;-;2;-;-
Água Branca (PI);776;426;-;-;-;-
Alagoinha do Piauí (PI);438;416;-;1391;-;-
Alegrete do Piauí (PI);725;103;-;48;-;-
Alto Longá (PI);874;1564;-;-;-;-
Altos (PI);605;1396;-;-;-;-
Alvorada do Gurguéia (PI);395;85;-;-;-;-
Amarante (PI);446;382;-;-;-;-
Angical do Piauí (PI);265;381;-;-;-;-
Anísio de Abreu (PI);670;324;-;4594;-;-
Antônio Almeida (PI);127;93;-;-;-;-
Aroazes (PI);1343;176;-;-;-;-
Aroeiras do Itaim (PI);331;450;-;134;-;-
Arraial (PI);125;189;-;6;-;-
Assunção do Piauí (PI);923;216;-;62;-;-
Avelino Lopes (PI);1224;520;-;101;-;-
Baixa Grande do Ribeiro (PI);573;589;-;-;-;-
Barra D'Alcântara (PI);240;212;-;-;-;-
Barras (PI);2793;1575;-;-;-;-
Barreiras do Piauí (PI);923;135;-;36;-;-
Barro Duro (PI);290;178;-;3;-;-
Batalha (PI);1594;2924;-;434;-;-
Bela Vista do Piauí (PI);1641;274;-;1075;-;-
Belém do Piauí (PI);358;176;-;545;-;-
Beneditinos (PI);89;288;-;-;-;-
Bertolínia (PI);1065;220;-;-;-;-
Betânia do Piauí (PI);1226;385;-;32;-;-
Boa Hora (PI);47;261;-;-;-;-
Bocaina (PI);636;194;-;59;-;-
Bom Jesus (PI);1895;587;-;-;-;-
Bom Princípio do Piauí (PI);953;126;-;16;-;-
Bonfim do Piauí (PI);246;350;-;3169;-;-
Boqueirão do Piauí (PI);91;172;-;-;-;-
Brasileira (PI);451;740;-;158;-;-
Brejo do Piauí (PI);1188;221;-;62;-;-
