Município;Leite;Ovos de galinha;Ovos de codorna;Mel de abelha;Casulos do bicho-da-seda;Lã
Buriti dos Lopes (PI);1738;392;-;5;-;-
Buriti dos Montes (PI);2313;296;-;-;-;-
Cabeceiras do Piauí (PI);198;588;-;-;-;-
Cajazeiras do Piauí (PI);376;182;-;-;-;-
Cajueiro da Praia (PI);290;177;-;-;-;-
Caldeirão Grande do Piauí (PI);497;267;-;161;-;-
Campinas do Piauí (PI);2242;203;-;501;-;-
Campo Alegre do Fidalgo (PI);268;117;-;278;-;-
Campo Grande do Piauí (PI);402;307;-;1991;-;-
Campo Largo do Piauí (PI);184;520;-;-;-;-
Campo Maior (PI);3158;1319;-;1105;-;-
Canavieira (PI);508;197;-;-;-;-
Canto do Buriti (PI);2459;719;-;313;-;-
Capitão de Campos (PI);396;539;-;4;-;-
Capitão Gervásio Oliveira (PI);904;103;-;135;-;-
Caracol (PI);1178;449;-;961;-;-
Caraúbas do Piauí (PI);4284;278;-;-;-;-
Caridade do Piauí (PI);652;247;-;133;-;-
Castelo do Piauí (PI);1544;679;-;-;-;-
Caxingó (PI);216;105;-;-;-;-
Cocal (PI);1283;1278;-;66;-;-
Cocal de Telha (PI);341;237;-;-;-;-
Cocal dos Alves (PI);148;401;-;5;-;-
Coivaras (PI);218;164;-;-;-;-
Colônia do Gurguéia (PI);294;140;-;20;-;-
Colônia do Piauí (PI);1296;418;-;545;-;-
Conceição do Canindé (PI);713;124;-;4483;-;-
Coronel José Dias (PI);423;686;-;1215;-;-
Corrente (PI);3420;1381;-;3;-;-
Cristalândia do Piauí (PI);528;503;-;-;-;-
Cristino Castro (PI);341;242;-;48;-;-
Curimatá (PI);2461;592;-;90;-;-
Currais (PI);146;399;-;2;-;-
Curralinhos (PI);240;208;-;10;-;-
Curral Novo do Piauí (PI);353;163;-;57;-;-
Demerval Lobão (PI);166;866;-;-;-;-
Dirceu Arcoverde (PI);847;397;-;916;-;-
Dom Expedito Lopes (PI);414;159;-;16;-;-
Domingos Mourão (PI);306;231;-;45;-;-
Dom Inocêncio (PI);1312;380;-;2954;-;-
Elesbão Veloso (PI);4385;568;-;-;-;-
Eliseu Martins (PI);167;2942;-;28;-;-
Esperantina (PI);1845;1598;-;398;-;-
Fartura do Piauí (PI);749;296;-;1246;-;-
Flores do Piauí (PI);423;188;-;44;-;-
Floresta do Piauí (PI);356;148;-;252;-;-
Floriano (PI);2724;18711;-;45;-;-
Francinópolis (PI);605;3006;-;-;-;-
Francisco Ayres (PI);75;176;-;-;-;-
Francisco Macedo (PI);330;110;-;290;-;-
Francisco Santos (PI);940;438;-;191;-;-
Fronteiras (PI);743;420;-;286;-;-
Geminiano (PI);560;538;-;684;-;-
Gilbués (PI);1334;453;-;2;-;-
Guadalupe (PI);453;91;-;1;-;-
Guaribas (PI);324;229;-;122;-;-
Hugo Napoleão (PI);487;539;-;-;-;-
Ilha Grande (PI);961;100;-;-;-;-
Inhuma (PI);1808;1040;-;19;-;-
Ipiranga do Piauí (PI);730;321;-;3;-;-
Isaías Coelho (PI);1161;463;-;400;-;-
Itainópolis (PI);1155;799;-;3311;-;-
Itaueira (PI);1250;766;-;44;-;-
Jacobina do Piauí (PI);1248;183;-;2483;-;-
Jaicós (PI);389;892;-;2219;-;-
Jardim do Mulato (PI);171;227;-;-;-;-
Jatobá do Piauí (PI);606;322;-;8;-;-
Jerumenha (PI);93;48;-;-;-;-
João Costa (PI);198;144;-;305;-;-
Joaquim Pires (PI);1213;653;-;13;-;-
Joca Marques (PI);499;425;-;2;-;-
José de Freitas (PI);1383;1152;-;-;-;-
Juazeiro do Piauí (PI);695;289;-;33;-;-
Júlio Borges (PI);906;293;-;16;-;-
Jurema (PI);642;351;-;1254;-;-
Lagoinha do Piauí (PI);343;139;-;-;-;-
Lagoa Alegre (PI);98;203;-;-;-;-
Lagoa do Barro do Piauí (PI);441;87;-;1545;-;-
Lagoa de São Francisco (PI);168;274;-;37;-;-
Lagoa do Piauí (PI);175;148;-;-;-;-
Lagoa do Sítio (PI);764;324;-;574;-;-
Landri Sales (PI);85;399;-;-;-;-
Luís Correia (PI);5213;969;-;2;-;-
Luzilândia (PI);1139;1211;-;2;-;-
Madeiro (PI);417;284;-;3;-;-
Manoel Emídio (PI);606;248;-;59;-;-
Marcolândia (PI);276;108;-;930;-;-
Marcos Parente (PI);168;96;-;-;-;-
Massapê do Piauí (PI);357;270;-;740;-;-
Matias Olímpio (PI);52;295;-;-;-;-
Miguel Alves (PI);879;1189;-;-;-;-
Miguel Leão (PI);56;32;-;-;-;-
Milton Brandão (PI);477;813;-;84;-;-
Monsenhor Gil (PI);564;272;-;20;-;-
Monsenhor Hipólito (PI);1598;1688;-;673;-;-
Monte Alegre do Piauí (PI);603;738;-;-;-;-
Morro Cabeça no Tempo (PI);574;252;-;26;-;-
Morro do Chapéu do Piauí (PI);277;325;-;29;-;-
Murici dos Portelas (PI);859;403;-;9;-;-
Nazaré do Piauí (PI);472;201;-;-;-;-
Nazária (PI);1062;394;-;-;-;-
Nossa Senhora de Nazaré (PI);167;353;-;-;-;-
Nossa Senhora dos Remédios (PI);85;457;-;-;-;-
Novo Oriente do Piauí (PI);567;245;-;28;-;-
Novo Santo Antônio (PI);581;195;-;-;-;-
Oeiras (PI);1824;1376;-;227;-;-
Olho D'Água do Piauí (PI);681;109;-;-;-;-
Padre Marcos (PI);475;190;-;570;-;-
Paes Landim (PI);636;206;-;2027;-;-
Pajeú do Piauí (PI);711;267;-;207;-;-
Palmeira do Piauí (PI);719;332;-;-;-;-
Palmeirais (PI);411;562;-;-;-;-
Paquetá (PI);414;189;-;221;-;-
Parnaguá (PI);3917;503;-;1;-;-
Parnaíba (PI);10303;16664;198;16;-;-
Passagem Franca do Piauí (PI);1100;172;-;-;-;-
Patos do Piauí (PI);490;267;-;1147;-;-
Pau D'Arco do Piauí (PI);156;202;-;-;-;-
Paulistana (PI);1392;381;-;1198;-;-
Pavussu (PI);115;175;-;524;-;-
Pedro II (PI);1085;1202;-;54;-;-
Pedro Laurentino (PI);674;94;-;846;-;-
Nova Santa Rita (PI);1315;168;-;647;-;-
Picos (PI);1750;1178;-;6762;-;-
Pimenteiras (PI);3120;615;-;906;-;-
Pio IX (PI);1227;548;-;1563;-;-
Piracuruca (PI);4889;2392;-;787;-;-
Piripiri (PI);2620;1883;-;48;-;-
Porto (PI);470;248;-;-;-;-
Porto Alegre do Piauí (PI);168;73;-;-;-;-
Prata do Piauí (PI);351;46;-;-;-;-
Queimada Nova (PI);1367;227;-;1286;-;-
Redenção do Gurguéia (PI);862;320;-;-;-;-
Regeneração (PI);125;718;-;24;-;-
Riacho Frio (PI);752;299;-;-;-;-
Ribeira do Piauí (PI);422;81;-;118;-;-
Ribeiro Gonçalves (PI);446;963;-;-;-;-
Rio Grande do Piauí (PI);425;327;-;363;-;-
Santa Cruz do Piauí (PI);654;181;-;574;-;-
Santa Cruz dos Milagres (PI);273;132;-;-;-;-
Santa Filomena (PI);807;217;-;-;-;-
Santa Luz (PI);1055;248;-;7;-;-
Santana do Piauí (PI);108;123;-;295;-;-
Santa Rosa do Piauí (PI);935;157;-;-;-;-
Santo Antônio de Lisboa (PI);223;194;-;537;-;-
Santo Antônio dos Milagres (PI);64;98;-;-;-;-
Santo Inácio do Piauí (PI);620;191;-;720;-;-
São Braz do Piauí (PI);386;341;-;2355;-;-
São Félix do Piauí (PI);1053;84;-;-;-;-
São Francisco de Assis do Piauí (PI);697;114;-;1295;-;-
São Francisco do Piauí (PI);481;315;-;62;-;-
São Gonçalo do Gurguéia (PI);950;219;-;3;-;-
São Gonçalo do Piauí (PI);403;157;-;-;-;-
São João da Canabrava (PI);251;78;-;160;-;-
São João da Fronteira (PI);377;112;-;53;-;-
São João da Serra (PI);999;218;-;-;-;-
São João da Varjota (PI);269;144;-;-;-;-
São João do Arraial (PI);143;351;-;-;-;-
São João do Piauí (PI);1596;566;-;1185;-;-
São José do Divino (PI);20343;454;-;-;-;-
São José do Peixe (PI);108;110;-;364;-;-
São José do Piauí (PI);483;384;-;866;-;-
São Julião (PI);768;129;-;39;-;-
São Lourenço do Piauí (PI);329;287;-;1389;-;-
São Luis do Piauí (PI);164;129;-;110;-;-
São Miguel da Baixa Grande (PI);379;49;-;-;-;-
São Miguel do Fidalgo (PI);176;139;-;93;-;-
São Miguel do Tapuio (PI);2322;576;-;271;-;-
São Pedro do Piauí (PI);1359;416;-;5;-;-
São Raimundo Nonato (PI);1094;975;-;11991;-;-
Sebastião Barros (PI);470;383;-;-;-;-
Sebastião Leal (PI);173;159;-;-;-;-
Sigefredo Pacheco (PI);837;459;-;46;-;-
Simões (PI);913;496;-;3375;-;-
Simplício Mendes (PI);2223;356;-;1987;-;-
Socorro do Piauí (PI);356;82;-;738;-;-
Sussuapara (PI);1171;310;-;235;-;-
Tamboril do Piauí (PI);316;205;-;-;-;-
Tanque do Piauí (PI);185;171;-;-;-;-
Teresina (PI);6193;28335;16;-;-;-
União (PI);1243;1808;-;-;-;-
Uruçuí (PI);1317;38200;-;1;-;-
Valença do Piauí (PI);1715;37148;-;146;-;-
Várzea Branca (PI);671;304;-;3177;-;-
Várzea Grande (PI);103;197;-;-;-;-
Vera Mendes (PI);369;173;-;1448;-;-
Vila Nova do Piauí (PI);290;133;-;184;-;-
Wall Ferraz (PI);606;269;-;232;-;-
