"Município";"Abacate";"Abacaxi*";"Açaí";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Azeitona";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Cana-de-açúcar";"Cana para forragem";"Caqui";"Castanha de caju";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Chá-da-índia (folha verde)";"Coco-da-baía*";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Figo";"Fumo (em folha)";"Girassol (em grão)";"Goiaba";"Guaraná (semente)";"Juta (fibra)";"Laranja";"Limão";"Linho (semente)";"Maçã";"Malva (fibra)";"Mamão";"Mamona (baga)";"Mandioca";"Manga";"Maracujá";"Marmelo";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Rami (fibra)";"Sisal ou agave (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tangerina";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"Alegrete do Piauí (PI)";"-";"-";"...";"...";"-";"-";"-";"45";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"230";"-";"-";"-";"-";"-";"-";"-";"-";"-";"48";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Alto Longá (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"53";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"91";"...";"-";"38";"-";"-";"-";"-";"-";"-";"-";"-";"-";"154";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"15";"38";"-";"-";"525";"-";"109";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Altos (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"84";"-";"-";"57";"24";"-";"-";"...";"-";"-";"-";"-";"...";"33";"...";"-";"35";"-";"-";"-";"-";"137";"-";"-";"-";"-";"110";"-";"-";"-";"-";"-";"-";"255";"-";"-";"-";"-";"-";"-";"280";"360";"-";"-";"326";"-";"182";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Alvorada do Gurguéia (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"25";"-";"-";"360";"-";"-";"-";"...";"-";"-";"-";"-";"...";"370";"...";"-";"66";"-";"-";"-";"-";"144";"-";"-";"-";"-";"488";"-";"-";"-";"-";"-";"-";"11";"-";"-";"-";"-";"-";"-";"135";"14";"-";"-";"542";"-";"2740";"-";"-";"-";"-";"-";"-";"-";"10183";"-";"-";"-";"-";"-";"-";"-";"-"
"Amarante (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"599";"-";"-";"158";"14";"-";"-";"...";"-";"-";"-";"-";"...";"360";"...";"-";"188";"-";"-";"-";"-";"-";"-";"-";"-";"91";"74";"-";"-";"-";"-";"-";"-";"28";"-";"-";"-";"-";"-";"-";"1350";"46";"-";"-";"-";"-";"427";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"162";"-";"-";"-";"-";"-"
"Angical do Piauí (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"49";"-";"-";"174";"-";"-";"-";"...";"-";"-";"-";"-";"...";"48";"...";"-";"22";"-";"-";"-";"-";"24";"-";"-";"-";"54";"147";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"250";"-";"-";"-";"-";"-";"270";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Anísio de Abreu (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"133";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5";"24";"-";"-";"-";"-";"-";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Antônio Almeida (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"206";"-";"-";"150";"-";"-";"-";"...";"-";"-";"-";"-";"...";"6";"...";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"46";"910";"-";"-";"-";"-";"-";"-";"67";"-";"-";"-";"-";"-";"-";"30";"-";"-";"-";"-";"-";"424";"-";"-";"-";"-";"-";"-";"-";"12384";"-";"-";"-";"-";"-";"-";"-";"-"
"Aroazes (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"57";"-";"-";"160";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"85";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"32";"-";"-";"-";"22";"-";"182";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Aroeiras do Itaim (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"-";"-";"-";"90";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"9";"-";"-";"-";"-";"-";"-";"-";"-";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Arraial (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"176";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"280";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"44";"-";"-";"-";"-";"-";"130";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Assunção do Piauí (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"61";"...";"-";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2380";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"26";"-";"-";"-";"92";"-";"60";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Avelino Lopes (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"438";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"22";"-";"-";"-";"-";"-";"162";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Baixa Grande do Ribeiro (PI)";"-";"-";"...";"...";"-";"11875";"-";"-";"16608";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"28";"...";"-";"453";"-";"-";"-";"-";"-";"-";"-";"-";"252";"7977";"-";"-";"-";"-";"-";"-";"36";"-";"-";"-";"-";"-";"-";"635";"-";"-";"-";"-";"-";"36824";"-";"-";"-";"-";"-";"-";"-";"223399";"-";"-";"-";"-";"-";"-";"-";"-"
"Barra D'Alcântara (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"30";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"64";"35";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"10";"-";"-";"-";"14";"-";"36";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Barras (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"933";"-";"-";"52";"-";"-";"-";"...";"-";"-";"-";"-";"...";"480";"...";"-";"216";"-";"-";"-";"-";"43";"-";"-";"-";"18";"569";"-";"-";"-";"-";"-";"-";"72";"-";"-";"-";"-";"-";"-";"298";"162";"-";"-";"6450";"-";"370";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Barreiras do Piauí (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"5";"42";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6";"-";"-";"-";"120";"-";"38";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Barro Duro (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"57";"-";"-";"338";"-";"-";"-";"...";"-";"-";"-";"-";"...";"284";"...";"-";"28";"-";"-";"-";"-";"15";"-";"-";"-";"26";"27";"-";"-";"-";"-";"-";"-";"49";"-";"-";"-";"-";"-";"-";"114";"101";"-";"-";"879";"-";"84";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Batalha (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"370";"-";"-";"36";"-";"-";"-";"...";"-";"-";"-";"-";"...";"79";"...";"-";"494";"-";"-";"-";"-";"-";"-";"-";"-";"-";"481";"-";"-";"-";"-";"-";"-";"11";"-";"-";"-";"-";"-";"-";"165";"54";"-";"-";"41";"-";"345";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Bela Vista do Piauí (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"34";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Belém do Piauí (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"-";"-";"-";"3";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"16";"-";"-";"-";"-";"32";"-";"-";"-";"-";"72";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Beneditinos (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"61";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"32";"-";"-";"-";"-";"-";"-";"-";"-";"-";"296";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6";"-";"-";"-";"334";"-";"13";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Bertolínia (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"137";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"707";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"96";"-";"-";"-";"-";"-";"88";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Betânia do Piauí (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"32";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Boa Hora (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"184";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"1165";"...";"-";"31";"-";"-";"-";"-";"-";"-";"-";"-";"-";"63";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"44";"-";"-";"-";"-";"-";"17";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Bocaina (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"69";"-";"-";"381";"17";"-";"-";"...";"-";"-";"-";"-";"...";"5";"...";"-";"26";"12";"-";"-";"-";"16";"-";"-";"-";"-";"161";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"24";"8";"-";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"120";"-";"-";"-";"-";"-"
"Bom Jesus (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"901";"-";"-";"36";"-";"-";"-";"...";"-";"-";"-";"-";"...";"100";"...";"-";"80";"-";"-";"-";"-";"24";"-";"-";"-";"32";"15819";"-";"-";"-";"-";"-";"-";"8";"-";"-";"-";"-";"-";"-";"450";"8";"-";"-";"120";"-";"4816";"-";"-";"-";"-";"-";"-";"-";"37957";"-";"-";"180";"-";"-";"-";"-";"-"
"Bom Princípio do Piauí (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"111";"-";"-";"-";"-";"-";"-";"-";"-";"-";"653";"-";"-";"-";"-";"-";"-";"10";"-";"-";"-";"-";"-";"-";"3480";"35";"-";"-";"-";"-";"219";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Bonfim do Piauí (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"25";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"11";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Boqueirão do Piauí (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"29";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"23";"-";"-";"-";"-";"-";"-";"-";"-";"-";"103";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"37";"-";"-";"-";"-";"-";"40";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Brasileira (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"137";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"50";"-";"-";"-";"-";"35";"-";"-";"-";"-";"335";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"20";"35";"-";"-";"39";"-";"51";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Brejo do Piauí (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"-";"-";"-";"60";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"40";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"45";"-";"-";"-";"74";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Buriti dos Lopes (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"9474";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"628";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1436";"-";"-";"-";"-";"-";"110";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Buriti dos Montes (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"115";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"16";"-";"-";"-";"-";"-";"44";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cabeceiras do Piauí (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"48";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"132";"-";"-";"-";"-";"33";"-";"-";"-";"-";"55";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"202";"-";"-";"-";"18";"-";"34";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cajazeiras do Piauí (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"109";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"105";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"293";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cajueiro da Praia (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"20";"-";"-";"-";"-";"99";"-";"-";"-";"-";"195";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"726";"-";"-";"-";"-";"-";"30";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Caldeirão Grande do Piauí (PI)";"-";"-";"...";"...";"-";"-";"-";"11";"-";"-";"-";"43";"-";"-";"-";"...";"-";"-";"-";"-";"...";"58";"...";"-";"11";"-";"-";"-";"-";"14";"-";"-";"-";"18";"350";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1710";"-";"-";"-";"-";"-";"155";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Campinas do Piauí (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"71";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Campo Alegre do Fidalgo (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Campo Grande do Piauí (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"77";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Campo Largo do Piauí (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"186";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"92";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"63";"-";"-";"-";"-";"-";"35";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
