"Município";"Abacate";"Abacaxi*";"Açaí";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Azeitona";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Cana-de-açúcar";"Cana para forragem";"Caqui";"Castanha de caju";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Chá-da-índia (folha verde)";"Coco-da-baía*";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Figo";"Fumo (em folha)";"Girassol (em grão)";"Goiaba";"Guaraná (semente)";"Juta (fibra)";"Laranja";"Limão";"Linho (semente)";"Maçã";"Malva (fibra)";"Mamão";"Mamona (baga)";"Mandioca";"Manga";"Maracujá";"Marmelo";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Rami (fibra)";"Sisal ou agave (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tangerina";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"Brasil";"150290";"1854309";"...";"...";"12";"6923887";"573738";"479817";"7545033";"227109";"599";"5114223";"412896";"3855675";"808650";"...";"1214038";"12820331";"10377009";"2443322";"...";"42946610";"...";"225476";"160294";"1305038";"3308";"190906";"2489";"1034985";"313840";"406518";"5893";"49394";"6945595";"64427";"5631445";"93436";"392622";"32533";"822";"4765624";"686554";"13558";"1013579";"16384";"1209777";"17830";"10130512";"906927";"932024";"763";"1107987";"501652";"26723097";"22990";"309880";"30312";"312059";"469264";"990";"188120";"68934363";"535796";"636089";"5220504";"3809304";"26522";"135";"39545";"2120893"
"Norte";"1876";"443811";"...";"...";"-";"21339";"-";"8563";"633663";"-";"-";"774653";"7210";"-";"7241";"...";"415384";"270472";"145";"270327";"...";"516546";"...";"-";"2447";"-";"-";"-";"-";"118946";"264101";"-";"-";"-";"210225";"-";"1022";"-";"4700";"12851";"822";"221372";"43074";"-";"-";"16384";"70109";"-";"3768194";"803";"95711";"-";"314129";"1242";"727503";"-";"603";"-";"-";"366915";"-";"-";"2256926";"19273";"5164";"41371";"-";"-";"-";"11619";"690"
"Nordeste";"4969";"673884";"...";"...";"12";"2581705";"32059";"11764";"500754";"-";"-";"1694704";"108388";"179363";"131881";"...";"773474";"702346";"525443";"176902";"...";"4421420";"...";"29";"157430";"272469";"-";"-";"-";"668895";"49739";"-";"-";"48311";"1004631";"-";"35562";"95";"199632";"18714";"-";"545918";"76276";"-";"804";"-";"751169";"15945";"1972171";"648407";"603702";"41";"305168";"466313";"2200255";"-";"15082";"-";"-";"23908";"-";"188120";"4397890";"19516";"19978";"569861";"-";"-";"-";"4136";"798059"
"Sudeste";"112627";"587211";"...";"...";"-";"199346";"142427";"425614";"80078";"1748";"333";"1801952";"86340";"2179596";"552285";"...";"23234";"11306263";"9348081";"1958182";"...";"27426034";"...";"164915";"-";"322779";"-";"-";"1925";"216754";"-";"-";"2143";"478";"2102415";"43696";"306";"12238";"143625";"-";"-";"3390530";"525360";"-";"11410";"-";"379935";"1348";"1118160";"242950";"149154";"360";"106524";"389";"4836586";"4558";"137871";"1329";"124122";"78316";"-";"-";"4618056";"152876";"315411";"2347876";"165194";"5103";"-";"17387";"438275"
"Sul";"25594";"16369";"...";"...";"-";"110";"203425";"29212";"5882401";"221966";"266";"551397";"197838";"1244170";"3934";"...";"-";"425386";"425386";"-";"...";"2713466";"...";"60532";"-";"550938";"2800";"190906";"564";"2174";"-";"404597";"3750";"605";"2241303";"20716";"5594555";"4460";"18332";"-";"-";"541820";"31256";"13558";"1001365";"-";"4057";"537";"2640718";"10672";"50990";"362";"229280";"29105";"9584527";"18432";"102163";"28982";"187937";"-";"990";"-";"27617956";"17276";"282439";"1138795";"3617174";"21418";"135";"4311";"861637"
"Centro-Oeste";"5223";"133035";"...";"...";"-";"4121387";"195828";"4665";"448137";"3396";"-";"291516";"13120";"252546";"113310";"...";"1946";"115864";"77953";"37911";"...";"7869143";"...";"-";"417";"158852";"508";"-";"-";"28217";"-";"1921";"-";"-";"1387020";"15";"-";"76644";"26333";"968";"-";"65983";"10588";"-";"-";"-";"4507";"-";"631269";"4095";"32467";"-";"152887";"4602";"9374227";"-";"54160";"-";"-";"124";"-";"-";"30043536";"326856";"13098";"1122601";"26936";"-";"-";"2091";"22231"
"Piauí";"14";"-";"...";"...";"-";"37273";"-";"164";"72823";"-";"-";"36430";"352";"-";"-";"...";"-";"-";"-";"-";"...";"70161";"...";"-";"17915";"46";"-";"-";"-";"6930";"-";"-";"-";"2240";"121193";"-";"-";"-";"3004";"-";"-";"1881";"285";"-";"-";"-";"838";"64";"42902";"3211";"729";"-";"28154";"33344";"254271";"-";"-";"-";"-";"-";"-";"-";"775148";"-";"102";"5883";"-";"-";"-";"6";"960"
"Acauã (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"-";"-";"-";"-";"22";"-";"-";"...";"-";"-";"-";"-";"...";"22";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Agricolândia (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"267";"-";"-";"60";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"49";"-";"-";"-";"-";"-";"-";"-";"-";"9";"163";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"27";"-";"-";"-";"79";"-";"498";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"60";"-";"-";"-";"-";"-"
"Água Branca (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"19";"-";"-";"-";"18";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"35";"-";"-";"-";"-";"-";"-";"-";"-";"-";"125";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"109";"-";"-";"-";"75";"-";"211";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"240";"-";"-";"-";"-";"-"
"Alagoinha do Piauí (PI)";"-";"-";"...";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"294";"-";"-";"-";"-";"32";"-";"-";"-";"-";"400";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"450";"35";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
