"Município";"Peixes";"Carpa";"Curimatã, curimbatá";"Dourado";"Jatuarana, piabanha e piracanjuba";"Lambari";"Matrinxã";"Pacu e patinga";"Piau, piapara, piauçu, piava";"Pintado, cachara, cachapira e pintachara, surubim";"Pirapitinga";"Pirarucu";"Tambacu, tambatinga";"Tambaqui";"Tilápia";"Traíra e trairão";"Truta";"Tucunaré";"Outros peixes";"Alevinos";"Camarão";"Larvas e pós-larvas de camarão";"Ostras, vieiras e mexilhões";"Sementes de moluscos";"Outros produtos (rã, jacaré, siri, caranguejo, lagosta, etc)"
"Monte Alegre do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"25";"47";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Morro do Chapéu do Piauí (PI)";"...";"-";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"8";"35";"31";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Murici dos Portelas (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"56";"289";"84";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Nazaré do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Nazária (PI)";"...";"-";"191";"-";"-";"-";"-";"-";"-";"-";"-";"-";"342";"5674";"752";"-";"-";"-";"-";"470";"-";"-";"-";"-";"-"
"Nossa Senhora de Nazaré (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"97";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Nossa Senhora dos Remédios (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"26";"-";"-";"-";"780";"51";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Novo Oriente do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"98";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Novo Santo Antônio (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"151";"54";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Oeiras (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"14";"-";"-";"-";"194";"13";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Olho D'Água do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"68";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Paes Landim (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"94";"21";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pajeú do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"32";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Palmeira do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"262";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Palmeirais (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2441";"346";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Paquetá (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"38";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Parnaguá (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Parnaíba (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"193";"563";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Passagem Franca do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"17";"-";"-";"162";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Patos do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Pau D'Arco do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"104";"134";"13";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Paulistana (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"162";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pavussu (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Pedro II (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"178";"219";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pedro Laurentino (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Nova Santa Rita (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"32";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Picos (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"240";"560";"-";"-";"-";"-";"305";"-";"-";"-";"-";"-"
"Pimenteiras (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"80";"234";"23";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pio IX (PI)";"...";"-";"9";"-";"-";"-";"-";"-";"5";"-";"-";"-";"30";"-";"284";"38";"-";"10";"-";"-";"-";"-";"-";"-";"-"
"Piracuruca (PI)";"...";"9";"10";"-";"-";"-";"-";"-";"18";"120";"-";"-";"-";"702";"721";"-";"-";"-";"13";"229";"-";"-";"-";"-";"-"
"Piripiri (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"58";"909";"1095";"-";"-";"-";"-";"309";"-";"-";"-";"-";"-"
"Porto (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"70";"-";"-";"-";"132";"558";"145";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Porto Alegre do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"13";"31";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Prata do Piauí (PI)";"...";"-";"25";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"150";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Queimada Nova (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"119";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Redenção do Gurguéia (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"152";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Regeneração (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Riacho Frio (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Ribeira do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Ribeiro Gonçalves (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Rio Grande do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Santa Cruz do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Santa Cruz dos Milagres (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"180";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Santa Filomena (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"9";"86";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Santa Luz (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"70";"-";"-";"24";"211";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Santa Rosa do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"209";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Santo Inácio do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"50";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São Félix do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"22";"246";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São Francisco de Assis do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"São Francisco do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"262";"21";"46";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São Gonçalo do Gurguéia (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"21";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São Gonçalo do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"234";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São João da Fronteira (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"São João da Serra (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"858";"90";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São João da Varjota (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São João do Arraial (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"23";"-";"-";"36";"62";"121";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São João do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"23";"-";"-";"-";"160";"24";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São José do Divino (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"57";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São José do Peixe (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"São José do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"21";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São Luis do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
