"Município";"Peixes";"Carpa";"Curimatã, curimbatá";"Dourado";"Jatuarana, piabanha e piracanjuba";"Lambari";"Matrinxã";"Pacu e patinga";"Piau, piapara, piauçu, piava";"Pintado, cachara, cachapira e pintachara, surubim";"Pirapitinga";"Pirarucu";"Tambacu, tambatinga";"Tambaqui";"Tilápia";"Traíra e trairão";"Truta";"Tucunaré";"Outros peixes";"Alevinos";"Camarão";"Larvas e pós-larvas de camarão";"Ostras, vieiras e mexilhões";"Sementes de moluscos";"Outros produtos (rã, jacaré, siri, caranguejo, lagosta, etc)"
"Brasil";"...";"176124";"34304";"1674";"6583";"4514";"66976";"99579";"38040";"182900";"23841";"35930";"489409";"1213184";"4187606";"8047";"35794";"2586";"36911";"492403";"2626709";"263709";"86864";"3187";"5187"
"Nordeste";"...";"3058";"27132";"55";"345";"26";"329";"19818";"11225";"7620";"139";"2907";"109490";"216306";"947124";"2040";"-";"2022";"6520";"51278";"2612514";"262142";"4814";"200";"8"
"Piauí";"...";"5";"522";"-";"-";"-";"-";"-";"182";"480";"-";"53";"21339";"48872";"67548";"2";"-";"-";"2735";"2336";"63296";"6241";"-";"-";"-"
"Agricolândia (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"121";"37";"-";"-";"-";"38";"-";"-";"-";"-";"-";"-"
"Água Branca (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"77";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Alto Longá (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"998";"702";"250";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Altos (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"403";"101";"95";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Alvorada do Gurguéia (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"30";"120";"-";"38";"-";"326";"8";"-";"-";"-";"192";"-";"-";"-";"-";"-";"-"
"Amarante (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"83";"325";"-";"-";"-";"-";"77";"-";"-";"-";"-";"-";"-"
"Angical do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"125";"-";"55";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Anísio de Abreu (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"27";"30";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Antônio Almeida (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"16";"11";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-"
"Aroazes (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"131";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Arraial (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6";"22";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Baixa Grande do Ribeiro (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"140";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Barra D'Alcântara (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"173";"30";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Barras (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"367";"1487";"182";"-";"-";"-";"92";"-";"-";"-";"-";"-";"-"
"Barreiras do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"104";"-";"-";"-";"-";"22";"-";"-";"-";"-";"-";"-"
"Barro Duro (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"156";"-";"-";"-";"-";"10";"-";"-";"-";"-";"-";"-"
"Batalha (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"459";"230";"78";"-";"-";"-";"73";"-";"-";"-";"-";"-";"-"
"Belém do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"34";"7";"-";"-";"-";"21";"-";"-";"-";"-";"-";"-"
"Beneditinos (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"142";"3537";"74";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Bertolínia (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"67";"-";"-";"-";"-";"19";"-";"-";"-";"-";"-";"-"
"Boa Hora (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"33";"18";"-";"-";"-";"9";"-";"-";"-";"-";"-";"-"
"Bocaina (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"30";"-";"-";"-";"-";"72";"1920";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Bom Jesus (PI)";"...";"-";"8";"-";"-";"-";"-";"-";"7";"-";"-";"-";"659";"241";"-";"-";"-";"-";"32";"-";"-";"-";"-";"-";"-"
"Bom Princípio do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"11";"-";"-";"-";"-"
"Bonfim do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Boqueirão do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"10";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Brasileira (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Brejo do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"120";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Buriti dos Lopes (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"166";"170";"39";"-";"-";"-";"-";"126";"-";"-";"-";"-";"-"
"Cabeceiras do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"358";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cajazeiras do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"56";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cajueiro da Praia (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"36295";"6241";"-";"-";"-"
"Caldeirão Grande do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Campinas do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"171";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Campo Alegre do Fidalgo (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Campo Grande do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Campo Largo do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"95";"662";"21";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Campo Maior (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"118";"993";"608";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Canavieira (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"50";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Canto do Buriti (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"125";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Capitão de Campos (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"241";"61";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-"
"Caraúbas do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"36";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
