Coluna;Região Natural
CNAE 2.0 Subclasse;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
Extração de sal-gema;0;160;0;0;0
Refino e outros tratamentos do sal;45;1242;44;343;0
Extração de gemas (pedras preciosas e semipreciosas);88;76;935;33;30
Extração de grafita;0;151;891;0;0
Extração de quartzo;10;128;922;0;6
Extração de amianto;0;1;12;0;689
Extração de outros minerais não-metálicos não especificados anteriormente;629;3065;5130;1535;793
Atividades de apoio à extração de petróleo e gás natural;672;3409;24551;193;5
Atividades de apoio à extração de minério de ferro;274;498;856;6;10
Atividades de apoio à extração de minerais metálicos não-ferrosos;33;214;53;0;149
Atividades de apoio à extração de minerais não-metálicos;62;865;1504;548;211
Frigorífico - abate de bovinos;21452;4408;33869;14816;50087
Frigorífico - abate de eqüinos;0;0;7;109;0
Frigorífico - abate de ovinos e caprinos;10;171;8;17;54
Frigorífico - abate de bufalinos;0;40;0;0;0
Matadouro - abate de reses sob contrato, exceto abate de suínos;715;875;1042;658;578
Abate de aves;1848;6454;36786;98887;19157
Abate de pequenos animais;109;850;272;71;69
Frigorífico - abate de suínos;101;185;7145;56671;23611
Matadouro - abate de suínos sob contrato;1;0;72;530;5
Fabricação de produtos de carne;530;4372;30484;12254;2324
Preparação de subprodutos do abate;539;284;2386;3424;1813
Preservação de peixes, crustáceos e moluscos;562;1613;942;1884;86
Fabricação de conservas de peixes, crustáceos e moluscos;929;1034;2646;6917;566
Fabricação de conservas de frutas;1408;6015;7156;3804;1411
Fabricação de conservas de palmito;443;377;411;525;93
Fabricação de conservas de legumes e outros vegetais, exceto palmito;144;85;2654;2769;4921
Fabricação de sucos concentrados de frutas, hortaliças e legumes;300;3262;6605;1485;176
Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados;226;1627;4693;402;99
Fabricação de óleos vegetais em bruto, exceto óleo de milho;1569;1937;3132;7275;5505
Fabricação de óleos vegetais refinados, exceto óleo de milho;555;865;3132;748;2660
Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais;1;579;3190;896;204
Preparação do leite;392;1380;7479;3371;783
Fabricação de laticínios;5189;10076;43193;18624;9554
Fabricação de sorvetes e outros gelados comestíveis;1445;6288;9652;4125;2316
Beneficiamento de arroz;1288;1331;2833;12713;2350
Fabricação de produtos do arroz;3;22;100;836;37
Moagem de trigo e fabricação de derivados;495;6427;7881;7870;808
Fabricação de farinha de mandioca e derivados;98;358;1205;1971;165
Fabricação de farinha de milho e derivados, exceto óleos de milho;291;3756;1490;1611;436
Fabricação de amidos e féculas de vegetais;22;656;2792;2987;1128
Fabricação de óleo de milho em bruto;0;0;1;125;7
Fabricação de óleo de milho refinado;0;0;0;0;0
Fabricação de alimentos para animais;1478;5365;19673;13319;5821
Moagem e fabricação de produtos de origem vegetal não especificados anteriormente;731;6189;7582;5138;1072
Fabricação de açúcar em bruto;3;114941;151066;30370;21331
Fabricação de açúcar de cana refinado;4;6764;1849;6;26
Fabricação de açúcar de cereais (dextrose) e de beterraba;0;0;1;0;0
Beneficiamento de café;41;69;792;123;10
Torrefação e moagem de café;541;5044;7264;1339;1586
Fabricação de produtos à base de café;18;9;2585;1422;0
Fabricação de produtos de panificação;0;0;0;0;0
Fabricação de produtos de panificação industrial;1574;10763;26922;13527;3541
Fabricação de produtos de padaria e confeitaria com predominância de produção própria;2328;16855;21075;9472;3584
Fabricação de biscoitos e bolachas;1636;7311;21660;10605;3652
Fabricação de produtos derivados do cacau e de chocolates;44;2516;17848;8330;193
Fabricação de frutas cristalizadas, balas e semelhantes;79;896;5390;4419;93
Fabricação de massas alimentícias;767;11859;24984;9264;1368
Fabricação de especiarias, molhos, temperos e condimentos;296;1244;7161;1749;1495
Fabricação de alimentos e pratos prontos;1842;2163;5373;2957;1103
Fabricação de vinagres;12;590;513;222;6
Fabricação de pós alimentícios;175;652;1542;767;258
Fabricação de fermentos e leveduras;1;22;811;77;0
Fabricação de gelo comum;500;1334;2286;430;451
Fabricação de produtos para infusão (chá, mate, etc.);44;12;190;3315;33
Fabricação de adoçantes naturais e artificiais;0;4;25;127;749
Fabricação de alimentos dietéticos e complementos alimentares;0;4;6;3;1
Fabricação de outros produtos alimentícios não especificados anteriormente;2161;9154;45954;16442;5787
Fabricação de aguardente de cana-de-açúcar;19;6311;3214;341;92
Fabricação de outras aguardentes e bebidas destiladas;6;1843;2730;608;160
Fabricação de vinho;99;843;1589;3615;6
Fabricação de malte, inclusive malte uísque;0;0;52;387;0
Fabricação de cervejas e chopes;1795;8456;19252;3044;3465
Fabricação de águas envasadas;1160;6369;5987;1811;1615
Fabricação de refrigerantes;5296;14856;19187;8539;6744
Fabricação de chá mate e outros chás prontos para consumo;0;2;482;69;1
Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas;292;449;6337;153;617
Fabricação de bebidas isotônicas;0;3;0;0;0
Fabricação de outras bebidas não-alcoólicas não especificadas anteriormente;213;461;371;129;4
Processamento industrial do fumo;0;12;2;2894;0
Fabricação de cigarros;138;887;4043;4367;152
Fabricação de cigarrilhas e charutos;0;174;5;17;0
Fabricação de filtros para cigarros;0;0;15;0;0
Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos;10;581;203;612;58
Preparação e fiação de fibras de algodão;5;9771;8836;6635;1605
Preparação e fiação de fibras têxteis naturais, exceto algodão;1747;1951;2452;924;25
Fiação de fibras artificiais e sintéticas;0;1819;6535;3046;153
Fabricação de linhas para costurar e bordar;0;870;4314;1782;7
Tecelagem de fios de algodão;3;12975;14534;6914;1116
Tecelagem de fios de fibras têxteis naturais, exceto algodão;161;1195;619;421;11
Tecelagem de fios de fibras artificiais e sintéticas;28;2137;13788;3657;11
Fabricação de tecidos de malha;12;3144;9218;12969;192
Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário;82;1535;10176;5455;198
Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário;0;659;3248;7831;98
Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário;43;3428;5302;7320;575
Fabricação de artefatos têxteis para uso doméstico;130;7437;26534;12999;2536
Fabricação de artefatos de tapeçaria;63;491;4715;1034;824
Fabricação de artefatos de cordoaria;2;348;1302;1649;30
Fabricação de tecidos especiais, inclusive artefatos;47;1791;7978;4092;301
Fabricação de outros produtos têxteis não especificados anteriormente;161;3815;30688;10798;1572
Confecção de roupas íntimas;556;19084;46165;12796;5382
Facção de roupas íntimas;82;2783;1499;596;264
Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida;1527;71719;197469;139296;19578
Confecção, sob medida, de peças do vestuário, exceto roupas íntimas;327;8792;23904;9020;2014
Facção de peças do vestuário, exceto roupas íntimas;16;7052;15719;26966;3756
Confecção de roupas profissionais, exceto sob medida;1209;2780;9887;3426;1463
Confecção, sob medida, de roupas profissionais;645;1356;3731;1066;588
Facção de roupas profissionais;105;159;377;447;75
Fabricação de acessórios do vestuário, exceto para segurança e proteção;218;3826;8503;6869;820
Fabricação de meias;0;3040;8658;581;1
Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias;232;1362;5937;9351;3011
Curtimento e outras preparações de couro;2264;5139;10355;14762;6583
Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material;28;2096;7929;5391;425
Fabricação de artefatos de couro não especificados anteriormente;66;1555;6034;4149;790
Fabricação de calçados de couro;97;63566;36283;60835;1469
Acabamento de calçados de couro sob contrato;0;1010;6858;21023;18
Fabricação de tênis de qualquer material;0;2123;9338;3882;210
Fabricação de calçados de material sintético;30;29466;13977;19041;1299
Fabricação de calçados de materiais não especificados anteriormente;9;14771;16422;3900;803
Fabricação de partes para calçados, de qualquer material;0;2143;7616;11451;255
Serrarias com desdobramento de madeira (Desativado);18151;1316;9635;32263;9866
Serrarias sem desdobramento de madeira (Desativado);1387;248;1880;2395;937
Serrarias com desdobramento de madeira em bruto;0;0;0;0;0
Serrarias sem desdobramento de madeira em bruto  Resserragem;0;0;0;0;0
Serviço de tratamento de madeira realizado sob contrato;0;0;0;0;0
Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada;5213;149;5647;27669;2210
Fabricação de casas de madeira pré-fabricadas;30;85;599;331;49
Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais;1072;2432;4907;16820;1412
Fabricação de outros artigos de carpintaria para construção;167;1077;2900;1558;514
Fabricação de artefatos de tanoaria e de embalagens de madeira;339;936;8193;4604;377
Fabricação de artefatos diversos de madeira, exceto móveis;1429;1289;9961;10623;1098
Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis;7;161;385;441;106
Fabricação de celulose e outras pastas para a fabricação de papel;627;3237;8123;2389;1727
Fabricação de papel;1064;4476;13023;16694;859
Fabricação de cartolina e papel-cartão;0;0;1710;2380;0
Fabricação de embalagens de papel;147;2305;12632;6379;820
Fabricação de embalagens de cartolina e papel-cartão;128;352;7042;1696;57
Fabricação de chapas e de embalagens de papelão ondulado;1227;2558;21741;8406;721
Fabricação de formulários contínuos;26;174;589;400;245
Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório, exceto formulário contínuo;1133;1880;12412;5152;869
Fabricação de fraldas descartáveis;0;1033;7207;963;2975
Fabricação de absorventes higiênicos;0;173;1;3;0
Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente;98;867;5388;3164;162
Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente;299;703;8791;3225;1182
Impressão de jornais;82;729;2764;356;237
Impressão de livros, revistas e outras publicações periódicas;166;2397;12633;2164;1158
Impressão de material de segurança;91;988;6446;582;100
Impressão de material para uso publicitário;829;3849;9758;4894;1674
Impressão de material para outros usos;1009;4583;19517;9275;2064
Serviços de pré-impressão;619;1861;15161;3665;1289
Serviços de acabamentos gráficos (Desativado);0;0;0;0;0
Serviços de encadernação e plastificação;29;177;800;260;90
Serviços de acabamentos gráficos, exceto encadernação e plastificação;171;1057;4217;1584;348
Reprodução de som em qualquer suporte;1548;51;407;14;24
Reprodução de vídeo em qualquer suporte;454;55;224;43;11
Reprodução de software em qualquer suporte;27;85;429;121;758
Coquerias;0;10;232;200;0
Fabricação de produtos do refino de petróleo;667;5395;24141;3336;223
Formulação de combustíveis;0;4;34;8;5
Rerrefino de óleos lubrificantes;97;125;2119;272;0
Fabricação de outros produtos derivados do petróleo, exceto produtos do refino;5;35;2122;329;2
Fabricação de álcool;2597;23849;47808;9957;36162
Fabricação de biocombustíveis, exceto álcool;253;305;435;1125;925
Fabricação de cloro e álcalis;0;507;555;274;0
Fabricação de intermediários para fertilizantes;0;4;1630;478;323
Fabricação de adubos e fertilizantes (Desativado);241;3644;12380;9240;2815
Fabricação de adubos e fertilizantes organominerais;0;0;0;0;0
Fabricação de adubos e fertilizantes, exceto organominerais;0;0;0;0;0
Fabricação de gases industriais;314;684;3576;605;156
Elaboração de combustíveis nucleares;0;309;1055;0;2
Fabricação de outros produtos químicos inorgânicos não especificados anteriormente;121;894;4529;658;112
Fabricação de produtos petroquímicos básicos;25;1562;3164;866;129
Fabricação de intermediários para plastificantes, resinas e fibras;9;617;725;281;1
Fabricação de produtos químicos orgânicos não especificados anteriormente;28;1314;10441;1971;271
Fabricação de resinas termoplásticas;342;1143;5291;1722;39
Fabricação de resinas termofixas;3;97;1750;350;0
Fabricação de elastômeros;0;147;637;196;5
Fabricação de fibras artificiais e sintéticas;0;727;3501;391;73
Fabricação de defensivos agrícolas;0;614;4946;995;106
Fabricação de desinfestantes domissanitários;5;166;1773;469;133
Fabricação de sabões e detergentes sintéticos;543;5260;13424;2207;1710
Fabricação de produtos de limpeza e polimento;928;5261;11368;3115;797
Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal;638;2534;32709;5817;1398
Fabricação de tintas, vernizes, esmaltes e lacas;530;3760;17441;5270;1529
Fabricação de tintas de impressão;0;71;1249;277;0
Fabricação de impermeabilizantes, solventes e produtos afins;93;598;2328;833;61
Fabricação de adesivos e selantes;23;261;3328;2001;47
Fabricação de pólvoras, explosivos e detonantes;333;207;2082;768;102
Fabricação de artigos pirotécnicos;0;54;4011;32;0
Fabricação de fósforos de segurança;0;0;88;1292;0
Fabricação de aditivos de uso industrial;106;280;7207;1090;63
Fabricação de catalisadores;0;0;545;22;0
Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia;122;0;1066;12;5
Fabricação de outros produtos químicos não especificados anteriormente;426;2720;31241;6969;1441
Fabricação de produtos farmoquímicos;51;187;4025;555;576
Fabricação de medicamentos alopáticos para uso humano;140;5088;58689;6207;12096
Fabricação de medicamentos homeopáticos para uso humano;9;60;348;101;17
Fabricação de medicamentos fitoterápicos para uso humano;28;38;374;498;9
Fabricação de medicamentos para uso veterinário;8;222;7442;845;220
Fabricação de preparações farmacêuticas;13;2;1267;253;20
Fabricação de pneumáticos e de câmaras-de-ar;566;4320;19403;4445;38
Reforma de pneumáticos usados;1180;2510;7401;4198;1875
Fabricação de artefatos de borracha não especificados anteriormente;205;2950;40117;11144;573
Fabricação de laminados planos e tubulares de material plástico;487;3028;10737;4212;467
Fabricação de embalagens de material plástico;3113;14539;64309;32364;6049
Fabricação de tubos e acessórios de material plástico para uso na construção;160;2112;5858;5531;563
Fabricação de artefatos de material plástico para uso pessoal e doméstico;641;3892;25046;9527;271
Fabricação de artefatos de material plástico para usos industriais;5054;2707;38674;17301;467
Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios;423;2641;6784;6322;875
Fabricação de artefatos de material plástico para outros usos não especificados anteriormente;2326;5670;51609;20872;1487
Fabricação de vidro plano e de segurança;614;1754;12570;3226;1882
Fabricação de embalagens de vidro;4;1088;6507;246;5
Fabricação de artigos de vidro;93;2194;11739;3980;109
Fabricação de cimento;1975;4678;7112;1764;1756
Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda;2076;9545;15176;9621;4059
Fabricação de artefatos de cimento para uso na construção;1813;6810;19202;11808;3800
Fabricação de artefatos de fibrocimento para uso na construção;367;346;1810;1018;666
Fabricação de casas pré-moldadas de concreto;11;16;150;236;47
Preparação de massa de concreto e argamassa para construção;1148;1510;7797;3953;1060
Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;1207;6555;11421;7763;2180
Fabricação de produtos cerâmicos refratários;530;1832;6866;1056;741
Fabricação de azulejos e pisos;158;4653;13080;10154;331
Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos;11381;36735;39818;18183;9372
Fabricação de material sanitário de cerâmica;2;3009;6372;537;0
Fabricação de produtos cerâmicos não-refratários não especificados anteriormente;399;2679;7176;4884;794
Britamento de pedras, exceto associado à extração;160;737;1753;655;242
Aparelhamento de pedras para construção, exceto associado à extração;49;503;4137;749;184
Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras;735;4506;26855;6194;2348
Fabricação de cal e gesso;63;3465;3598;1957;118
Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal;166;358;3189;645;103
Fabricação de abrasivos;6;0;168;67;0
Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente;190;2717;14269;2055;562
Produção de ferro-gusa;1112;1736;7609;19;656
Produção de ferroligas;40;2018;5761;206;847
Produção de semi-acabados de aço;4;180;3296;320;0
Produção de laminados planos de aço ao carbono, revestidos ou não;30;235;31455;648;486
Produção de laminados planos de aços especiais;0;0;3016;0;0
Produção de tubos de aço sem costura;3;1;6551;28;1
Produção de laminados longos de aço, exceto tubos;1279;1273;18335;3195;145
Produção de arames de aço;4;691;4644;79;10
Produção de relaminados, trefilados e perfilados de aço, exceto arames;124;1445;9566;1230;482
Produção de tubos de aço com costura;61;3018;8087;2872;0
Produção de outros tubos de ferro e aço;3;176;2944;717;10
Produção de alumínio e suas ligas em formas primárias;3051;4315;10694;1914;228
Produção de laminados de alumínio;12;214;5156;1569;56
Metalurgia dos metais preciosos;0;14;829;100;39
Metalurgia do cobre;146;922;4222;342;114
Produção de zinco em formas primárias;0;21;1329;64;5
Produção de laminados de zinco;1;23;39;15;1
Produção de soldas e ânodos para galvanoplastia;32;44;509;42;12
Metalurgia de outros metais não-ferrosos e suas ligas não especificados anteriormente;1435;573;10451;1853;284
Fundição de ferro e aço;141;860;30892;22506;445
Fundição de metais não-ferrosos e suas ligas;625;463;11173;5990;287
Fabricação de estruturas metálicas;4039;8468;34302;17323;5322
Fabricação de esquadrias de metal;798;8775;34198;18330;5201
Fabricação de obras de caldeiraria pesada;220;1922;15990;1036;84
Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central;258;908;7050;2575;582
Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos;1;221;2840;868;35
Produção de forjados de aço;11;94;3472;2366;48
Produção de forjados de metais não-ferrosos e suas ligas;9;96;1588;353;104
Produção de artefatos estampados de metal;2430;5035;25579;9194;1114
Metalurgia do pó;1;4;1555;399;7
Serviços de usinagem, solda, tratamento e revestimento em metais (Desativado);0;0;0;0;0
Serviços de usinagem, tornearia e solda;719;3947;23946;9915;807
Serviços de tratamento e revestimento em metais;18;169;5556;1927;116
Fabricação de artigos de cutelaria;1835;46;1065;5482;0
Fabricação de artigos de serralheria, exceto esquadrias;411;3998;25972;7148;2092
Fabricação de ferramentas;80;280;12551;10693;259
Fabricação de equipamento bélico pesado, exceto veículos militares de combate;0;0;1663;51;9
Fabricação de armas de fogo e munições;0;0;2444;2980;0
Fabricação de embalagens metálicas;322;2213;13769;2279;783
Fabricação de produtos de trefilados de metal padronizados;112;823;10525;4749;622
Fabricação de produtos de trefilados de metal, exceto padronizados;34;403;10739;2751;318
Fabricação de artigos de metal para uso doméstico e pessoal;236;2779;11460;9022;434
Serviços de confecção de armações metálicas para a construção;183;600;4102;1696;476
Serviços de corte e dobra de metais;20;105;157;116;1
Fabricação de outros produtos de metal não especificados anteriormente;1227;3100;64490;30785;2600
Fabricação de componentes eletrônicos;19080;618;18068;7452;108
Fabricação de equipamentos de informática;2968;1740;12632;4959;114
Fabricação de periféricos para equipamentos de informática;6031;709;17931;2656;91
Fabricação de equipamentos transmissores de comunicação, peças e acessórios;1392;139;6758;2155;58
Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios;2167;60;10003;3026;22
Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo;11807;612;4610;2805;192
Fabricação de aparelhos e equipamentos de medida, teste e controle;273;686;16188;8752;165
Fabricação de cronômetros e relógios;2211;2;657;262;0
Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação;106;41;4685;655;85
Fabricação de equipamentos e instrumentos ópticos, peças e acessórios;18;454;1039;97;2
Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios;810;0;376;320;4
Fabricação de mídias virgens, magnéticas e ópticas;0;23;93;74;0
Fabricação de geradores de corrente contínua e alternada, peças e acessórios;133;1495;1242;1702;10
