Coluna;Região Natural
CNAE 2.0 Subclasse;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
Cultivo de arroz;2110;3057;4347;18043;789
Cultivo de milho;184;630;7092;1927;1316
Cultivo de trigo;8;16;173;195;59
Cultivo de outros cereais não especificados anteriormente;656;4769;7170;12194;5078
Cultivo de algodão herbáceo;56;4862;451;61;4891
Cultivo de juta;38;3;12;4;39
Cultivo de outras fibras de lavoura temporária não especificadas anteriormente;70;528;1842;772;189
Cultivo de cana-de-açúcar;965;36754;95247;11132;19055
Cultivo de fumo;0;1588;11;74;2
Cultivo de soja;3076;12395;9221;23705;64031
Cultivo de amendoim;1;2;390;1;0
Cultivo de girassol;0;27;42;1;4
Cultivo de mamona;0;17;5;4;0
Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente;113;490;2872;734;1058
Cultivo de abacaxi;69;73;420;24;19
Cultivo de alho;0;24;432;360;280
Cultivo de batata-inglesa;0;2521;3451;1403;311
Cultivo de cebola;2;105;718;203;23
Cultivo de feijão;25;300;451;151;166
Cultivo de mandioca;40;92;323;973;86
Cultivo de melão;0;9834;33;12;0
Cultivo de melancia;22;264;77;66;25
Cultivo de tomate rasteiro;12;57;2740;387;320
Cultivo de outras plantas de lavoura temporária não especificadas anteriormente;314;2233;13293;5056;2212
Horticultura, exceto morango;586;2050;16212;3724;2504
Cultivo de morango;0;0;680;498;9
Cultivo de flores e plantas ornamentais;265;1585;15661;1590;556
Cultivo de laranja;172;1740;47362;1565;341
Cultivo de uva;18;15039;2051;920;54
Cultivo de açaí;48;31;59;2;1
Cultivo de banana;126;5779;11329;1123;227
Cultivo de caju;1;808;56;4;1
Cultivo de cítricos, exceto laranja;81;1546;1504;168;45
Cultivo de coco-da-baía;2328;1819;417;3;33
Cultivo de guaraná;55;15;0;0;0
Cultivo de maçã;0;0;70;12517;0
Cultivo de mamão;21;3258;2405;11;7
Cultivo de maracujá;2;143;212;11;6
Cultivo de manga;21;5838;386;0;8
Cultivo de pêssego;0;0;391;254;0
Cultivo de frutas de lavoura permanente não especificadas anteriormente;240;4078;3922;1402;347
Cultivo de café;27;6246;76690;1710;158
Cultivo de cacau;130;8179;947;1;4
Cultivo de chá-da-índia;0;5;27;2;0
Cultivo de erva-mate;0;0;7;346;1
Cultivo de pimenta-do-reino;955;113;60;0;0
Cultivo de plantas para condimento, exceto pimenta-do-reino;8;29;83;36;14
Cultivo de dendê;11874;53;56;1;1
Cultivo de seringueira;121;1226;2184;8;2267
Cultivo de outras plantas de lavoura permanente não especificadas anteriormente;695;1354;3836;1974;272
Produção de sementes certificadas, exceto de forrageiras para pasto;253;761;2623;3346;4161
Produção de sementes certificadas de forrageiras para formação de pasto;26;108;488;63;601
Produção de mudas e outras formas de propagação vegetal, certificadas;213;722;2909;458;229
Criação de bovinos para corte;39908;24475;71675;25590;93676
Criação de bovinos para leite;3100;7564;57674;4696;12648
Criação de bovinos, exceto para corte e leite;1522;2574;5249;1339;3106
Criação de bufalinos;255;179;259;116;86
Criação de eqüinos;56;461;4160;1142;205
Criação de asininos e muares;93;134;368;88;46
Criação de caprinos;36;293;226;51;28
Criação de ovinos, inclusive para produção de lã;18;422;445;280;78
Criação de suínos;90;740;9386;9728;4088
Criação de frangos para corte;2930;15211;19955;7160;3322
Produção de pintos de um dia;160;1329;6798;7446;936
Criação de outros galináceos, exceto para corte;45;889;772;793;318
Criação de aves, exceto galináceos;549;810;1169;861;703
Produção de ovos;1038;6530;16211;8156;4263
Apicultura;24;154;311;140;46
Criação de animais de estimação;12;34;167;47;44
Criação de escargô;0;0;6;0;0
Criação de bicho-da-seda;0;2;56;55;3
Criação de outros animais não especificados anteriormente;184;634;2711;735;510
Serviço de pulverização e controle de pragas agrícolas;191;592;3057;1722;1153
Serviço de poda de árvores para lavouras;42;95;304;462;85
Serviço de preparação de terreno, cultivo e colheita;956;3268;16428;3409;2714
Atividades de apoio à agricultura não especificadas anteriormente;3074;6381;34382;14187;6784
Serviço de inseminação artificial em animais;21;28;232;49;57
Serviço de tosquiamento de ovinos;0;5;4;4;0
Serviço de manejo de animais;130;102;656;992;276
Atividades de apoio à pecuária não especificadas anteriormente;1075;2197;11304;5678;5117
Atividades de pós-colheita;98;682;1201;2268;1015
Caça e serviços relacionados;0;3;8;1;4
Cultivo de eucalipto;1608;3346;12503;762;4431
Cultivo de acácia-negra;178;1;10;163;1
Cultivo de pinus;315;63;1351;5448;382
Cultivo de teca;95;0;31;5;441
Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca;137;119;328;130;77
Cultivo de mudas em viveiros florestais;632;480;2415;1528;547
Extração de madeira em florestas plantadas;777;1080;3724;7064;1160
Produção de carvão vegetal - florestas plantadas;802;1841;6266;393;716
Produção de casca de acácia-negra - florestas plantadas;0;2;1;62;29
Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas;17;159;1702;1207;14
Extração de madeira em florestas nativas;1310;317;93;159;765
Produção de carvão vegetal - florestas nativas;767;963;202;53;607
Coleta de castanha-do-pará em florestas nativas;36;0;13;0;13
Coleta de látex em florestas nativas;4;58;251;0;34
Coleta de palmito em florestas nativas;3;0;18;17;6
Conservação de florestas nativas;11;446;243;36;105
Coleta de produtos não-madeireiros não especificados anteriormente em florestas nativas;43;38;492;107;170
Atividades de apoio à produção florestal;2913;10384;17403;7222;1987
Pesca de peixes em água salgada;219;498;1700;2794;0
Pesca de crustáceos e moluscos em água salgada;254;215;282;33;0
Coleta de outros produtos marinhos;1;11;4;20;0
Atividades de apoio à pesca em água salgada;10;12;114;105;6
Pesca de peixes em água doce;55;37;98;18;70
Pesca de crustáceos e moluscos em água doce;10;5;0;9;3
Coleta de outros produtos aquáticos de água doce;33;0;17;0;0
Atividades de apoio à pesca em água doce;102;10;19;14;20
Criação de peixes em água salgada e salobra;15;96;107;25;5
Criação de camarões em água salgada e salobra;81;4495;11;43;0
Criação de ostras e mexilhões em água salgada e salobra;0;17;0;47;1
Criação de peixes ornamentais em água salgada e salobra;0;7;7;0;0
Atividades de apoio à aqüicultura em água salgada e salobra;0;56;92;21;9
Cultivos e semicultivos da aqüicultura em água salgada e salobra não especificados anteriormente;3;396;5;4;2
Criação de peixes em água doce;567;1026;1470;312;603
Criação de camarões em água doce;0;483;16;2;0
Criação de ostras e mexilhões em água doce;0;9;0;1;0
Criação de peixes ornamentais em água doce;7;23;72;42;6
Ranicultura;3;5;41;6;233
Criação de jacaré;0;0;9;2;0
Atividades de apoio à aqüicultura em água doce;9;1155;115;16;14
Cultivos e semicultivos da aqüicultura em água doce não especificados anteriormente;21;163;70;33;30
Extração de carvão mineral;28;51;159;4846;57
Beneficiamento de carvão mineral;14;34;30;114;3
Extração de petróleo e gás natural;1126;10783;21878;148;29
Extração e beneficiamento de xisto;0;0;5;0;0
Extração e beneficiamento de areias betuminosas;16;5;15;15;0
Extração de minério de ferro;10631;464;36771;0;1541
Pelotização, sinterização e outros beneficiamentos de minério de ferro;0;40;6558;0;0
Extração de minério de alumínio;2978;37;383;0;0
Beneficiamento de minério de alumínio;473;55;1218;49;0
Extração de minério de estanho;481;2;8;0;7
Beneficiamento de minério de estanho;237;0;0;0;10
Extração de minério de manganês;64;11;273;0;89
Beneficiamento de minério de manganês;0;0;19;0;1
Extração de minério de metais preciosos;1336;2049;6129;249;3089
Beneficiamento de minério de metais preciosos;487;660;400;10;246
Extração de minerais radioativos;0;0;27;0;3
Extração de minérios de nióbio e titânio;2;26;9;40;0
Extração de minério de tungstênio;1;645;1;0;0
Extração de minério de níquel;1087;615;361;0;974
Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente;1978;2834;1981;6;485
Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente;2;177;175;26;1434
Extração de ardósia e beneficiamento associado;12;146;987;127;4
Extração de granito e beneficiamento associado;100;1691;7309;96;13
Extração de mármore e beneficiamento associado;7;613;433;71;32
Extração de calcário e dolomita e beneficiamento associado;458;1149;2842;1921;1806
Extração de gesso e caulim;173;568;186;119;0
Extração de areia, cascalho ou pedregulho e beneficiamento associado;1144;1999;10304;3413;1640
Extração de argila e beneficiamento associado;212;497;1791;405;78
Extração de saibro e beneficiamento associado;23;0;101;355;0
Extração de basalto e beneficiamento associado;45;66;2424;1516;117
Beneficiamento de gesso e caulim associado à extração;520;246;20;14;0
Extração e britamento de pedras e outros materiais para construção e beneficiamento associado;963;4959;11597;5513;1864
Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos;123;1686;1931;578;825
Extração de sal marinho;0;2438;742;0;0
