"Município";"Abacate";"Abacaxi*";"Açaí";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Azeitona";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Cana-de-açúcar";"Cana para forragem";"Caqui";"Castanha de caju";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Chá-da-índia (folha verde)";"Coco-da-baía*";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Figo";"Fumo (em folha)";"Girassol (em grão)";"Goiaba";"Guaraná (semente)";"Juta (fibra)";"Laranja";"Limão";"Linho (semente)";"Maçã";"Malva (fibra)";"Mamão";"Mamona (baga)";"Mandioca";"Manga";"Maracujá";"Marmelo";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Rami (fibra)";"Sisal ou agave (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tangerina";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"Alvorada do Gurguéia (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"433";"-";"-";"1746";"-";"-";"-";"...";"-";"-";"-";"-";"...";"900";"...";"-";"40";"-";"-";"-";"-";"175";"-";"-";"-";"-";"285";"-";"-";"-";"-";"-";"-";"45";"-";"-";"-";"-";"-";"-";"96";"-";"-";"-";"675";"-";"12680";"-";"-";"-";"-";"-";"-";"-";"6384";"-";"-";"-";"-";"-";"-";"-";"-"
"Amarante (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"830";"-";"-";"339";"-";"-";"-";"...";"-";"-";"-";"-";"...";"720";"...";"-";"293";"-";"-";"-";"-";"-";"-";"-";"-";"83";"720";"-";"-";"-";"-";"-";"-";"45";"-";"-";"-";"-";"-";"-";"1353";"257";"-";"-";"-";"-";"1155";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Angical do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"258";"-";"-";"466";"-";"-";"-";"...";"-";"-";"-";"-";"...";"150";"...";"-";"55";"-";"-";"-";"-";"40";"-";"-";"-";"63";"155";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"228";"-";"-";"-";"-";"-";"454";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Anísio de Abreu (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"454";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"29";"-";"-";"-";"-";"-";"465";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Antônio Almeida (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"22";"-";"-";"279";"-";"-";"-";"...";"-";"-";"-";"-";"...";"24";"...";"-";"40";"-";"-";"-";"-";"-";"-";"-";"-";"77";"251";"-";"-";"-";"-";"-";"-";"100";"-";"-";"-";"-";"-";"-";"46";"-";"-";"-";"-";"-";"267";"-";"-";"-";"-";"-";"-";"-";"20818";"-";"-";"-";"-";"-";"-";"-";"-"
"Aroazes (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"172";"-";"-";"400";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"30";"-";"-";"-";"-";"-";"-";"-";"-";"-";"77";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"35";"-";"-";"-";"175";"-";"626";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Aroeiras do Itaim (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"36";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"840";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2088";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Arraial (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"444";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"44";"-";"-";"-";"-";"-";"-";"-";"-";"-";"319";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"32";"-";"-";"-";"-";"-";"480";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Assunção do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"125";"...";"-";"143";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4788";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"104";"-";"-";"-";"30";"-";"782";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Avelino Lopes (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1733";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"39";"-";"-";"-";"-";"-";"1624";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Baixa Grande do Ribeiro (PI)";"-";"-";"-";"...";"-";"1463";"-";"-";"15409";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"72";"...";"-";"13";"-";"-";"-";"-";"-";"-";"-";"-";"104";"8642";"-";"-";"-";"-";"-";"-";"66";"-";"-";"-";"-";"-";"-";"630";"-";"-";"-";"389";"-";"150628";"-";"-";"-";"-";"-";"-";"-";"733449";"3562";"-";"-";"-";"-";"-";"-";"-"
"Barra D'Alcântara (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"143";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"8";"-";"-";"-";"-";"-";"-";"-";"-";"174";"69";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"36";"-";"-";"-";"67";"-";"156";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Barras (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"1875";"-";"-";"109";"-";"-";"-";"...";"-";"-";"-";"-";"...";"449";"...";"-";"468";"-";"-";"-";"-";"65";"-";"-";"-";"32";"393";"-";"-";"-";"-";"-";"-";"144";"-";"-";"-";"-";"-";"-";"828";"360";"-";"-";"2700";"-";"800";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Barreiras do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"42";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"56";"233";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6";"-";"-";"-";"-";"-";"129";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Barro Duro (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"360";"-";"-";"975";"-";"-";"-";"...";"-";"-";"-";"-";"...";"50";"...";"-";"195";"-";"-";"-";"-";"-";"-";"-";"-";"162";"122";"-";"-";"-";"-";"-";"-";"28";"-";"-";"-";"-";"-";"-";"288";"-";"-";"-";"1440";"-";"378";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Batalha (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"1425";"-";"-";"158";"-";"-";"-";"...";"-";"-";"-";"-";"...";"35";"...";"-";"1025";"-";"-";"-";"-";"-";"-";"-";"-";"-";"774";"-";"-";"-";"-";"-";"-";"14";"-";"-";"-";"-";"-";"-";"536";"108";"-";"-";"82";"-";"673";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Bela Vista do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"158";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"56";"-";"-";"-";"-";"-";"813";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Belém do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"75";"-";"-";"-";"-";"40";"-";"-";"-";"-";"753";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"14";"-";"-";"-";"-";"-";"780";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Beneditinos (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"544";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"217";"-";"-";"-";"-";"-";"-";"-";"-";"-";"223";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"91";"-";"-";"-";"1186";"-";"131";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Bertolínia (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"81";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"26";"348";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"91";"-";"-";"-";"-";"-";"307";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Betânia do Piauí (PI)";"-";"-";"-";"...";"-";"35";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"770";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"32";"-";"-";"-";"-";"-";"891";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Boa Hora (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"90";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"1440";"...";"-";"68";"-";"-";"-";"-";"-";"-";"-";"-";"-";"59";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"67";"-";"-";"-";"-";"-";"162";"-";"-";"-";"-";"-";"-";"-";"2125";"-";"-";"-";"-";"-";"-";"-";"-"
"Bocaina (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"84";"-";"-";"962";"45";"-";"-";"...";"-";"-";"-";"-";"...";"42";"...";"-";"47";"28";"-";"-";"-";"48";"-";"-";"-";"-";"892";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"67";"24";"-";"-";"-";"-";"704";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"122";"-";"-";"-";"-";"-"
"Bom Jesus (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"315";"-";"-";"45";"10";"-";"-";"...";"-";"-";"-";"-";"...";"98";"...";"-";"48";"-";"-";"-";"-";"42";"-";"-";"-";"120";"10008";"-";"-";"-";"-";"-";"-";"10";"-";"-";"-";"-";"-";"-";"350";"16";"-";"-";"176";"-";"75222";"-";"-";"-";"-";"-";"-";"-";"275198";"84";"-";"-";"-";"-";"-";"-";"-"
"Bom Princípio do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"1850";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2588";"-";"-";"-";"-";"-";"-";"30";"-";"-";"-";"-";"-";"-";"9409";"70";"-";"-";"-";"-";"1358";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Bonfim do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"553";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"10";"-";"-";"-";"-";"-";"194";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Boqueirão do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"78";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"46";"-";"-";"-";"-";"-";"-";"-";"-";"-";"180";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"64";"-";"-";"-";"-";"-";"163";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Brasileira (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"144";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"240";"-";"-";"-";"-";"115";"-";"-";"-";"-";"793";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"59";"125";"-";"-";"45";"-";"617";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Brejo do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"96";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"595";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"63";"-";"-";"-";"91";"-";"669";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Buriti dos Lopes (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"10652";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"112";"-";"-";"-";"-";"-";"-";"-";"-";"-";"951";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3106";"-";"-";"-";"-";"-";"551";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Buriti dos Montes (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"8";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"145";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1462";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"173";"-";"-";"-";"-";"-";"663";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cabeceiras do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"475";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"240";"-";"-";"-";"-";"41";"-";"-";"-";"-";"123";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"600";"-";"-";"-";"400";"-";"308";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cajazeiras do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"99";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"175";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"7";"-";"-";"-";"-";"-";"711";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cajueiro da Praia (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"255";"-";"-";"-";"-";"106";"-";"-";"-";"-";"870";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2294";"-";"-";"-";"-";"-";"396";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Caldeirão Grande do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"153";"1505";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1545";"-";"-";"-";"-";"-";"691";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Campinas do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"740";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"122";"-";"-";"-";"-";"-";"1161";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Campo Alegre do Fidalgo (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"162";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"23";"-";"-";"-";"-";"-";"93";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Campo Grande do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"1026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3830";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"17";"-";"-";"-";"-";"-";"1870";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Campo Largo do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"216";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"35";"120";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"439";"-";"-";"-";"-";"-";"218";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
