"Município";"Abacate";"Abacaxi*";"Açaí";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Azeitona";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Cana-de-açúcar";"Cana para forragem";"Caqui";"Castanha de caju";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Chá-da-índia (folha verde)";"Coco-da-baía*";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Figo";"Fumo (em folha)";"Girassol (em grão)";"Goiaba";"Guaraná (semente)";"Juta (fibra)";"Laranja";"Limão";"Linho (semente)";"Maçã";"Malva (fibra)";"Mamão";"Mamona (baga)";"Mandioca";"Manga";"Maracujá";"Marmelo";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Rami (fibra)";"Sisal ou agave (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tangerina";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"Brasil";"316122";"2142057";"2719470";"...";"-";"12817116";"898666";"881334";"8691890";"369247";"3521";"6946046";"790776";"3174946";"749179";"...";"2167200";"22620812";"18076423";"4544389";"...";"52024888";"...";"305618";"383702";"1639519";"5655";"254088";"1576";"973070";"557789";"426368";"10158";"56212";"5588931";"80277";"6446287";"151098";"801342";"27625";"53";"9440027";"1560222";"7276";"1380092";"5489";"931540";"35047";"9954056";"1336090";"1018949";"1110";"1327223";"587296";"37678190";"59511";"290291";"38070";"409177";"731776";"-";"247333";"127895812";"753610";"866832";"4918702";"3831963";"16208";"178";"81502";"3028712"
"Norte";"2136";"852360";"2713617";"...";"-";"12400";"-";"3419";"816770";"-";"-";"1162248";"15716";"-";"12526";"...";"1081236";"669317";"117";"669200";"...";"366329";"...";"-";"3754";"770";"-";"-";"-";"122320";"548840";"-";"-";"-";"153922";"-";"1195";"-";"10095";"15136";"53";"222786";"107528";"-";"-";"5489";"104404";"-";"3548584";"927";"89346";"-";"293561";"1011";"1265666";"-";"4871";"-";"-";"241638";"-";"6";"5543838";"18903";"8806";"30509";"-";"-";"-";"23461";"1108"
"Nordeste";"10745";"613742";"5375";"...";"-";"3835160";"23270";"27745";"329136";"-";"12";"2171612";"287808";"416898";"53340";"...";"994849";"1389012";"684263";"704749";"...";"3949593";"...";"223";"379753";"304155";"-";"-";"-";"674729";"8949";"-";"-";"55114";"1083687";"-";"151133";"-";"413464";"11484";"-";"672182";"136868";"-";"-";"-";"492891";"32774";"1562136";"1094118";"594094";"53";"424471";"545726";"3228486";"-";"8425";"-";"-";"61224";"-";"247327";"13100853";"80471";"23180";"741953";"18795";"-";"-";"11037";"1204639"
"Sudeste";"252307";"523630";"478";"...";"-";"304526";"345721";"815900";"55681";"12010";"1669";"2592966";"194978";"1517936";"586923";"...";"86776";"19989219";"16848602";"3140617";"...";"33916868";"...";"213787";"-";"316688";"-";"9461";"1511";"156627";"-";"-";"5926";"227";"1580876";"50902";"5166";"8831";"282688";"-";"-";"7590665";"1261125";"-";"18557";"-";"306017";"5";"1108159";"228013";"183912";"753";"204102";"322";"6009763";"11349";"141618";"2723";"155398";"428854";"-";"-";"9975164";"286875";"521131";"2422292";"390845";"2972";"-";"36724";"504827"
"Sul";"43167";"35729";"-";"...";"-";"657";"195743";"25383";"6986545";"335538";"1840";"689966";"272278";"1008659";"3224";"...";"5";"436788";"436788";"-";"...";"2638657";"...";"91508";"-";"902181";"5655";"244209";"65";"1949";"-";"425538";"1993";"91";"1625613";"29375";"6288784";"4136";"74343";"-";"-";"827008";"40641";"7276";"1361536";"-";"6002";"-";"3002439";"11177";"111589";"83";"241159";"36751";"10040239";"48162";"111055";"35347";"253779";"-";"-";"-";"45653803";"6709";"279319";"990094";"3333699";"13235";"178";"5251";"1293169"
"Centro-Oeste";"7766";"116596";"-";"...";"-";"8664373";"333932";"8888";"503759";"21700";"-";"329254";"19997";"231453";"93166";"...";"4334";"136475";"106653";"29823";"...";"11153442";"...";"100";"194";"115724";"-";"419";"-";"17445";"-";"829";"2240";"780";"1144834";"-";"9";"138130";"20752";"1006";"-";"127386";"14060";"-";"-";"-";"22225";"2268";"732738";"1856";"40008";"221";"163930";"3486";"17134035";"-";"24322";"-";"-";"60";"-";"-";"53622155";"360652";"34395";"733854";"88624";"-";"-";"5029";"24969"
"Piauí";"-";"-";"-";"...";"-";"32746";"-";"202";"97348";"-";"-";"68041";"341";"-";"-";"...";"-";"-";"-";"-";"...";"103540";"...";"-";"63380";"53";"-";"-";"-";"9357";"-";"-";"-";"5142";"219295";"-";"-";"-";"1724";"-";"-";"2456";"310";"-";"-";"-";"182";"6";"109720";"5134";"427";"-";"39550";"68517";"877040";"-";"-";"-";"-";"-";"-";"-";"2842561";"8121";"-";"8800";"-";"-";"-";"-";"191"
"Acauã (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"38";"-";"-";"...";"-";"-";"-";"-";"...";"14";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1426";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"20";"-";"-";"-";"-";"-";"2205";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Agricolândia (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"356";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"163";"-";"-";"-";"-";"-";"-";"-";"-";"70";"95";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"53";"-";"-";"-";"-";"-";"1601";"-";"-";"-";"-";"-";"-";"-";"2686";"-";"-";"-";"-";"-";"-";"-";"-"
"Água Branca (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"72";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"33";"-";"-";"-";"-";"-";"-";"-";"-";"-";"270";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"95";"-";"-";"-";"355";"-";"272";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"400";"-";"-";"-";"-";"-"
"Alagoinha do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"434";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1364";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"10";"-";"-";"-";"-";"-";"238";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Alegrete do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"40";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-";"21";"726";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"281";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Alto Longá (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"749";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"180";"...";"-";"314";"-";"-";"-";"-";"-";"-";"-";"-";"-";"162";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"150";"-";"-";"-";"1014";"-";"438";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Altos (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"750";"-";"-";"108";"30";"-";"-";"...";"-";"-";"-";"-";"...";"29";"...";"-";"833";"-";"-";"-";"-";"108";"-";"-";"-";"-";"826";"-";"-";"-";"-";"-";"-";"150";"-";"-";"-";"-";"-";"-";"2091";"816";"-";"-";"1700";"-";"1083";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
