"Município";"Leite";"Ovos de galinha";"Ovos de codorna";"Mel de abelha";"Casulos do bicho-da-seda";"Lã"
"Brasil";"32417960";"8292213";"281411";"263195";"34818";"88122"
"Nordeste";"4023104";"1700044";"24249";"49947";"-";"-"
"Piauí";"138737";"53131";"308";"6773";"-";"-"
"Acauã (PI)";"1261";"123";"-";"21";"-";"-"
"Agricolândia (PI)";"217";"24";"-";"13";"-";"-"
"Água Branca (PI)";"335";"178";"-";"2";"-";"-"
"Alagoinha do Piauí (PI)";"692";"181";"-";"31";"-";"-"
"Alegrete do Piauí (PI)";"637";"43";"-";"2";"-";"-"
"Alto Longá (PI)";"397";"195";"-";"-";"-";"-"
"Altos (PI)";"503";"295";"-";"-";"-";"-"
"Alvorada do Gurguéia (PI)";"441";"40";"-";"7";"-";"-"
"Amarante (PI)";"544";"531";"-";"-";"-";"-"
"Angical do Piauí (PI)";"374";"151";"-";"-";"-";"-"
"Anísio de Abreu (PI)";"158";"58";"-";"181";"-";"-"
"Antônio Almeida (PI)";"80";"43";"-";"-";"-";"-"
"Aroazes (PI)";"815";"25";"-";"13";"-";"-"
"Aroeiras do Itaim (PI)";"317";"160";"-";"5";"-";"-"
"Arraial (PI)";"105";"98";"-";"-";"-";"-"
"Assunção do Piauí (PI)";"317";"118";"-";"-";"-";"-"
"Avelino Lopes (PI)";"473";"252";"-";"-";"-";"-"
"Baixa Grande do Ribeiro (PI)";"367";"298";"-";"-";"-";"-"
"Barra D'Alcântara (PI)";"160";"142";"-";"-";"-";"-"
"Barras (PI)";"2142";"624";"-";"-";"-";"-"
"Barreiras do Piauí (PI)";"238";"59";"-";"-";"-";"-"
"Barro Duro (PI)";"164";"158";"-";"16";"-";"-"
"Batalha (PI)";"474";"400";"-";"9";"-";"-"
"Bela Vista do Piauí (PI)";"1592";"105";"-";"66";"-";"-"
"Belém do Piauí (PI)";"162";"81";"-";"27";"-";"-"
"Beneditinos (PI)";"209";"246";"-";"-";"-";"-"
"Bertolínia (PI)";"450";"83";"-";"-";"-";"-"
"Betânia do Piauí (PI)";"482";"65";"-";"12";"-";"-"
"Boa Hora (PI)";"79";"82";"-";"-";"-";"-"
"Bocaina (PI)";"275";"68";"-";"5";"-";"-"
"Bom Jesus (PI)";"1400";"264";"-";"15";"-";"-"
"Bom Princípio do Piauí (PI)";"1220";"121";"-";"1";"-";"-"
"Bonfim do Piauí (PI)";"90";"95";"-";"1";"-";"-"
"Boqueirão do Piauí (PI)";"88";"58";"-";"-";"-";"-"
"Brasileira (PI)";"262";"91";"-";"17";"-";"-"
"Brejo do Piauí (PI)";"457";"72";"-";"-";"-";"-"
"Buriti dos Lopes (PI)";"777";"250";"-";"3";"-";"-"
"Buriti dos Montes (PI)";"249";"128";"-";"-";"-";"-"
"Cabeceiras do Piauí (PI)";"339";"222";"-";"-";"-";"-"
"Cajazeiras do Piauí (PI)";"349";"59";"-";"1";"-";"-"
"Cajueiro da Praia (PI)";"197";"151";"-";"-";"-";"-"
"Caldeirão Grande do Piauí (PI)";"259";"195";"-";"22";"-";"-"
"Campinas do Piauí (PI)";"1416";"36";"-";"63";"-";"-"
"Campo Alegre do Fidalgo (PI)";"278";"18";"-";"5";"-";"-"
"Campo Grande do Piauí (PI)";"275";"147";"-";"487";"-";"-"
"Campo Largo do Piauí (PI)";"77";"101";"-";"-";"-";"-"
"Campo Maior (PI)";"1841";"735";"-";"338";"-";"-"
"Canavieira (PI)";"312";"93";"-";"-";"-";"-"
"Canto do Buriti (PI)";"1444";"355";"-";"31";"-";"-"
"Capitão de Campos (PI)";"139";"30";"-";"-";"-";"-"
"Capitão Gervásio Oliveira (PI)";"333";"24";"-";"3";"-";"-"
"Caracol (PI)";"279";"124";"-";"1";"-";"-"
"Caraúbas do Piauí (PI)";"3047";"81";"-";"-";"-";"-"
"Caridade do Piauí (PI)";"376";"72";"-";"6";"-";"-"
"Castelo do Piauí (PI)";"745";"259";"-";"-";"-";"-"
"Caxingó (PI)";"379";"98";"-";"-";"-";"-"
"Cocal (PI)";"556";"645";"-";"38";"-";"-"
"Cocal de Telha (PI)";"93";"126";"-";"-";"-";"-"
"Cocal dos Alves (PI)";"35";"165";"-";"-";"-";"-"
"Coivaras (PI)";"139";"51";"-";"-";"-";"-"
"Colônia do Gurguéia (PI)";"293";"46";"-";"2";"-";"-"
"Colônia do Piauí (PI)";"1007";"51";"-";"9";"-";"-"
"Conceição do Canindé (PI)";"653";"31";"-";"66";"-";"-"
"Coronel José Dias (PI)";"131";"49";"-";"3";"-";"-"
"Corrente (PI)";"2429";"454";"-";"-";"-";"-"
"Cristalândia do Piauí (PI)";"596";"186";"-";"-";"-";"-"
"Cristino Castro (PI)";"679";"74";"-";"30";"-";"-"
"Curimatá (PI)";"1553";"213";"-";"-";"-";"-"
"Currais (PI)";"204";"79";"-";"-";"-";"-"
"Curralinhos (PI)";"141";"61";"-";"6";"-";"-"
"Curral Novo do Piauí (PI)";"382";"106";"-";"-";"-";"-"
"Demerval Lobão (PI)";"143";"90";"-";"-";"-";"-"
"Dirceu Arcoverde (PI)";"444";"71";"-";"0";"-";"-"
"Dom Expedito Lopes (PI)";"195";"104";"-";"10";"-";"-"
"Domingos Mourão (PI)";"206";"68";"-";"5";"-";"-"
"Dom Inocêncio (PI)";"355";"96";"-";"15";"-";"-"
