"Município";"Leite";"Ovos de galinha";"Ovos de codorna";"Mel de abelha";"Casulos do bicho-da-seda";"Lã"
"Elesbão Veloso (PI)";"2018";"163";"-";"-";"-";"-"
"Eliseu Martins (PI)";"401";"66";"-";"-";"-";"-"
"Esperantina (PI)";"918";"321";"-";"60";"-";"-"
"Fartura do Piauí (PI)";"222";"68";"-";"1";"-";"-"
"Flores do Piauí (PI)";"333";"136";"-";"17";"-";"-"
"Floresta do Piauí (PI)";"299";"27";"-";"43";"-";"-"
"Floriano (PI)";"4268";"4414";"-";"-";"-";"-"
"Francinópolis (PI)";"318";"43";"-";"-";"-";"-"
"Francisco Ayres (PI)";"52";"108";"-";"-";"-";"-"
"Francisco Macedo (PI)";"266";"70";"-";"2";"-";"-"
"Francisco Santos (PI)";"516";"113";"-";"34";"-";"-"
"Fronteiras (PI)";"1027";"200";"-";"8";"-";"-"
"Geminiano (PI)";"767";"257";"-";"55";"-";"-"
"Gilbués (PI)";"486";"239";"-";"-";"-";"-"
"Guadalupe (PI)";"252";"39";"-";"-";"-";"-"
"Guaribas (PI)";"57";"29";"-";"0";"-";"-"
"Hugo Napoleão (PI)";"234";"189";"-";"4";"-";"-"
"Ilha Grande (PI)";"595";"6";"-";"-";"-";"-"
"Inhuma (PI)";"774";"241";"-";"35";"-";"-"
"Ipiranga do Piauí (PI)";"417";"107";"-";"19";"-";"-"
"Isaías Coelho (PI)";"660";"285";"-";"72";"-";"-"
"Itainópolis (PI)";"1455";"436";"-";"396";"-";"-"
"Itaueira (PI)";"813";"307";"-";"85";"-";"-"
"Jacobina do Piauí (PI)";"1175";"89";"-";"34";"-";"-"
"Jaicós (PI)";"392";"366";"-";"113";"-";"-"
"Jardim do Mulato (PI)";"54";"205";"-";"-";"-";"-"
"Jatobá do Piauí (PI)";"290";"118";"-";"32";"-";"-"
"Jerumenha (PI)";"200";"45";"-";"2";"-";"-"
"João Costa (PI)";"87";"22";"-";"13";"-";"-"
"Joaquim Pires (PI)";"386";"252";"-";"3";"-";"-"
"Joca Marques (PI)";"264";"88";"-";"1";"-";"-"
"José de Freitas (PI)";"685";"533";"-";"-";"-";"-"
"Juazeiro do Piauí (PI)";"232";"118";"-";"-";"-";"-"
"Júlio Borges (PI)";"927";"134";"-";"5";"-";"-"
"Jurema (PI)";"110";"56";"-";"10";"-";"-"
"Lagoinha do Piauí (PI)";"184";"39";"-";"-";"-";"-"
"Lagoa Alegre (PI)";"86";"64";"-";"-";"-";"-"
"Lagoa do Barro do Piauí (PI)";"555";"19";"-";"45";"-";"-"
"Lagoa de São Francisco (PI)";"76";"28";"-";"6";"-";"-"
"Lagoa do Piauí (PI)";"98";"57";"-";"-";"-";"-"
"Lagoa do Sítio (PI)";"415";"133";"-";"22";"-";"-"
"Landri Sales (PI)";"341";"102";"-";"-";"-";"-"
"Luís Correia (PI)";"3829";"428";"-";"-";"-";"-"
"Luzilândia (PI)";"361";"347";"-";"0";"-";"-"
"Madeiro (PI)";"126";"93";"-";"1";"-";"-"
"Manoel Emídio (PI)";"425";"83";"-";"6";"-";"-"
"Marcolândia (PI)";"76";"41";"-";"114";"-";"-"
"Marcos Parente (PI)";"272";"48";"-";"-";"-";"-"
"Massapê do Piauí (PI)";"629";"103";"-";"17";"-";"-"
"Matias Olímpio (PI)";"92";"92";"-";"-";"-";"-"
"Miguel Alves (PI)";"253";"385";"-";"-";"-";"-"
"Miguel Leão (PI)";"230";"11";"-";"-";"-";"-"
"Milton Brandão (PI)";"364";"108";"-";"4";"-";"-"
"Monsenhor Gil (PI)";"515";"137";"-";"6";"-";"-"
"Monsenhor Hipólito (PI)";"755";"247";"-";"49";"-";"-"
"Monte Alegre do Piauí (PI)";"454";"198";"-";"-";"-";"-"
"Morro Cabeça no Tempo (PI)";"384";"64";"-";"2";"-";"-"
"Morro do Chapéu do Piauí (PI)";"131";"58";"-";"9";"-";"-"
"Murici dos Portelas (PI)";"577";"154";"-";"3";"-";"-"
"Nazaré do Piauí (PI)";"492";"258";"-";"-";"-";"-"
"Nazária (PI)";"798";"69";"-";"-";"-";"-"
"Nossa Senhora de Nazaré (PI)";"132";"75";"-";"-";"-";"-"
"Nossa Senhora dos Remédios (PI)";"35";"115";"-";"-";"-";"-"
"Novo Oriente do Piauí (PI)";"529";"75";"-";"28";"-";"-"
"Novo Santo Antônio (PI)";"91";"138";"-";"-";"-";"-"
"Oeiras (PI)";"1670";"303";"-";"42";"-";"-"
"Olho D'Água do Piauí (PI)";"354";"12";"-";"-";"-";"-"
"Padre Marcos (PI)";"456";"105";"-";"35";"-";"-"
"Paes Landim (PI)";"316";"49";"-";"140";"-";"-"
"Pajeú do Piauí (PI)";"101";"100";"-";"23";"-";"-"
"Palmeira do Piauí (PI)";"321";"235";"-";"-";"-";"-"
"Palmeirais (PI)";"327";"162";"-";"-";"-";"-"
"Paquetá (PI)";"424";"146";"-";"18";"-";"-"
"Parnaguá (PI)";"2356";"264";"-";"2";"-";"-"
"Parnaíba (PI)";"8059";"5075";"54";"8";"-";"-"
"Passagem Franca do Piauí (PI)";"382";"118";"-";"5";"-";"-"
"Patos do Piauí (PI)";"595";"144";"-";"38";"-";"-"
"Pau D'Arco do Piauí (PI)";"78";"19";"-";"-";"-";"-"
"Paulistana (PI)";"1478";"134";"-";"50";"-";"-"
"Pavussu (PI)";"147";"121";"-";"5";"-";"-"
"Pedro II (PI)";"411";"261";"-";"89";"-";"-"
"Pedro Laurentino (PI)";"672";"17";"-";"125";"-";"-"
"Nova Santa Rita (PI)";"1076";"67";"-";"20";"-";"-"
"Picos (PI)";"2470";"667";"-";"939";"-";"-"
"Pimenteiras (PI)";"1387";"162";"-";"89";"-";"-"
"Pio IX (PI)";"1253";"288";"-";"81";"-";"-"
"Piracuruca (PI)";"1181";"187";"-";"533";"-";"-"
"Piripiri (PI)";"686";"290";"-";"15";"-";"-"
"Porto (PI)";"194";"46";"-";"-";"-";"-"
"Porto Alegre do Piauí (PI)";"87";"42";"-";"-";"-";"-"
"Prata do Piauí (PI)";"158";"12";"-";"0";"-";"-"
"Queimada Nova (PI)";"1307";"116";"-";"39";"-";"-"
"Redenção do Gurguéia (PI)";"553";"119";"-";"-";"-";"-"
"Regeneração (PI)";"111";"483";"-";"271";"-";"-"
"Riacho Frio (PI)";"465";"148";"-";"-";"-";"-"
"Ribeira do Piauí (PI)";"457";"20";"-";"2";"-";"-"
"Ribeiro Gonçalves (PI)";"556";"605";"-";"-";"-";"-"
"Rio Grande do Piauí (PI)";"249";"96";"-";"5";"-";"-"
"Santa Cruz do Piauí (PI)";"1189";"53";"-";"59";"-";"-"
"Santa Cruz dos Milagres (PI)";"116";"27";"-";"7";"-";"-"
"Santa Filomena (PI)";"673";"124";"-";"-";"-";"-"
"Santa Luz (PI)";"727";"63";"-";"1";"-";"-"
"Santana do Piauí (PI)";"174";"29";"-";"70";"-";"-"
"Santa Rosa do Piauí (PI)";"688";"38";"-";"-";"-";"-"
"Santo Antônio de Lisboa (PI)";"288";"54";"-";"44";"-";"-"
"Santo Antônio dos Milagres (PI)";"22";"4";"-";"-";"-";"-"
"Santo Inácio do Piauí (PI)";"387";"32";"-";"132";"-";"-"
"São Braz do Piauí (PI)";"67";"54";"-";"17";"-";"-"
"São Félix do Piauí (PI)";"386";"32";"-";"1";"-";"-"
"São Francisco de Assis do Piauí (PI)";"313";"35";"-";"49";"-";"-"
"São Francisco do Piauí (PI)";"532";"82";"-";"3";"-";"-"
"São Gonçalo do Gurguéia (PI)";"142";"78";"-";"3";"-";"-"
"São Gonçalo do Piauí (PI)";"340";"28";"-";"2";"-";"-"
"São João da Canabrava (PI)";"142";"47";"-";"25";"-";"-"
"São João da Fronteira (PI)";"98";"24";"-";"7";"-";"-"
"São João da Serra (PI)";"370";"126";"-";"-";"-";"-"
"São João da Varjota (PI)";"238";"39";"-";"-";"-";"-"
"São João do Arraial (PI)";"42";"113";"-";"0";"-";"-"
"São João do Piauí (PI)";"1303";"96";"-";"63";"-";"-"
"São José do Divino (PI)";"4423";"38";"-";"2";"-";"-"
"São José do Peixe (PI)";"184";"83";"-";"5";"-";"-"
"São José do Piauí (PI)";"157";"131";"-";"171";"-";"-"
"São Julião (PI)";"383";"69";"-";"3";"-";"-"
"São Lourenço do Piauí (PI)";"108";"119";"-";"1";"-";"-"
"São Luis do Piauí (PI)";"165";"110";"-";"3";"-";"-"
"São Miguel da Baixa Grande (PI)";"278";"17";"-";"-";"-";"-"
"São Miguel do Fidalgo (PI)";"257";"131";"-";"4";"-";"-"
"São Miguel do Tapuio (PI)";"845";"375";"-";"73";"-";"-"
"São Pedro do Piauí (PI)";"984";"124";"-";"10";"-";"-"
"São Raimundo Nonato (PI)";"756";"255";"-";"56";"-";"-"
"Sebastião Barros (PI)";"579";"170";"-";"-";"-";"-"
"Sebastião Leal (PI)";"109";"146";"-";"-";"-";"-"
"Sigefredo Pacheco (PI)";"314";"166";"-";"6";"-";"-"
"Simões (PI)";"647";"226";"-";"222";"-";"-"
"Simplício Mendes (PI)";"1779";"58";"-";"106";"-";"-"
"Socorro do Piauí (PI)";"495";"25";"-";"23";"-";"-"
"Sussuapara (PI)";"415";"94";"-";"12";"-";"-"
"Tamboril do Piauí (PI)";"229";"54";"-";"-";"-";"-"
"Tanque do Piauí (PI)";"139";"29";"-";"-";"-";"-"
"Teresina (PI)";"6168";"5151";"254";"-";"-";"-"
"União (PI)";"620";"765";"-";"-";"-";"-"
"Uruçuí (PI)";"763";"360";"-";"-";"-";"-"
"Valença do Piauí (PI)";"1351";"6984";"-";"4";"-";"-"
"Várzea Branca (PI)";"213";"85";"-";"0";"-";"-"
"Várzea Grande (PI)";"69";"69";"-";"-";"-";"-"
"Vera Mendes (PI)";"268";"96";"-";"11";"-";"-"
"Vila Nova do Piauí (PI)";"257";"94";"-";"46";"-";"-"
"Wall Ferraz (PI)";"632";"88";"-";"8";"-";"-"
