Município;1 - Alimentícios;1.1 - Açaí (fruto);1.2 - Castanha-de-caju;1.3 - Castanha-do-pará;1.4 - Erva-mate;1.5 - Mangaba (fruto);1.6 - Palmito;1.7 - Pequi (fruto);1.8 - Pinhão;1.9 - Umbu (fruto);1.10 - Outros;2 - Aromáticos, medicinais, tóxicos e corantes;2.1 - Ipecacuanha ou poaia (raiz);2.2 - Jaborandi (folha);2.3 - Urucum (semente);2.4 - Outros;3 - Borrachas;3.1 - Caucho;3.2 - Hevea (látex coagulado);3.3 - Hevea (látex líquido);3.4 - Mangabeira;4 - Ceras;4.1 - Carnaúba (cera);4.2 - Carnaúba (pó);4.3 - Outras;5 - Fibras;5.1 - Buriti;5.2 - Carnaúba;5.3 - Piaçava;5.4 - Outras;6 - Gomas não elásticas;6.1 - Balata;6.2 - Maçaranduba;6.3 - Sorva;7.1 - Carvão vegetal;7.2 - Lenha;7.3 - Madeira em tora;8 - Oleaginosos;8.1 - Babaçu (amêndoa);8.2 - Copaíba (óleo);8.3 - Cumaru (amêndoa);8.4 - Licuri (coquilho);8.5 - Oiticica (semente);8.6 - Pequi (amêndoa);8.7 - Tucum (amêndoa);8.8 - Outros;9.1 - Pinheiro brasileiro (nó de pinho);9.2 - Pinheiro brasileiro (árvores abatidas);9.3 - Pinheiro brasileiro (madeira em tora);10 - Tanantes;10.1 - Angico (casca);10.2 - Barbatimão (casca);10.3 - Outros
São João da Fronteira (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;865;-;865;-;-;-;-;-;-;-;-;-;-;47;295;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São João da Serra (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;2711;-;2711;-;-;-;-;-;-;-;-;-;-;146;103;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São João da Varjota (PI);0;-;-;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;45;73;18;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São João do Arraial (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;133;-;133;-;-;-;-;-;-;-;-;-;-;116;6;11;609;609;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São João do Piauí (PI);7;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;...;268;-;268;-;-;-;-;-;-;-;-;-;-;27;340;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São José do Divino (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;6404;-;6404;-;-;-;-;-;-;-;-;-;-;6;149;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São José do Peixe (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;612;-;612;-;-;-;-;-;-;-;-;-;-;1860;386;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São José do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;26;16;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Julião (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;0;75;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Lourenço do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;3;45;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
