Município;1 - Alimentícios;1.1 - Açaí (fruto);1.2 - Castanha-de-caju;1.3 - Castanha-do-pará;1.4 - Erva-mate;1.5 - Mangaba (fruto);1.6 - Palmito;1.7 - Pequi (fruto);1.8 - Pinhão;1.9 - Umbu (fruto);1.10 - Outros;2 - Aromáticos, medicinais, tóxicos e corantes;2.1 - Ipecacuanha ou poaia (raiz);2.2 - Jaborandi (folha);2.3 - Urucum (semente);2.4 - Outros;3 - Borrachas;3.1 - Caucho;3.2 - Hevea (látex coagulado);3.3 - Hevea (látex líquido);3.4 - Mangabeira;4 - Ceras;4.1 - Carnaúba (cera);4.2 - Carnaúba (pó);4.3 - Outras;5 - Fibras;5.1 - Buriti;5.2 - Carnaúba;5.3 - Piaçava;5.4 - Outras;6 - Gomas não elásticas;6.1 - Balata;6.2 - Maçaranduba;6.3 - Sorva;7.1 - Carvão vegetal;7.2 - Lenha;7.3 - Madeira em tora;8 - Oleaginosos;8.1 - Babaçu (amêndoa);8.2 - Copaíba (óleo);8.3 - Cumaru (amêndoa);8.4 - Licuri (coquilho);8.5 - Oiticica (semente);8.6 - Pequi (amêndoa);8.7 - Tucum (amêndoa);8.8 - Outros;9.1 - Pinheiro brasileiro (nó de pinho);9.2 - Pinheiro brasileiro (árvores abatidas);9.3 - Pinheiro brasileiro (madeira em tora);10 - Tanantes;10.1 - Angico (casca);10.2 - Barbatimão (casca);10.3 - Outros
São Luis do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;13;58;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Miguel da Baixa Grande (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;20;22;4;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Miguel do Fidalgo (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;93;-;93;-;-;-;-;-;-;-;-;-;-;5;38;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Miguel do Tapuio (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;4287;-;4287;-;-;-;-;-;-;-;-;-;-;155;192;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Pedro do Piauí (PI);3;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;77;160;9;52;52;-;-;-;-;-;-;-;-;-;-;-;-;-;-
São Raimundo Nonato (PI);23;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;39;193;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Sebastião Barros (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;54;55;173;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Sebastião Leal (PI);-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;21;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;208;352;-;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Sigefredo Pacheco (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;4007;-;4007;-;-;-;-;-;-;-;-;-;-;94;177;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Simões (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;38;461;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Simplício Mendes (PI);3;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;...;219;-;219;-;-;-;-;-;-;-;-;-;-;29;1230;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Socorro do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;13;95;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Sussuapara (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;103;-;103;-;-;-;-;-;-;-;-;-;-;17;85;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Tamboril do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;4;124;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Tanque do Piauí (PI);0;-;-;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;29;86;16;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Teresina (PI);2;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;...;33;-;33;-;-;-;-;-;-;-;-;-;-;681;145;109;160;160;-;-;-;-;-;-;-;-;-;-;-;-;-;-
União (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;854;-;854;-;-;-;-;-;-;-;-;-;-;742;199;37;837;830;-;-;-;-;-;7;-;-;-;-;-;-;-;-
Uruçuí (PI);2;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;159;1171;20;152;152;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Valença do Piauí (PI);37;-;-;-;-;-;-;30;-;-;7;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;83;77;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Várzea Branca (PI);0;-;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;30;47;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Várzea Grande (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;180;-;180;-;-;-;-;-;-;-;-;-;-;37;14;7;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Vera Mendes (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;2;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Vila Nova do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;1;38;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Wall Ferraz (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;306;-;306;-;-;-;-;-;-;-;-;-;-;73;144;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
