Coluna;Região Natural
CNAE 2.0 Subclasse;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
Criação de ostras e mexilhões em água doce;0;0;0;5;0
Criação de peixes ornamentais em água doce;18;67;88;50;1
Ranicultura;0;5;16;2;6
Criação de jacaré;0;6;10;2;44
Atividades de apoio à aqüicultura em água doce;9;55;329;53;32
Cultivos e semicultivos da aqüicultura em água doce não especificados anteriormente;20;70;42;27;6
Extração de carvão mineral;6;4;243;3129;29
Beneficiamento de carvão mineral;1;22;14;365;0
Extração de petróleo e gás natural;447;5507;17020;38;0
Extração e beneficiamento de xisto;0;0;0;4;0
Extração e beneficiamento de areias betuminosas;0;3;15;20;7
Extração de minério de ferro;9393;139;32368;0;1188
Pelotização, sinterização e outros beneficiamentos de minério de ferro;0;174;5396;48;0
Extração de minério de alumínio;2814;0;231;2;0
Beneficiamento de minério de alumínio;476;1;274;51;122
Extração de minério de estanho;310;0;1;2;0
Beneficiamento de minério de estanho;1046;0;0;0;0
Extração de minério de manganês;642;15;213;0;50
Beneficiamento de minério de manganês;0;0;28;0;0
Extração de minério de metais preciosos;1302;2101;6174;276;3591
Beneficiamento de minério de metais preciosos;24;48;380;2;702
Extração de minerais radioativos;0;0;18;0;0
Extração de minérios de nióbio e titânio;0;7;31;1;0
Extração de minério de tungstênio;1;368;0;0;0
Extração de minério de níquel;726;193;68;0;1027
Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente;3829;2133;2192;4;161
Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente;46;1463;81;14;4
Extração de ardósia e beneficiamento associado;15;68;945;82;0
Extração de granito e beneficiamento associado;26;2147;5646;189;71
Extração de mármore e beneficiamento associado;0;460;387;31;16
Extração de calcário e dolomita e beneficiamento associado;408;1325;2488;1448;1857
Extração de gesso e caulim;261;439;160;127;0
Extração de areia, cascalho ou pedregulho e beneficiamento associado;609;1345;7631;2821;1454
Extração de argila e beneficiamento associado;42;424;1263;343;43
Extração de saibro e beneficiamento associado;0;3;71;236;0
Extração de basalto e beneficiamento associado;31;74;1188;977;190
Beneficiamento de gesso e caulim associado à extração;342;205;28;17;0
Extração e britamento de pedras e outros materiais para construção e beneficiamento associado;780;4013;9370;5068;1226
Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos;145;1200;1593;509;1204
Extração de sal marinho;0;2305;602;0;0
Extração de sal-gema;0;121;0;0;0
Refino e outros tratamentos do sal;63;1525;36;250;0
Extração de gemas (pedras preciosas e semipreciosas);58;496;758;12;33
Extração de grafita;0;58;851;0;7
Extração de quartzo;11;86;375;0;41
Extração de amianto;0;0;5;1;268
Extração de outros minerais não-metálicos não especificados anteriormente;877;2663;3571;967;496
