Coluna;Região Natural
CNAE 2.0 Subclasse;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
Fabricação de equipamentos e instrumentos ópticos, peças e acessórios;13;275;405;60;1
Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios;585;0;177;69;0
Fabricação de mídias virgens, magnéticas e ópticas;0;5;2;11;7
Fabricação de geradores de corrente contínua e alternada, peças e acessórios;9;2515;1610;1389;41
Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios;430;94;7239;4340;637
Fabricação de motores elétricos, peças e acessórios;257;53;4164;7398;18
Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores;459;546;1051;46;4
Fabricação de baterias e acumuladores para veículos automotores;38;1696;3289;3166;162
Recondicionamento de baterias e acumuladores para veículos automotores;0;6;33;34;0
Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica;154;464;11328;5551;779
Fabricação de material elétrico para instalações em circuito de consumo;315;65;4641;2897;179
Fabricação de fios, cabos e condutores elétricos isolados;2301;423;14157;4291;386
Fabricação de lâmpadas;27;60;468;268;11
Fabricação de luminárias e outros equipamentos de iluminação;18;359;6203;2186;60
Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios;800;3258;10203;13684;985
Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios;356;0;291;432;28
Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios;314;4613;10262;2177;78
Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores;0;82;1606;81;0
Fabricação de equipamentos para sinalização e alarme;0;85;2249;679;18
Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente;484;1279;12217;6487;690
Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários;82;712;4017;584;2
Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas;59;217;7749;2837;237
Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios;11;416;10261;4786;370
Fabricação de compressores para uso industrial, peças e acessórios;2;0;1026;8682;1
Fabricação de compressores para uso não-industrial, peças e acessórios;0;0;2267;3;0
Fabricação de rolamentos para fins industriais;0;1;1022;45;1
Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos;122;42;6356;1922;36
Fabricação de fornos industriais, aparelhos e equipamentos não-elétricos para instalações térmicas, peças e acessórios;72;125;2374;445;93
Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios;4;38;601;441;7
Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios;32;397;2651;2156;170
Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios;102;171;7462;5047;53
Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios;143;1321;8180;9947;394
Fabricação de aparelhos e equipamentos de ar condicionado para uso industrial;2;0;306;274;6
Fabricação de aparelhos e equipamentos de ar condicionado para uso não-industrial;2151;33;987;804;23
Fabricação de máquinas e equipamentos para saneamento básico e ambiental, peças e acessórios;21;94;1886;1188;43
Fabricação de máquinas de escrever, calcular e outros equipamentos não-eletrônicos para escritório, peças e acessórios;51;0;119;155;0
Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios;938;1387;29993;12333;513
Fabricação de tratores agrícolas, peças e acessórios;68;5;1820;3880;13
Fabricação de equipamentos para irrigação agrícola, peças e acessórios;2;182;1888;370;0
Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação;16;811;27681;33329;2184
Fabricação de máquinas-ferramenta, peças e acessórios;50;353;8705;6388;302
Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios;0;417;3782;2909;0
Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo;217;43;4066;249;100
Fabricação de tratores, peças e acessórios, exceto agrícolas;0;10;5004;726;5
Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, peças e acessórios, exceto tratores;63;6;4656;931;66
Fabricação de máquinas para a indústria metalúrgica, peças e acessórios, exceto máquinas-ferramenta;3;116;2916;2314;45
Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios;40;387;9157;7267;381
Fabricação de máquinas e equipamentos para a indústria têxtil, peças e acessórios;0;37;672;973;35
Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados, peças e acessórios;1;30;852;1646;1
Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos, peças e acessórios;0;12;1463;1738;3
Fabricação de máquinas e equipamentos para a indústria do plástico, peças e acessórios;0;82;1302;643;29
Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios;139;865;23405;12802;253
Fabricação de automóveis, camionetas e utilitários;3;11824;50872;12532;2575
Fabricação de chassis com motor para automóveis, camionetas e utilitários;0;0;975;0;204
Fabricação de motores para automóveis, camionetas e utilitários;0;0;3917;803;0
Fabricação de caminhões e ônibus;0;16;15384;5564;55
Fabricação de motores para caminhões e ônibus;0;1;2366;0;0
Fabricação de cabines, carrocerias e reboques para caminhões;487;1394;10590;10366;1010
Fabricação de carrocerias para ônibus;0;12;5149;9995;0
Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus;142;308;2024;1225;647
Fabricação de peças e acessórios para o sistema motor de veículos automotores;422;235;25648;6980;67
Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores;423;731;6064;4082;29
Fabricação de peças e acessórios para o sistema de freios de veículos automotores;648;646;8425;4481;0
Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores;5;186;10551;3139;12
Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias;1620;3079;17660;9644;44
Fabricação de bancos e estofados para veículos automotores;0;1218;6164;1051;28
Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente;819;7028;112660;23534;223
Recondicionamento e recuperação de motores para veículos automotores;541;1239;4654;1901;1108
Construção de embarcações de grande porte;900;3944;8654;2118;0
Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte;600;557;758;294;106
Construção de embarcações para esporte e lazer;63;269;1227;965;109
Fabricação de locomotivas, vagões e outros materiais rodantes;0;28;2335;14;7
Fabricação de peças e acessórios para veículos ferroviários;0;37;1141;354;3
Fabricação de aeronaves;0;18;15170;35;11
Fabricação de turbinas, motores e outros componentes e peças para aeronaves;0;0;3119;0;6
Fabricação de veículos militares de combate;0;0;0;0;0
Fabricação de motocicletas, peças e acessórios(Desativado);0;0;0;0;0
Fabricação de motocicletas;7287;1;162;1073;0
Fabricação de peças e acessórios para motocicletas;1835;286;420;304;3
Fabricação de bicicletas e triciclos não-motorizados, peças e acessórios;1404;746;3925;1954;19
Fabricação de equipamentos de transporte não especificados anteriormente;955;138;1666;546;43
Fabricação de móveis com predominância de madeira;2190;13680;69727;81571;6779
Fabricação de móveis com predominância de metal;140;3176;14797;7371;1206
Fabricação de móveis de outros materiais, exceto madeira e metal;97;1318;2575;3082;260
Fabricação de colchões;1759;5716;8775;5048;2963
Lapidação de gemas;2;7;182;774;24
Fabricação de artefatos de joalheria e ourivesaria;497;308;5707;2797;275
Cunhagem de moedas e medalhas;0;0;0;48;0
Fabricação de bijuterias e artefatos semelhantes;5;769;4824;850;382
Fabricação de instrumentos musicais, peças e acessórios;0;15;1427;153;2
Fabricação de artefatos para pesca e esporte;119;201;1884;1214;225
Fabricação de jogos eletrônicos;0;0;47;5;0
Fabricação de mesas de bilhar, de sinuca e acessórios não associada à locação;2;11;22;5;3
Fabricação de mesas de bilhar, de sinuca e acessórios associada à locação;32;76;125;310;79
Fabricação de outros brinquedos e jogos recreativos não especificados anteriormente;39;227;8957;1620;712
Fabricação de instrumentos não-eletrônicos e utensílios para uso médico, cirúrgico, odontológico e de laboratório;15;197;8754;3403;271
Fabricação de mobiliário para uso médico, cirúrgico, odontológico e de laboratório;4;10;897;567;135
Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral sob encomenda;19;211;1448;270;45
Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral, exceto sob encomenda;2;250;2161;595;68
Fabricação de materiais para medicina e odontologia;374;148;14273;3637;928
Serviços de prótese dentária;199;1372;5513;2250;1012
Fabricação de artigos ópticos;724;741;5793;1401;395
Fabricação de artefatos de tecido não tecido para uso odonto-médico-hospitalar;0;0;0;0;0
Serviço de laboratório óptico;10;282;87;22;91
Fabricação de escovas, pincéis e vassouras;67;496;2709;3586;130
Fabricação de roupas de proteção e segurança e resistentes a fogo;0;82;206;105;0
Fabricação de equipamentos e acessórios para segurança pessoal e profissional;163;449;7178;3430;148
Fabricação de guarda-chuvas e similares;2;12;233;106;0
Fabricação de canetas, lápis e outros artigos para escritório;190;24;3039;190;54
Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos;294;1106;3200;2692;574
Fabricação de painéis e letreiros luminosos;109;479;1912;1665;347
Fabricação de aviamentos para costura;1;577;1340;1495;21
Fabricação de velas, inclusive decorativas;14;143;152;53;2
Fabricação de produtos diversos não especificados anteriormente;193;1018;8391;2799;459
Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos;366;1061;4067;1029;514
Manutenção e reparação de equipamentos transmissores de comunicação;0;0;0;0;0
Manutenção e reparação de aparelhos e instrumentos de medida, teste e controle;285;1254;5959;1685;236
Manutenção e reparação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação;177;807;1345;365;257
Manutenção e reparação de equipamentos e instrumentos ópticos;8;7;124;11;3
Manutenção e reparação de geradores, transformadores e motores elétricos;531;1598;4837;1428;898
Manutenção e reparação de baterias e acumuladores elétricos, exceto para veículos;2;5;318;43;6
Manutenção e reparação de máquinas, aparelhos e materiais elétricos não especificados anteriormente;133;1318;3138;837;312
Manutenção e reparação de máquinas motrizes não-elétricas;156;459;1109;111;56
Manutenção e reparação de equipamentos hidráulicos e pneumáticos, exceto válvulas;107;402;1803;499;292
Manutenção e reparação de válvulas industriais;1;157;904;116;19
Manutenção e reparação de compressores;35;129;626;155;67
Manutenção e reparação de equipamentos de transmissão para fins industriais;105;158;826;289;131
Manutenção e reparação de máquinas, aparelhos e equipamentos para instalações térmicas;123;160;850;116;123
Manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial;568;1699;4431;1356;455
Manutenção e reparação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas;77;333;2117;825;185
Manutenção e reparação de máquinas de escrever, calcular e de outros equipamentos não-eletrônicos para escritório;7;134;321;70;44
Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente;941;1674;12478;3236;590
Manutenção e reparação de máquinas e equipamentos para agricultura e pecuária;66;408;1824;1435;1176
Manutenção e reparação de tratores agrícolas;90;115;528;385;288
Manutenção e reparação de máquinas-ferramenta;120;244;2739;726;187
Manutenção e reparação de máquinas e equipamentos para a prospecção e extração de petróleo;1;152;3121;2;0
Manutenção e reparação de máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo;54;14;424;81;84
Manutenção e reparação de tratores, exceto agrícolas;25;33;181;92;23
Manutenção e reparação de máquinas e equipamentos de terraplenagem, pavimentação e construção, exceto tratores;31;100;325;226;67
Manutenção e reparação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta;10;428;3461;454;104
Manutenção e reparação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo;74;399;927;670;191
Manutenção e reparação de máquinas e equipamentos para a indústria têxtil, do vestuário, do couro e calçados;3;120;253;181;2
Manutenção e reparação de máquinas e aparelhos para a indústria de celulose, papel e papelão e artefatos;0;3;1309;660;6
Manutenção e reparação de máquinas e aparelhos para a indústria do plástico;0;182;160;148;53
Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente;177;1611;10757;2490;765
Manutenção e reparação de veículos ferroviários;5;174;1546;292;0
Manutenção e reparação de aeronaves, exceto a manutenção na pista;10;188;4785;372;626
Manutenção de aeronaves na pista;3;1;426;45;24
Manutenção e reparação de embarcações e estruturas flutuantes;455;470;3511;510;5
Manutenção e reparação de embarcações para esporte e lazer;35;56;287;88;67
Manutenção e reparação de equipamentos e produtos não especificados anteriormente;144;1293;4134;1386;614
Instalação de máquinas e equipamentos industriais;615;1881;16619;5504;1847
Serviços de montagem de móveis de qualquer material;378;1693;5756;1490;1288
Instalação de outros equipamentos não especificados anteriormente;95;437;1725;424;191
Geração de energia elétrica (Desativado);0;0;0;0;0
Geração de energia elétrica;4462;6856;12798;6677;3567
Atividades de coordenação e controle da operação da geração e transmissão de energia elétrica;12;14;512;5;142
Transmissão de energia elétrica;80;1628;6309;2087;531
Comércio atacadista de energia elétrica;14;342;1463;234;56
Distribuição de energia elétrica;6427;14729;28883;17043;6379
Produção de gás, processamento de gás natural;2;792;2030;445;81
Distribuição de combustíveis gasosos por redes urbanas;126;105;322;91;24
Produção e distribuição de vapor, água quente e ar condicionado;36;80;442;53;18
Captação, tratamento e distribuição de água;7078;27286;61063;22091;12692
Distribuição de água por caminhões;36;703;1145;56;22
Gestão de redes de esgoto;24;1204;3287;409;716
Atividades relacionadas a esgoto, exceto a gestão de redes;701;1657;2315;1720;956
Coleta de resíduos não-perigosos;5315;31737;64149;18120;7625
Coleta de resíduos perigosos;642;1512;2244;1250;667
Tratamento e disposição de resíduos não-perigosos;147;1233;24767;1641;296
Tratamento e disposição de resíduos perigosos;453;992;2673;651;190
Recuperação de sucatas de alumínio;83;272;612;314;417
Recuperação de materiais metálicos, exceto alumínio;366;725;4138;1280;328
Recuperação de materiais plásticos;283;1625;4283;3354;569
Usinas de compostagem;1;66;429;403;50
Recuperação de materiais não especificados anteriormente;627;1307;4061;2174;3281
Descontaminação e outros serviços de gestão de resíduos;96;230;571;256;546
Incorporação de empreendimentos imobiliários;3162;28310;47369;25407;11088
Construção de edifícios;39012;169277;284260;110221;60604
Construção de rodovias e ferrovias;7830;23290;60439;19767;13496
Pintura para sinalização em pistas rodoviárias e aeroportos;151;423;2187;1204;130
Construção de obras-de-arte especiais;615;4605;12961;4190;994
Obras de urbanização - ruas, praças e calçadas;1510;4857;26311;5896;3714
Construção de barragens e represas para geração de energia elétrica;2844;1226;78;2331;2043
Construção de estações e redes de distribuição de energia elétrica;6542;15878;26882;8644;7402
Manutenção de redes de distribuição de energia elétrica;1460;4233;8033;1954;2463
Construção de estações e redes de telecomunicações;1755;3308;18047;2355;6414
Manutenção de estações e redes de telecomunicações;2540;10088;35456;9211;497
Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação;986;9438;13007;5205;3252
Obras de irrigação;19;368;465;6;37
Construção de redes de transportes por dutos, exceto para água e esgoto;11;450;1639;223;4
Obras portuárias, marítimas e fluviais;79;529;1557;1133;6
Montagem de estruturas metálicas;1420;4862;12220;7410;2053
Obras de montagem industrial;5808;5442;33503;3848;2287
Construção de instalações esportivas e recreativas;31;2943;1480;499;310
Outras obras de engenharia civil não especificadas anteriormente;3346;13252;46429;8405;5001
Demolição de edifícios e outras estruturas;98;504;1919;244;22
Preparação de canteiro e limpeza de terreno;60;507;747;533;320
Perfurações e sondagens;434;507;5299;398;1052
Obras de terraplenagem;5865;9525;24573;11886;4970
Serviços de preparação do terreno não especificados anteriormente;1347;267;1420;928;904
Instalação e manutenção elétrica;14625;24323;86668;24939;9785
Instalações hidráulicas, sanitárias e de gás;207;1360;12544;3428;859
Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração;2726;6439;29061;4299;3440
Instalações de sistema de prevenção contra incêndio;180;312;4172;595;245
Instalação de painéis publicitários;60;559;2116;506;407
Instalação de equipamentos para orientação à navegação marítima, fluvial e lacustre;2;9;36;1;47
Instalação, manutenção e reparação de elevadores, escadas e esteiras rolantes, exceto de fabricação própria;308;1547;10346;2297;1207
Montagem e instalação de sistemas e equipamentos de iluminação e sinalização em vias públicas, portos e aeroportos;75;1410;3624;890;575
Tratamentos térmicos, acústicos ou de vibração;35;139;3408;207;86
Outras obras de instalações em construções não especificadas anteriormente;337;4091;14216;2880;565
Impermeabilização em obras de engenharia civil;32;1022;5003;1340;337
Instalação de portas, janelas, tetos, divisórias e armários embutidos de qualquer material;328;1646;5945;1725;1057
Obras de acabamento em gesso e estuque;323;1604;7102;1893;538
Serviços de pintura de edifícios em geral;540;3224;17135;8695;2393
Aplicação de revestimentos e de resinas em interiores e exteriores;208;991;4973;2321;488
Outras obras de acabamento da construção;367;2899;25114;6453;1699
Obras de fundações;739;2091;11881;2595;1205
Administração de obras;957;2422;12709;2050;1019
Montagem e desmontagem de andaimes e outras estruturas temporárias;130;2374;8095;871;138
Obras de alvenaria;3447;3574;26716;15148;3721
Serviços de operação e fornecimento de equipamentos para transporte e elevação de cargas e pessoas para uso em obras;1135;1727;7023;1077;545
Perfuração e construção de poços de água;336;1644;1689;640;547
Serviços especializados para construção não especificados anteriormente;939;6610;22376;8200;2968
Comércio a varejo de automóveis, camionetas e utilitários novos;9374;29083;73653;36078;17909
Comércio a varejo de automóveis, camionetas e utilitários usados;780;3760;11996;6651;2220
Comércio por atacado de automóveis, camionetas e utilitários novos e usados;511;1882;4805;843;306
Comércio por atacado de caminhões novos e usados;824;2188;7618;4818;1849
Comércio por atacado de reboques e semi-reboques novos e usados;2;22;248;344;244
Comércio por atacado de ônibus e microônibus novos e usados;12;37;281;93;3
Representantes comerciais e agentes do comércio de veículos automotores;207;973;3248;727;354
Comércio sob consignação de veículos automotores;117;343;755;473;547
Serviços de manutenção e reparação mecânica de veículos automotores;4953;15287;54852;30213;13819
Serviços de lanternagem ou funilaria e pintura de veículos automotores;551;3030;10262;4418;1993
Serviços de manutenção e reparação elétrica de veículos automotores;271;1306;2976;2370;922
Serviços de alinhamento e balanceamento de veículos automotores;386;758;3200;1143;1194
Serviços de lavagem, lubrificação e polimento de veículos automotores;863;3979;12440;4967;2470
Serviços de borracharia para veículos automotores;266;846;3329;2476;1070
Serviços de instalação, manutenção e reparação de acessórios para veículos automotores;644;2582;9189;2954;1112
Serviços de capotaria;15;91;84;11;20
Comércio por atacado de peças e acessórios novos para veículos automotores;3664;10924;36000;14274;9947
Comércio por atacado de pneumáticos e câmaras-de-ar;412;1207;2946;1785;552
Comércio a varejo de peças e acessórios novos para veículos automotores;15922;44123;136582;57871;34856
Comércio a varejo de peças e acessórios usados para veículos automotores;397;1384;4932;3230;1252
Comércio a varejo de pneumáticos e câmaras-de-ar;2616;6439;20652;8654;4847
Representantes comerciais e agentes do comércio de peças e acessórios novos e usados para veículos automotores;110;223;465;225;130
Comércio por atacado de motocicletas e motonetas;672;724;1041;226;392
Comércio por atacado de peças e acessórios para motocicletas e motonetas;796;2283;2352;1034;1295
Comércio a varejo de motocicletas e motonetas novas;4739;11024;9947;3582;3612
Comércio a varejo de motocicletas e motonetas usadas;250;1121;1391;685;365
Comércio a varejo de peças e acessórios para motocicletas e motonetas (Desativado);0;0;0;0;0
Comércio a varejo de peças e acessórios novos para motocicletas e motonetas;1815;4975;6818;2617;2258
Comércio a varejo de peças e acessórios usados para motocicletas e motonetas;67;171;293;184;114
Representantes comerciais e agentes do comércio de motocicletas e motonetas, peças e acessórios;16;71;66;18;132
Comércio sob consignação de motocicletas e motonetas;12;68;86;30;18
Manutenção e reparação de motocicletas e motonetas;473;1425;2655;1252;848
Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos;141;446;990;1357;345
Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos;77;233;1115;372;209
Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens;242;811;1234;553;392
Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves;301;464;1339;771;446
Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico;149;464;1523;457;86
Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem;142;661;2079;724;241
Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo;600;3160;3902;1437;454
Representantes comerciais e agentes do comércio de medicamentos, cosméticos e produtos de perfumaria;116;451;481;93;56
Representantes comerciais e agentes do comércio de instrumentos e materiais odonto-médico-hospitalares;64;206;410;61;135
Representantes comerciais e agentes do comércio de jornais, revistas e outras publicações;29;21;168;41;92
Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente;431;1113;2924;1328;519
Representantes comerciais e agentes do comércio de mercadorias em geral não especializado;1164;2169;6931;2850;1144
Comércio atacadista de café em grão;112;235;6789;140;18
Comércio atacadista de soja;799;494;1330;7737;3299
Comércio atacadista de animais vivos;527;128;924;780;239
Comércio atacadista de couros, lãs, peles e outros subprodutos não-comestíveis de origem animal;157;199;778;643;186
Comércio atacadista de algodão;6;99;154;1;342
Comércio atacadista de fumo em folha não beneficiado;0;0;1;395;0
Comércio atacadista de cacau;44;296;63;0;0
Comércio atacadista de sementes, flores, plantas e gramas;306;824;4627;2465;1630
Comércio atacadista de sisal;0;8;0;0;0
Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada;118;132;427;1723;471
Comércio atacadista de alimentos para animais;838;2313;7341;2594;1367
Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente;812;405;2953;15797;2645
Comércio atacadista de leite e laticínios;549;2408;12347;2196;834
Comércio atacadista de cereais e leguminosas beneficiados;662;3942;4382;10353;2461
Comércio atacadista de farinhas, amidos e féculas;195;850;1238;1032;349
Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada;576;1891;1925;1416;619
Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos;1880;7701;42571;11736;5167
Comércio atacadista de aves vivas e ovos;420;796;1746;460;498
Comércio atacadista de coelhos e outros pequenos animais vivos para alimentação;0;5;0;0;0
Comércio atacadista de carnes bovinas e suínas e derivados;2194;6632;14956;9114;2813
Comércio atacadista de aves abatidas e derivados;457;1206;1350;480;470
Comércio atacadista de pescados e frutos do mar;602;1512;3618;1487;357
Comércio atacadista de carnes e derivados de outros animais;38;387;296;135;12
Comércio atacadista de água mineral;399;1147;2334;447;314
Comércio atacadista de cerveja, chope e refrigerante;5671;23998;42785;12665;6855
Comércio atacadista de bebidas com atividade de fracionamento e acondicionamento associada;165;2099;1160;336;999
Comércio atacadista de bebidas não especificadas anteriormente;800;3021;5763;2026;495
Comércio atacadista de fumo beneficiado;19;1433;191;392;47
Comércio atacadista de cigarros, cigarrilhas e charutos;147;1146;4322;1597;428
Comércio atacadista de café torrado, moído e solúvel;158;727;659;300;267
Comércio atacadista de açúcar;294;304;548;206;164
Comércio atacadista de óleos e gorduras;11;24;297;77;14
Comércio atacadista de pães, bolos, biscoitos e similares;270;1999;8497;1438;855
Comércio atacadista de massas alimentícias;1351;620;1500;858;82
Comércio atacadista de sorvetes;225;834;2093;1086;855
Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes;667;1039;2686;1553;318
Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente;947;4071;14581;6563;1370
Comércio atacadista de produtos alimentícios em geral;12161;30629;65352;18713;11114
Comércio atacadista de produtos alimentícios em geral, com atividade de fracionamento e acondicionamento associada;667;2866;4591;1778;1852
Comércio atacadista de tecidos;263;2915;6230;1615;786
Comércio atacadista de artigos de cama, mesa e banho;213;550;1140;513;160
Comércio atacadista de artigos de armarinho;778;2542;4412;1403;568
Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança;802;5214;17510;7106;2082
Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho;136;493;3394;1233;382
Comércio atacadista de calçados;465;980;2232;788;220
Comércio atacadista de bolsas, malas e artigos de viagem;4;153;1376;245;96
Comércio atacadista de medicamentos e drogas de uso humano;4506;12695;32007;7936;6158
Comércio atacadista de medicamentos e drogas de uso veterinário;289;834;2831;1690;285
Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios;1735;4968;22183;4239;1925
Comércio atacadista de próteses e artigos de ortopedia;40;344;1861;466;187
Comércio atacadista de produtos odontológicos;117;515;3096;2407;364
Comércio atacadista de cosméticos e produtos de perfumaria;2200;6999;30718;4499;3425
Comércio atacadista de produtos de higiene pessoal;685;2840;12046;351;1075
Comércio atacadista de artigos de escritório e de papelaria;558;2704;13769;2210;958
Comércio atacadista de livros, jornais e outras publicações;64;1564;4106;718;213
Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico;238;942;2385;1667;667
Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico;215;834;3240;1562;310
Comércio atacadista de bicicletas, triciclos e outros veículos recreativos;1077;822;777;329;139
Comércio atacadista de móveis e artigos de colchoaria;171;2263;2374;967;222
Comércio atacadista de artigos de tapeçaria, persianas e cortinas;12;35;1357;310;94
Comércio atacadista de lustres, luminárias e abajures;2;66;1323;383;28
Comércio atacadista de filmes, CDs, DVDs, fitas e discos;9;40;523;98;10
Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar;926;3886;7212;2039;1123
Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar, com atividade de fracionamento e acondicionamento associada;518;195;1282;528;194
Comércio atacadista de jóias, relógios e bijuterias, inclusive pedras preciosas e semipreciosas lapidadas;77;372;4740;729;292
Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente;561;3129;17007;4772;1232
Comércio atacadista de equipamentos de informática;166;1627;15288;2619;887
Comércio atacadista de suprimentos para informática;35;776;1424;544;180
Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação;232;1826;9354;2288;403
Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário, partes e peças;2120;2193;10264;9956;8376
Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção, partes e peças;1324;1010;4116;542;909
Comércio atacadista de máquinas e equipamentos para uso industrial, partes e peças;533;1753;23346;7463;766
Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar, partes e peças;189;712;7777;1174;295
Comércio atacadista de máquinas e equipamentos para uso comercial, partes e peças;280;829;4629;1506;559
Comércio atacadista de bombas e compressores, partes e peças;92;248;1405;306;209
Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente, partes e peças;418;1415;17982;3263;1492
Comércio atacadista de madeira e produtos derivados;1436;1308;5817;5800;1172
Comércio atacadista de ferragens e ferramentas;709;4790;14914;5430;1209
Comércio atacadista de material elétrico;478;2016;8723;2821;1262
Comércio atacadista de cimento;380;1015;2075;355;228
Comércio atacadista de tintas, vernizes e similares;177;387;2341;696;440
Comércio atacadista de mármores e granitos;96;410;3172;779;187
Comércio atacadista de vidros, espelhos e vitrais;263;455;2342;783;357
Comércio atacadista especializado de materiais de construção não especificados anteriormente;436;1023;4067;1377;314
Comércio atacadista de materiais de construção em geral;2117;6786;10338;3294;2729
Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador re;865;3226;4944;2427;1052
Comércio atacadista de combustíveis realizado por transportador retalhista (TRR);325;343;2753;2304;1233
Comércio atacadista de combustíveis de origem vegetal, exceto álcool carburante;30;35;786;394;204
Comércio atacadista de combustíveis de origem mineral em bruto;8;53;116;77;12
Comércio atacadista de lubrificantes;466;1687;3164;1249;752
Comércio atacadista de gás liqüefeito de petróleo (GLP);1683;2574;7517;2815;1291
Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo;1412;2941;13013;10532;6290
Comércio atacadista de resinas e elastômeros;8;55;756;354;7
Comércio atacadista de solventes;0;1;66;37;0
