"Município";"1 - Alimentícios";"1.1 - Açaí (fruto)";"1.2 - Castanha-de-caju";"1.3 - Castanha-do-pará";"1.4 - Erva-mate";"1.5 - Mangaba (fruto)";"1.6 - Palmito";"1.7 - Pequi (fruto)";"1.8 - Pinhão";"1.9 - Umbu (fruto)";"1.10 - Outros";"2 - Aromáticos, medicinais, tóxicos e corantes";"2.1 - Ipecacuanha ou poaia (raiz)";"2.2 - Jaborandi (folha)";"2.3 - Urucum (semente)";"2.4 - Outros";"3 - Borrachas";"3.1 - Caucho";"3.2 - Hevea (látex coagulado)";"3.3 - Hevea (látex líquido)";"3.4 - Mangabeira";"4 - Ceras";"4.1 - Carnaúba (cera)";"4.2 - Carnaúba (pó)";"4.3 - Outras";"5 - Fibras";"5.1 - Buriti";"5.2 - Carnaúba";"5.3 - Piaçava";"5.4 - Outras";"6 - Gomas não elásticas";"6.1 - Balata";"6.2 - Maçaranduba";"6.3 - Sorva";"7.1 - Carvão vegetal";"7.2 - Lenha";"7.3 - Madeira em tora";"8 - Oleaginosos";"8.1 - Babaçu (amêndoa)";"8.2 - Copaíba (óleo)";"8.3 - Cumaru (amêndoa)";"8.4 - Licuri (coquilho)";"8.5 - Oiticica (semente)";"8.6 - Pequi (amêndoa)";"8.7 - Tucum (amêndoa)";"8.8 - Outros";"9.1 - Pinheiro brasileiro (nó de pinho)";"9.2 - Pinheiro brasileiro (árvores abatidas)";"9.3 - Pinheiro brasileiro (madeira em tora)";"10 - Tanantes";"10.1 - Angico (casca)";"10.2 - Barbatimão (casca)";"10.3 - Outros"
"Lagoa Alegre (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"2792";"-";"2792";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"173";"24";"3";"221";"220";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-"
"Lagoa do Barro do Piauí (PI)";"6";"-";"-";"-";"-";"-";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"200";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lagoa de São Francisco (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"158";"-";"158";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"141";"322";"87";"25";"25";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lagoa do Piauí (PI)";"31";"-";"-";"-";"-";"-";"-";"31";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"17";"-";"17";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"62";"22";"17";"14";"14";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lagoa do Sítio (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"30";"72";"33";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Landri Sales (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"90";"-";"-";"-";"90";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6";"70";"20";"1";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Luís Correia (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"3711";"-";"3711";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"260";"114";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Luzilândia (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"268";"-";"268";"-";"-";"-";"-";"-";"-";"...";"1803";"-";"1803";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"83";"63";"129";"311";"309";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-"
"Madeiro (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"72";"-";"72";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"45";"59";"17";"112";"112";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Manoel Emídio (PI)";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"47";"29";"-";"14";"14";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Marcolândia (PI)";"50";"-";"-";"-";"-";"-";"-";"-";"-";"50";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"16";"39";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Marcos Parente (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"260";"-";"-";"-";"260";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"32";"93";"6";"2";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Massapê do Piauí (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"2526";"-";"2526";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"142";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Matias Olímpio (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"124";"-";"124";"-";"-";"-";"-";"-";"-";"...";"3121";"-";"3121";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"89";"10";"11";"200";"200";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Miguel Alves (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"339";"-";"339";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"684";"39";"17";"787";"783";"-";"-";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-"
"Miguel Leão (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"31";"7";"-";"20";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
