"Município";"Abacate";"Abacaxi*";"Açaí";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Azeitona";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Cana-de-açúcar";"Cana para forragem";"Caqui";"Castanha de caju";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Chá-da-índia (folha verde)";"Coco-da-baía*";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Figo";"Fumo (em folha)";"Girassol (em grão)";"Goiaba";"Guaraná (semente)";"Juta (fibra)";"Laranja";"Limão";"Linho (semente)";"Maçã";"Malva (fibra)";"Mamão";"Mamona (baga)";"Mandioca";"Manga";"Maracujá";"Marmelo";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Rami (fibra)";"Sisal ou agave (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tangerina";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"Hugo Napoleão (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"386";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"108";"-";"-";"-";"-";"-";"-";"-";"-";"24";"55";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"38";"-";"-";"-";"-";"-";"1115";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ilha Grande (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"2179";"-";"-";"133";"-";"-";"-";"...";"-";"-";"-";"-";"...";"330";"...";"-";"10";"-";"-";"-";"-";"58";"-";"-";"-";"-";"94";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"84";"228";"-";"-";"-";"-";"15";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Inhuma (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"4";"-";"-";"419";"-";"-";"-";"...";"-";"-";"-";"-";"...";"1127";"...";"-";"1043";"-";"-";"-";"-";"133";"-";"-";"-";"64";"1018";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4390";"94";"255";"-";"1050";"-";"833";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1732";"-";"-";"-";"-";"-"
"Ipiranga do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"40";"-";"-";"-";"...";"-";"-";"-";"-";"...";"51";"...";"-";"201";"-";"-";"-";"-";"21";"-";"-";"-";"7";"285";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"195";"-";"-";"-";"400";"-";"182";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"260";"-";"-";"-";"-";"-"
"Isaías Coelho (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"18";"-";"-";"-";"-";"-";"-";"-";"-";"-";"659";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"26";"-";"-";"-";"-";"-";"382";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itainópolis (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"352";"54";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"61";"-";"-";"-";"-";"89";"-";"-";"-";"-";"1040";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"90";"-";"-";"-";"160";"22";"540";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itaueira (PI)";"-";"-";"-";"...";"-";"-";"-";"76";"891";"-";"-";"187";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"200";"-";"-";"-";"-";"-";"-";"-";"-";"20";"1979";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"336";"-";"-";"-";"-";"-";"23020";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jacobina do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"250";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5";"-";"509";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"112";"-";"-";"-";"-";"-"
"Jaicós (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"3167";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2297";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3300";"-";"-";"-";"-";"-";"147";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jardim do Mulato (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"527";"-";"-";"132";"-";"-";"-";"...";"-";"-";"-";"-";"...";"36";"...";"-";"144";"-";"-";"-";"-";"-";"-";"-";"-";"60";"184";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"105";"-";"-";"-";"-";"-";"518";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jatobá do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"65";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"564";"-";"-";"-";"-";"-";"-";"-";"-";"-";"623";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"200";"-";"-";"-";"10440";"-";"721";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jerumenha (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"42";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"180";"-";"-";"-";"-";"638";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"43";"-";"-";"-";"-";"-";"439";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"João Costa (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"1867";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"83";"-";"-";"-";"99";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"72";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Joaquim Pires (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"564";"-";"-";"117";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"204";"-";"-";"-";"-";"-";"-";"-";"-";"-";"614";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"369";"-";"-";"-";"-";"-";"771";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Joca Marques (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"111";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"45";"-";"-";"-";"-";"-";"-";"-";"-";"-";"207";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"429";"-";"270";"-";"390";"-";"216";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"José de Freitas (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"858";"-";"-";"91";"-";"-";"-";"...";"-";"-";"-";"-";"...";"50411";"...";"-";"151";"-";"-";"-";"-";"-";"-";"-";"-";"18";"1048";"-";"-";"-";"-";"-";"-";"203";"240";"-";"-";"-";"-";"-";"1344";"485";"-";"-";"1440";"-";"1170";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Juazeiro do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"50";"-";"-";"-";"-";"-";"-";"-";"-";"-";"439";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"57";"-";"-";"-";"108";"-";"1686";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Júlio Borges (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"79";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"802";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"43";"-";"-";"-";"-";"-";"370";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jurema (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"708";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"133";"-";"-";"-";"-";"-";"2043";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lagoinha do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"53";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"11";"-";"-";"-";"-";"-";"-";"-";"-";"9";"72";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"128";"-";"-";"-";"-";"-";"226";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lagoa Alegre (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"239";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"39";"-";"-";"-";"-";"-";"-";"-";"-";"36";"344";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"432";"-";"-";"-";"707";"-";"338";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lagoa do Barro do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"399";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"19";"-";"-";"-";"-";"-";"143";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lagoa de São Francisco (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"155";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"78";"-";"-";"-";"-";"-";"-";"-";"-";"109";"578";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"179";"-";"-";"-";"-";"-";"518";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lagoa do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"444";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"77";"-";"-";"-";"-";"-";"-";"-";"-";"23";"63";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"228";"-";"-";"-";"285";"-";"367";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lagoa do Sítio (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"643";"-";"-";"-";"-";"-";"-";"-";"-";"16";"665";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"244";"-";"-";"-";"-";"-";"2862";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Landri Sales (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"399";"-";"-";"210";"-";"-";"-";"...";"-";"-";"-";"-";"...";"14";"...";"-";"98";"-";"-";"-";"-";"-";"-";"-";"-";"32";"827";"-";"-";"-";"-";"-";"-";"26";"-";"-";"-";"-";"-";"-";"67";"-";"-";"-";"-";"-";"64146";"-";"-";"-";"-";"-";"-";"-";"19858";"-";"-";"-";"-";"-";"-";"-";"-"
"Luís Correia (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"21";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"1848";"-";"-";"-";"-";"540";"-";"-";"-";"-";"4700";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"19382";"-";"-";"-";"-";"-";"3525";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Luzilândia (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"972";"-";"-";"186";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"86";"-";"-";"-";"-";"-";"-";"-";"-";"-";"378";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"480";"-";"-";"-";"825";"-";"1047";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Madeiro (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"318";"-";"-";"76";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"39";"-";"-";"-";"-";"-";"-";"-";"-";"-";"430";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"286";"-";"-";"-";"74";"-";"311";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Manoel Emídio (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"4";"-";"-";"479";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"273";"-";"-";"-";"-";"-";"-";"-";"-";"27";"52";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"348";"-";"-";"-";"-";"-";"53";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Marcolândia (PI)";"-";"-";"-";"...";"-";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"8";"121";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"16980";"-";"-";"-";"-";"-";"1740";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Marcos Parente (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"135";"-";"-";"54";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"18";"-";"-";"-";"-";"-";"-";"-";"-";"19";"388";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"89";"-";"-";"-";"-";"-";"240";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Massapê do Piauí (PI)";"-";"-";"-";"...";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"198";"-";"-";"-";"-";"-";"-";"-";"-";"-";"421";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"222";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Matias Olímpio (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"642";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"29";"-";"-";"-";"-";"-";"-";"-";"-";"41";"259";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"279";"-";"-";"-";"-";"-";"289";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Miguel Alves (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"11858";"-";"-";"269";"-";"-";"-";"...";"-";"-";"-";"-";"...";"24715";"...";"-";"90";"-";"-";"-";"-";"58";"-";"-";"-";"-";"1594";"-";"-";"-";"-";"-";"-";"61";"-";"-";"-";"-";"-";"-";"1480";"229";"-";"-";"400";"-";"2242";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Miguel Leão (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"116";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"90";"125";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"44";"-";"-";"-";"-";"-";"208";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Milton Brandão (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"54";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"22";"...";"-";"480";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1034";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"567";"-";"-";"-";"420";"-";"819";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Monsenhor Gil (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"583";"-";"-";"92";"-";"-";"-";"...";"-";"-";"-";"-";"...";"33";"...";"-";"28";"-";"-";"-";"-";"-";"-";"-";"-";"117";"275";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"95";"60";"-";"-";"1188";"-";"582";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Monsenhor Hipólito (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"7352";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4428";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2739";"-";"-";"-";"-";"-";"270";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Monte Alegre do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"5978";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2583";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"127";"-";"-";"-";"-";"-";"74502";"-";"-";"-";"-";"-";"-";"-";"218716";"-";"-";"-";"-";"-";"-";"-";"-"
"Morro Cabeça no Tempo (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"858";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"73";"-";"-";"-";"-";"-";"968";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Morro do Chapéu do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"357";"-";"-";"103";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"47";"-";"-";"-";"-";"-";"-";"-";"-";"43";"212";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"390";"-";"-";"-";"108";"-";"362";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Murici dos Portelas (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"874";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"312";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1201";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1447";"-";"-";"-";"-";"-";"346";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Nazaré do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"90";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"18";"-";"-";"-";"-";"-";"-";"-";"-";"-";"180";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"42";"-";"-";"-";"-";"-";"179";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Nazária (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"117";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"67";"-";"-";"-";"-";"-";"-";"-";"-";"9";"198";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"180";"-";"-";"-";"248";"-";"391";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Nossa Senhora de Nazaré (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"51";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"75";"-";"-";"-";"-";"-";"-";"-";"-";"-";"396";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"106";"-";"-";"-";"-";"-";"403";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Nossa Senhora dos Remédios (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"536";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"18";"-";"-";"-";"-";"-";"-";"-";"-";"20";"124";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"318";"-";"-";"-";"-";"-";"319";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Novo Oriente do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"155";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"213";"-";"-";"-";"-";"-";"-";"-";"-";"48";"45";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"14";"-";"-";"-";"-";"-";"303";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Novo Santo Antônio (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"30";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"176";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"41";"-";"-";"-";"-";"-";"382";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Oeiras (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"238";"-";"-";"281";"-";"-";"-";"...";"-";"-";"-";"-";"...";"51";"...";"-";"133";"-";"-";"-";"-";"-";"-";"-";"-";"114";"1088";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"420";"56";"-";"-";"203";"-";"3360";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Olho D'Água do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"88";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"74";"-";"-";"-";"-";"-";"-";"-";"-";"48";"88";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"106";"-";"-";"-";"2000";"-";"1089";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Padre Marcos (PI)";"-";"-";"-";"...";"-";"46";"-";"69";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"14";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1171";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"30";"-";"-";"-";"-";"-";"1978";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Paes Landim (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"176";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"74";"-";"-";"-";"-";"-";"273";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pajeú do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"13";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"55";"...";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"16";"105";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"35";"-";"-";"-";"1455";"22915";"525";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Palmeira do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"1812";"-";"-";"32";"-";"-";"-";"...";"-";"-";"-";"-";"...";"2160";"...";"-";"129";"-";"-";"-";"-";"-";"-";"-";"-";"18";"279";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"151";"-";"-";"-";"-";"-";"75187";"-";"-";"-";"-";"-";"-";"-";"74040";"-";"-";"-";"-";"-";"-";"-";"-"
"Palmeirais (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"3532";"-";"-";"349";"-";"-";"-";"...";"-";"-";"-";"-";"...";"45";"...";"-";"541";"-";"-";"-";"-";"-";"-";"-";"-";"374";"400";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"296";"163";"-";"-";"485";"-";"2838";"-";"-";"-";"-";"-";"-";"-";"5263";"-";"-";"-";"-";"-";"-";"-";"-"
"Paquetá (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"58";"...";"-";"2081";"-";"-";"-";"-";"59";"-";"-";"-";"-";"1596";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1008";"-";"-";"-";"-";"-";"600";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Parnaguá (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"26";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1011";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"172";"-";"-";"-";"-";"-";"3125";"-";"-";"-";"-";"-";"-";"-";"2994";"-";"-";"-";"-";"-";"-";"-";"-"
