"Município";"Abacate";"Abacaxi*";"Açaí";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Azeitona";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Cana-de-açúcar";"Cana para forragem";"Caqui";"Castanha de caju";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Chá-da-índia (folha verde)";"Coco-da-baía*";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Figo";"Fumo (em folha)";"Girassol (em grão)";"Goiaba";"Guaraná (semente)";"Juta (fibra)";"Laranja";"Limão";"Linho (semente)";"Maçã";"Malva (fibra)";"Mamão";"Mamona (baga)";"Mandioca";"Manga";"Maracujá";"Marmelo";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Rami (fibra)";"Sisal ou agave (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tangerina";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"Colônia do Gurguéia (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"5";"-";"-";"56";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"77";"-";"-";"-";"-";"-";"-";"-";"-";"27";"36";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"37";"-";"-";"-";"176";"-";"604";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Colônia do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"7";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"34";"...";"-";"58";"-";"-";"-";"-";"-";"-";"-";"-";"-";"785";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"122";"-";"-";"-";"221";"-";"569";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Conceição do Canindé (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"153";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"84";"-";"-";"-";"-";"228";"-";"-";"-";"528";"-";"-";"-";"-";"-";"-";"-";"-";"-";"140";"324";"-";"-";"624";"204";"101";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3093";"-";"-";"-";"-";"-"
"Coronel José Dias (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"428";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"28";"-";"-";"-";"-";"-";"45";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Corrente (PI)";"-";"-";"-";"...";"-";"25519";"-";"-";"332";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"105";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"813";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"634";"-";"-";"-";"-";"-";"16398";"-";"-";"-";"-";"-";"-";"-";"214827";"-";"-";"-";"-";"-";"-";"-";"-"
"Cristalândia do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"8";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"302";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"150";"-";"-";"-";"-";"-";"513";"-";"-";"-";"-";"-";"-";"-";"4925";"-";"-";"-";"-";"-";"-";"-";"-"
"Cristino Castro (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"7";"-";"-";"225";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"28";"-";"-";"-";"-";"-";"-";"-";"-";"124";"866";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"203";"-";"-";"-";"-";"-";"558";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Curimatá (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"212";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"103";"-";"-";"-";"-";"-";"97";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Currais (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"329";"-";"-";"75";"-";"-";"-";"...";"-";"-";"-";"-";"...";"324";"...";"-";"14";"-";"-";"-";"-";"-";"-";"-";"-";"-";"88";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"315";"-";"-";"-";"-";"-";"187146";"-";"-";"-";"-";"-";"-";"-";"565808";"2040";"-";"-";"-";"-";"-";"-";"-"
"Curralinhos (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"178";"-";"-";"123";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"96";"-";"-";"-";"-";"-";"-";"-";"-";"9";"49";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"104";"-";"-";"-";"-";"-";"134";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Curral Novo do Piauí (PI)";"-";"-";"-";"...";"-";"84";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"742";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4111";"-";"-";"-";"-";"-";"1221";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Demerval Lobão (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"88";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"18";"...";"-";"37";"-";"-";"-";"-";"-";"-";"-";"-";"-";"175";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"78";"-";"-";"-";"575";"-";"365";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
