"Município";"Bovino";"Bubalino";"Equino";"Suíno - total";"Caprino";"Ovino";"Galináceos - total";"Codornas"
"Brasil";"238620910";"1673139";"5798080";"43124200";"12891233";"21799960";"1554373567";"14874139"
"Nordeste";"35268645";"138177";"1383775";"6405656";"12373690";"15525568";"206501207";"3269777"
"Piauí";"1384189";"530";"59814";"1077585";"2023532";"1809805";"11625048";"14215"
"Acauã (PI)";"6113";"-";"347";"3346";"21544";"52219";"21258";"-"
"Agricolândia (PI)";"1572";"-";"33";"721";"698";"438";"9305";"-"
"Água Branca (PI)";"2833";"-";"47";"957";"143";"146";"26957";"-"
"Alagoinha do Piauí (PI)";"5421";"-";"316";"3219";"5533";"14055";"28119";"-"
"Alegrete do Piauí (PI)";"3513";"-";"84";"659";"1833";"8165";"6421";"-"
"Alto Longá (PI)";"14045";"-";"624";"17301";"36795";"20363";"55919";"-"
"Altos (PI)";"7252";"-";"483";"16208";"12743";"9400";"1066282";"-"
"Alvorada do Gurguéia (PI)";"7007";"-";"112";"410";"273";"1147";"6248";"-"
"Amarante (PI)";"9200";"-";"362";"10762";"7454";"5322";"49918";"-"
"Angical do Piauí (PI)";"5333";"-";"58";"910";"1347";"909";"120582";"-"
"Anísio de Abreu (PI)";"2234";"-";"521";"2187";"4681";"11107";"19362";"-"
"Antônio Almeida (PI)";"3568";"-";"78";"458";"314";"682";"6221";"-"
"Aroazes (PI)";"6449";"-";"255";"2168";"8201";"10245";"13356";"-"
"Aroeiras do Itaim (PI)";"3187";"-";"122";"2438";"709";"4512";"18673";"-"
"Arraial (PI)";"3333";"-";"216";"2980";"3470";"3536";"16295";"-"
"Assunção do Piauí (PI)";"4305";"-";"119";"1869";"14705";"10811";"19554";"-"
"Avelino Lopes (PI)";"11012";"-";"446";"3549";"14304";"7510";"31169";"-"
"Baixa Grande do Ribeiro (PI)";"13456";"-";"277";"2636";"250";"406";"43487";"-"
"Barra D'Alcântara (PI)";"2138";"-";"46";"809";"2725";"3059";"14215";"-"
"Barras (PI)";"15484";"-";"900";"18942";"15367";"5355";"96506";"-"
"Barreiras do Piauí (PI)";"4627";"-";"175";"636";"1098";"246";"6976";"-"
"Barro Duro (PI)";"1807";"-";"55";"827";"1178";"412";"13585";"-"
"Batalha (PI)";"15033";"-";"378";"25006";"41860";"10859";"165865";"-"
"Bela Vista do Piauí (PI)";"5737";"-";"428";"2341";"11776";"15718";"10656";"-"
"Belém do Piauí (PI)";"1939";"-";"160";"1375";"1675";"7661";"10389";"-"
"Beneditinos (PI)";"4675";"-";"285";"8598";"12660";"8428";"24360";"-"
"Bertolínia (PI)";"9336";"-";"73";"2000";"670";"3552";"16970";"-"
"Betânia do Piauí (PI)";"2534";"-";"128";"1461";"3372";"22473";"14445";"-"
"Boa Hora (PI)";"1692";"-";"92";"5576";"3699";"1223";"14489";"-"
"Bocaina (PI)";"3225";"-";"75";"2361";"2858";"1960";"11857";"-"
"Bom Jesus (PI)";"26021";"-";"546";"1903";"870";"3202";"38750";"-"
"Bom Princípio do Piauí (PI)";"3016";"-";"114";"2727";"1794";"1665";"10916";"-"
"Bonfim do Piauí (PI)";"1586";"-";"386";"4949";"14558";"7369";"20437";"-"
"Boqueirão do Piauí (PI)";"1291";"-";"70";"5845";"4137";"997";"11669";"-"
"Brasileira (PI)";"4223";"-";"169";"7379";"9362";"3270";"22915";"-"
"Brejo do Piauí (PI)";"5476";"-";"378";"4540";"12409";"10601";"15485";"-"
"Buriti dos Lopes (PI)";"5967";"-";"299";"4138";"3002";"2586";"176388";"-"
"Buriti dos Montes (PI)";"6806";"-";"193";"3001";"19698";"10324";"25145";"-"
"Cabeceiras do Piauí (PI)";"5627";"-";"475";"14980";"12320";"4372";"33749";"-"
"Cajazeiras do Piauí (PI)";"4050";"-";"238";"3312";"3075";"4094";"12263";"-"
"Cajueiro da Praia (PI)";"1050";"-";"104";"1902";"1502";"511";"14028";"-"
"Caldeirão Grande do Piauí (PI)";"3166";"-";"178";"1297";"3213";"11745";"20829";"-"
"Campinas do Piauí (PI)";"7134";"-";"305";"4172";"12683";"27169";"18651";"-"
"Campo Alegre do Fidalgo (PI)";"2439";"-";"285";"2816";"20943";"7828";"10899";"-"
"Campo Grande do Piauí (PI)";"2022";"-";"167";"1537";"1297";"2445";"18933";"-"
"Campo Largo do Piauí (PI)";"4083";"124";"216";"8556";"4279";"874";"28269";"-"
"Campo Maior (PI)";"21535";"17";"1815";"22252";"32532";"30665";"131201";"-"
"Canavieira (PI)";"9637";"-";"400";"1415";"2750";"4745";"13438";"-"
"Canto do Buriti (PI)";"9015";"-";"481";"7835";"2157";"11261";"50167";"-"
"Capitão de Campos (PI)";"4304";"-";"187";"8297";"7645";"2285";"20514";"-"
"Capitão Gervásio Oliveira (PI)";"5212";"-";"306";"2623";"29510";"13119";"9785";"-"
"Caracol (PI)";"4346";"-";"638";"2021";"4260";"4965";"26820";"-"
"Caraúbas do Piauí (PI)";"8414";"-";"203";"5873";"4751";"2443";"25835";"-"
"Caridade do Piauí (PI)";"4274";"-";"130";"1331";"6452";"29775";"12227";"-"
"Castelo do Piauí (PI)";"10742";"-";"299";"9371";"35239";"15835";"43442";"-"
"Caxingó (PI)";"3976";"-";"202";"2745";"3322";"1221";"8989";"-"
"Cocal (PI)";"6834";"-";"179";"22081";"22083";"5855";"102685";"-"
"Cocal de Telha (PI)";"2595";"-";"30";"4449";"4928";"1089";"16079";"-"
"Cocal dos Alves (PI)";"2022";"-";"104";"8161";"6998";"1278";"33629";"-"
"Coivaras (PI)";"2755";"-";"208";"3897";"5254";"3925";"16570";"-"
"Colônia do Gurguéia (PI)";"5875";"-";"122";"776";"528";"1940";"6830";"-"
"Colônia do Piauí (PI)";"7478";"-";"252";"5294";"7756";"8271";"25847";"-"
"Conceição do Canindé (PI)";"3669";"-";"106";"1201";"9495";"11873";"8422";"-"
"Coronel José Dias (PI)";"2723";"-";"291";"3832";"30431";"16857";"19052";"-"
"Corrente (PI)";"28199";"-";"1353";"5326";"2298";"6348";"67392";"-"
"Cristalândia do Piauí (PI)";"19643";"-";"798";"1877";"2633";"3635";"29883";"-"
"Cristino Castro (PI)";"5185";"-";"145";"809";"207";"978";"15738";"-"
"Curimatá (PI)";"20242";"-";"737";"2621";"6029";"14698";"34040";"-"
"Currais (PI)";"13894";"-";"116";"1326";"105";"354";"22448";"-"
"Curralinhos (PI)";"3452";"-";"51";"2392";"2527";"940";"13863";"-"
"Curral Novo do Piauí (PI)";"2839";"-";"208";"1227";"6355";"17846";"9783";"-"
"Demerval Lobão (PI)";"1678";"-";"117";"4190";"2725";"1704";"32032";"-"
"Dirceu Arcoverde (PI)";"3509";"-";"327";"9659";"44990";"36622";"24624";"-"
"Dom Expedito Lopes (PI)";"1183";"-";"30";"971";"213";"776";"11569";"-"
"Domingos Mourão (PI)";"3158";"-";"197";"8846";"10816";"4305";"15948";"-"
"Dom Inocêncio (PI)";"7354";"-";"732";"8093";"90707";"59050";"22525";"-"
"Elesbão Veloso (PI)";"15895";"-";"533";"3573";"10937";"22442";"31973";"-"
"Eliseu Martins (PI)";"6027";"-";"112";"1730";"1650";"895";"28527";"-"
"Esperantina (PI)";"8921";"11";"356";"23470";"23630";"4132";"112003";"-"
"Fartura do Piauí (PI)";"3182";"-";"312";"3929";"27026";"12809";"18599";"-"
"Flores do Piauí (PI)";"4574";"-";"172";"4097";"5913";"1927";"16748";"-"
"Floresta do Piauí (PI)";"2505";"-";"175";"1654";"1423";"5267";"9948";"-"
"Floriano (PI)";"10853";"-";"895";"6875";"18747";"9487";"208053";"-"
"Francinópolis (PI)";"2982";"-";"78";"1280";"2656";"1681";"31857";"-"
"Francisco Ayres (PI)";"3764";"-";"152";"1419";"1752";"2908";"12225";"-"
"Francisco Macedo (PI)";"1533";"-";"29";"871";"1376";"4168";"8385";"-"
"Francisco Santos (PI)";"3359";"-";"121";"1379";"954";"2089";"30506";"-"
