"Município";"Bovino";"Bubalino";"Equino";"Suíno - total";"Caprino";"Ovino";"Galináceos - total";"Codornas"
"Fronteiras (PI)";"5822";"-";"80";"1225";"9141";"25419";"25115";"-"
"Geminiano (PI)";"3559";"-";"140";"1837";"878";"3638";"26471";"-"
"Gilbués (PI)";"10441";"-";"515";"2121";"1554";"1803";"24476";"-"
"Guadalupe (PI)";"5196";"-";"144";"1149";"4015";"1745";"6905";"-"
"Guaribas (PI)";"2120";"-";"61";"1951";"1804";"269";"16232";"-"
"Hugo Napoleão (PI)";"2031";"-";"18";"1591";"1398";"1176";"41966";"-"
"Ilha Grande (PI)";"1632";"-";"112";"541";"217";"838";"5827";"-"
"Inhuma (PI)";"7325";"-";"262";"5466";"3184";"3646";"48084";"-"
"Ipiranga do Piauí (PI)";"2820";"-";"78";"2076";"2433";"1668";"26276";"-"
"Isaías Coelho (PI)";"8117";"-";"345";"5304";"21558";"22236";"24377";"-"
"Itainópolis (PI)";"6981";"-";"419";"6585";"16166";"23182";"54224";"-"
"Itaueira (PI)";"13770";"-";"602";"8604";"10284";"14560";"46695";"-"
"Jacobina do Piauí (PI)";"10767";"-";"232";"990";"14705";"71005";"13521";"-"
"Jaicós (PI)";"3995";"-";"295";"4281";"13130";"14909";"56301";"-"
"Jardim do Mulato (PI)";"3192";"-";"26";"1397";"3041";"332";"20252";"-"
"Jatobá do Piauí (PI)";"7172";"-";"362";"5771";"21292";"15020";"26045";"-"
"Jerumenha (PI)";"6648";"-";"522";"1135";"3204";"3817";"4020";"-"
"João Costa (PI)";"3575";"-";"242";"3616";"16929";"15528";"12488";"-"
"Joaquim Pires (PI)";"10961";"30";"392";"12949";"13464";"2397";"42790";"-"
"Joca Marques (PI)";"4556";"-";"75";"5718";"2494";"662";"25461";"-"
"José de Freitas (PI)";"13805";"89";"1775";"27273";"25362";"20574";"186993";"-"
"Juazeiro do Piauí (PI)";"4120";"-";"133";"6086";"19297";"4636";"19461";"-"
"Júlio Borges (PI)";"11985";"-";"285";"2846";"14097";"3423";"19928";"-"
"Jurema (PI)";"2560";"-";"483";"1399";"4296";"9164";"20616";"-"
"Lagoinha do Piauí (PI)";"1459";"-";"24";"681";"756";"402";"8080";"-"
"Lagoa Alegre (PI)";"1775";"-";"233";"9731";"5941";"3102";"16155";"-"
"Lagoa do Barro do Piauí (PI)";"3505";"-";"375";"2641";"26589";"20711";"8168";"-"
"Lagoa de São Francisco (PI)";"1318";"-";"98";"9110";"8830";"1469";"25057";"-"
"Lagoa do Piauí (PI)";"2929";"-";"130";"4399";"5923";"2213";"180651";"-"
"Lagoa do Sítio (PI)";"3560";"-";"119";"3216";"4790";"4782";"17411";"-"
"Landri Sales (PI)";"7679";"4";"288";"2504";"4170";"2084";"25437";"-"
"Luís Correia (PI)";"8606";"-";"427";"13181";"11504";"8324";"79508";"-"
"Luzilândia (PI)";"7787";"-";"350";"18842";"10296";"1204";"65619";"-"
"Madeiro (PI)";"4108";"-";"163";"3921";"1644";"296";"18273";"-"
"Manoel Emídio (PI)";"7426";"-";"54";"1835";"309";"1146";"19748";"-"
"Marcolândia (PI)";"705";"-";"42";"854";"237";"2021";"9066";"-"
"Marcos Parente (PI)";"5462";"-";"155";"1774";"3898";"2302";"11676";"-"
"Massapê do Piauí (PI)";"2731";"-";"189";"1900";"8757";"19715";"19363";"-"
"Matias Olímpio (PI)";"2198";"49";"49";"5732";"3123";"434";"19445";"-"
"Miguel Alves (PI)";"7124";"11";"518";"23317";"9188";"2653";"76647";"-"
"Miguel Leão (PI)";"207";"-";"39";"395";"470";"314";"4590";"-"
"Milton Brandão (PI)";"3764";"-";"153";"9619";"22714";"5773";"34141";"-"
"Monsenhor Gil (PI)";"2624";"-";"117";"3944";"6084";"2113";"22425";"-"
"Monsenhor Hipólito (PI)";"5204";"-";"455";"1769";"374";"1301";"31302";"-"
"Monte Alegre do Piauí (PI)";"23821";"-";"387";"3620";"2015";"2655";"58227";"-"
"Morro Cabeça no Tempo (PI)";"6296";"-";"54";"533";"2509";"1254";"12369";"-"
"Morro do Chapéu do Piauí (PI)";"4123";"-";"212";"7447";"6734";"663";"18706";"-"
"Murici dos Portelas (PI)";"4617";"55";"254";"9153";"5397";"947";"35205";"-"
"Nazaré do Piauí (PI)";"6756";"-";"141";"3600";"6925";"5023";"14886";"-"
"Nazária (PI)";"4068";"37";"156";"5913";"3797";"1871";"92759";"-"
"Nossa Senhora de Nazaré (PI)";"3745";"-";"362";"11895";"11158";"10666";"22365";"-"
"Nossa Senhora dos Remédios (PI)";"3983";"-";"182";"9960";"4746";"1207";"28369";"-"
"Novo Oriente do Piauí (PI)";"6852";"-";"179";"1742";"4295";"8497";"16924";"-"
"Novo Santo Antônio (PI)";"4185";"-";"198";"4196";"8815";"10568";"15450";"-"
"Oeiras (PI)";"13376";"-";"509";"16378";"32504";"21165";"87020";"-"
"Olho D'Água do Piauí (PI)";"3592";"-";"50";"704";"830";"456";"9203";"-"
"Padre Marcos (PI)";"2319";"-";"177";"2191";"3137";"14245";"14240";"-"
"Paes Landim (PI)";"3588";"-";"169";"2199";"8346";"6660";"19735";"-"
"Pajeú do Piauí (PI)";"4839";"-";"189";"3361";"4129";"4329";"16850";"-"
"Palmeira do Piauí (PI)";"7213";"-";"150";"1000";"1037";"1061";"21868";"-"
"Palmeirais (PI)";"5998";"-";"126";"4204";"1170";"1000";"52804";"-"
"Paquetá (PI)";"2435";"-";"67";"1987";"1147";"1930";"11815";"-"
"Parnaguá (PI)";"40960";"-";"1182";"2356";"1831";"4209";"32441";"-"
"Parnaíba (PI)";"5858";"5";"348";"3593";"1468";"3576";"165535";"14000"
"Passagem Franca do Piauí (PI)";"4269";"-";"58";"3253";"4658";"3041";"15525";"-"
"Patos do Piauí (PI)";"4767";"-";"288";"2983";"16860";"22984";"16904";"-"
"Pau D'Arco do Piauí (PI)";"1796";"-";"111";"6502";"4989";"5476";"20332";"-"
"Paulistana (PI)";"9132";"-";"391";"5342";"27384";"66785";"26125";"-"
"Pavussu (PI)";"2264";"-";"225";"3634";"5800";"3175";"11096";"-"
"Pedro II (PI)";"6182";"-";"429";"21344";"25648";"8747";"88771";"-"
"Pedro Laurentino (PI)";"5005";"-";"272";"1715";"12105";"12287";"8881";"-"
"Nova Santa Rita (PI)";"5725";"-";"289";"2971";"18660";"19978";"15595";"-"
"Picos (PI)";"9610";"-";"255";"6144";"1146";"7225";"75442";"-"
"Pimenteiras (PI)";"13852";"-";"380";"5113";"18629";"8619";"33036";"-"
"Pio IX (PI)";"7054";"-";"446";"3663";"13302";"42275";"37166";"-"
"Piracuruca (PI)";"15783";"-";"544";"17944";"25274";"8517";"172526";"-"
"Piripiri (PI)";"12961";"82";"607";"28513";"27870";"7921";"97718";"-"
"Porto (PI)";"2913";"-";"232";"4896";"2764";"506";"16765";"-"
"Porto Alegre do Piauí (PI)";"6011";"-";"234";"1024";"2422";"1191";"8480";"-"
"Prata do Piauí (PI)";"1241";"-";"44";"893";"3985";"3107";"4292";"-"
"Queimada Nova (PI)";"5374";"-";"422";"4132";"43986";"38556";"14855";"-"
"Redenção do Gurguéia (PI)";"11767";"-";"265";"1422";"1482";"1336";"21628";"-"
"Regeneração (PI)";"5057";"-";"124";"3851";"7579";"2663";"41922";"-"
"Riacho Frio (PI)";"15271";"-";"605";"1078";"788";"1892";"18252";"-"
"Ribeira do Piauí (PI)";"6420";"-";"217";"2821";"9910";"11096";"7635";"-"
"Ribeiro Gonçalves (PI)";"9053";"-";"126";"638";"235";"587";"85295";"-"
"Rio Grande do Piauí (PI)";"5487";"-";"377";"5843";"5423";"4903";"22698";"-"
"Santa Cruz do Piauí (PI)";"5483";"-";"166";"2756";"2595";"6198";"14893";"-"
"Santa Cruz dos Milagres (PI)";"4450";"-";"238";"1014";"7918";"3993";"9288";"-"
"Santa Filomena (PI)";"14118";"-";"250";"1942";"2508";"1196";"23334";"-"
"Santa Luz (PI)";"13507";"-";"264";"425";"1506";"1979";"15651";"-"
"Santana do Piauí (PI)";"909";"-";"45";"579";"107";"203";"9337";"-"
"Santa Rosa do Piauí (PI)";"5462";"-";"198";"1517";"2206";"5299";"10519";"-"
"Santo Antônio de Lisboa (PI)";"2549";"-";"35";"1194";"936";"1067";"13405";"-"
"Santo Antônio dos Milagres (PI)";"264";"-";"21";"1351";"507";"231";"8023";"-"
"Santo Inácio do Piauí (PI)";"4692";"-";"220";"2614";"7460";"7243";"12999";"-"
"São Braz do Piauí (PI)";"1279";"-";"240";"2265";"5116";"5420";"19272";"-"
"São Félix do Piauí (PI)";"5886";"-";"98";"995";"7615";"8411";"6134";"-"
"São Francisco de Assis do Piauí (PI)";"4015";"-";"383";"2778";"24737";"19182";"10125";"-"
"São Francisco do Piauí (PI)";"5876";"-";"242";"4846";"13310";"7712";"26312";"-"
"São Gonçalo do Gurguéia (PI)";"6036";"-";"174";"1165";"202";"874";"10659";"-"
"São Gonçalo do Piauí (PI)";"2441";"-";"40";"1832";"954";"407";"13754";"-"
"São João da Canabrava (PI)";"1150";"-";"45";"2098";"2041";"1625";"6989";"-"
"São João da Fronteira (PI)";"3295";"-";"125";"3248";"7257";"3481";"7161";"-"
"São João da Serra (PI)";"8330";"-";"409";"2415";"18655";"14176";"16232";"-"
"São João da Varjota (PI)";"1445";"-";"61";"2361";"1039";"712";"9708";"-"
"São João do Arraial (PI)";"2211";"-";"59";"6239";"3634";"183";"21312";"-"
"São João do Piauí (PI)";"6329";"-";"503";"5835";"20275";"19058";"24553";"-"
"São José do Divino (PI)";"9920";"-";"209";"3001";"9732";"6123";"13473";"-"
"São José do Peixe (PI)";"5876";"-";"312";"1183";"3810";"7551";"6145";"-"
"São José do Piauí (PI)";"3182";"-";"214";"2987";"380";"267";"26627";"-"
"São Julião (PI)";"2709";"-";"112";"1379";"5054";"10113";"8726";"-"
"São Lourenço do Piauí (PI)";"1813";"-";"108";"7534";"31362";"21884";"18687";"-"
"São Luis do Piauí (PI)";"1455";"-";"59";"3673";"5573";"2537";"9331";"-"
"São Miguel da Baixa Grande (PI)";"2421";"-";"44";"1234";"3053";"3367";"4219";"-"
"São Miguel do Fidalgo (PI)";"3314";"-";"187";"1651";"2933";"3456";"8606";"-"
"São Miguel do Tapuio (PI)";"15202";"-";"314";"8084";"40789";"25106";"47505";"-"
"São Pedro do Piauí (PI)";"6339";"-";"130";"3181";"1114";"542";"111258";"-"
"São Raimundo Nonato (PI)";"4527";"-";"389";"10403";"50701";"24342";"57863";"-"
"Sebastião Barros (PI)";"17041";"-";"604";"1299";"1646";"3723";"23786";"-"
"Sebastião Leal (PI)";"7910";"-";"96";"798";"237";"952";"17443";"-"
"Sigefredo Pacheco (PI)";"6875";"-";"399";"10862";"26955";"12971";"37469";"-"
"Simões (PI)";"7473";"-";"601";"2781";"10780";"36314";"33194";"-"
"Simplício Mendes (PI)";"9805";"-";"536";"3715";"14075";"22225";"39591";"-"
"Socorro do Piauí (PI)";"3632";"-";"147";"2030";"11295";"4279";"7569";"-"
"Sussuapara (PI)";"2027";"-";"51";"1722";"1105";"1098";"17867";"-"
"Tamboril do Piauí (PI)";"2442";"-";"170";"3429";"10355";"3529";"14221";"-"
"Tanque do Piauí (PI)";"1265";"-";"42";"1171";"2102";"591";"11491";"-"
"Teresina (PI)";"10016";"16";"442";"14161";"5567";"5814";"2932369";"215"
"União (PI)";"9720";"-";"823";"30781";"14537";"9312";"142716";"-"
"Uruçuí (PI)";"19891";"-";"216";"4032";"1251";"1530";"314050";"-"
"Valença do Piauí (PI)";"6380";"-";"198";"4025";"4778";"6901";"440759";"-"
"Várzea Branca (PI)";"2399";"-";"370";"3287";"17587";"6954";"17602";"-"
"Várzea Grande (PI)";"1621";"-";"46";"1589";"2341";"1615";"18264";"-"
"Vera Mendes (PI)";"2148";"-";"163";"2658";"14968";"11342";"12557";"-"
"Vila Nova do Piauí (PI)";"3261";"-";"140";"871";"1531";"6581";"8950";"-"
"Wall Ferraz (PI)";"3505";"-";"150";"4736";"4077";"7847";"19088";"-"
