"Município";"Leite";"Ovos de galinha";"Ovos de codorna";"Mel de abelha";"Casulos do bicho-da-seda";"Lã"
"Monsenhor Gil (PI)";"515";"202";"-";"19";"-";"-"
"Monsenhor Hipólito (PI)";"520";"353";"-";"1042";"-";"-"
"Monte Alegre do Piauí (PI)";"487";"464";"-";"-";"-";"-"
"Morro Cabeça no Tempo (PI)";"451";"226";"-";"22";"-";"-"
"Morro do Chapéu do Piauí (PI)";"223";"169";"-";"22";"-";"-"
"Murici dos Portelas (PI)";"580";"281";"-";"-";"-";"-"
"Nazaré do Piauí (PI)";"420";"147";"-";"-";"-";"-"
"Nazária (PI)";"954";"300";"-";"-";"-";"-"
"Nossa Senhora de Nazaré (PI)";"134";"247";"-";"-";"-";"-"
"Nossa Senhora dos Remédios (PI)";"65";"265";"-";"-";"-";"-"
"Novo Oriente do Piauí (PI)";"464";"148";"-";"16";"-";"-"
"Novo Santo Antônio (PI)";"478";"130";"-";"-";"-";"-"
"Oeiras (PI)";"1539";"977";"-";"434";"-";"-"
"Olho D'Água do Piauí (PI)";"489";"62";"-";"-";"-";"-"
"Padre Marcos (PI)";"475";"118";"-";"474";"-";"-"
"Paes Landim (PI)";"467";"165";"-";"2036";"-";"-"
"Pajeú do Piauí (PI)";"581";"216";"-";"175";"-";"-"
"Palmeira do Piauí (PI)";"676";"251";"-";"-";"-";"-"
"Palmeirais (PI)";"368";"476";"-";"-";"-";"-"
"Paquetá (PI)";"347";"142";"-";"101";"-";"-"
"Parnaguá (PI)";"2862";"362";"-";"1";"-";"-"
"Parnaíba (PI)";"8512";"12570";"162";"15";"-";"-"
"Passagem Franca do Piauí (PI)";"801";"125";"-";"-";"-";"-"
"Patos do Piauí (PI)";"469";"174";"-";"2068";"-";"-"
"Pau D'Arco do Piauí (PI)";"137";"169";"-";"-";"-";"-"
"Paulistana (PI)";"1113";"248";"-";"1614";"-";"-"
"Pavussu (PI)";"96";"126";"-";"1086";"-";"-"
"Pedro II (PI)";"1023";"947";"-";"213";"-";"-"
"Pedro Laurentino (PI)";"559";"78";"-";"677";"-";"-"
"Nova Santa Rita (PI)";"994";"132";"-";"348";"-";"-"
"Picos (PI)";"1991";"814";"-";"8511";"-";"-"
"Pimenteiras (PI)";"2755";"436";"-";"3491";"-";"-"
"Pio IX (PI)";"917";"446";"-";"1667";"-";"-"
"Piracuruca (PI)";"3862";"1622";"-";"3007";"-";"-"
"Piripiri (PI)";"2199";"1395";"-";"32";"-";"-"
"Porto (PI)";"369";"149";"-";"-";"-";"-"
"Porto Alegre do Piauí (PI)";"143";"57";"-";"-";"-";"-"
"Prata do Piauí (PI)";"290";"31";"-";"-";"-";"-"
"Queimada Nova (PI)";"1257";"159";"-";"1086";"-";"-"
"Redenção do Gurguéia (PI)";"826";"246";"-";"-";"-";"-"
"Regeneração (PI)";"93";"524";"-";"21";"-";"-"
"Riacho Frio (PI)";"539";"189";"-";"-";"-";"-"
"Ribeira do Piauí (PI)";"326";"67";"-";"103";"-";"-"
"Ribeiro Gonçalves (PI)";"426";"742";"-";"-";"-";"-"
"Rio Grande do Piauí (PI)";"379";"247";"-";"703";"-";"-"
"Santa Cruz do Piauí (PI)";"522";"148";"-";"212";"-";"-"
"Santa Cruz dos Milagres (PI)";"237";"82";"-";"-";"-";"-"
"Santa Filomena (PI)";"626";"127";"-";"-";"-";"-"
"Santa Luz (PI)";"1014";"190";"-";"-";"-";"-"
"Santana do Piauí (PI)";"84";"101";"-";"676";"-";"-"
"Santa Rosa do Piauí (PI)";"794";"111";"-";"-";"-";"-"
"Santo Antônio de Lisboa (PI)";"176";"149";"-";"211";"-";"-"
"Santo Antônio dos Milagres (PI)";"43";"64";"-";"-";"-";"-"
"Santo Inácio do Piauí (PI)";"539";"132";"-";"2425";"-";"-"
"São Braz do Piauí (PI)";"297";"274";"-";"1935";"-";"-"
"São Félix do Piauí (PI)";"879";"61";"-";"-";"-";"-"
"São Francisco de Assis do Piauí (PI)";"550";"90";"-";"1680";"-";"-"
"São Francisco do Piauí (PI)";"444";"237";"-";"-";"-";"-"
"São Gonçalo do Gurguéia (PI)";"762";"138";"-";"1";"-";"-"
"São Gonçalo do Piauí (PI)";"361";"117";"-";"-";"-";"-"
"São João da Canabrava (PI)";"196";"61";"-";"188";"-";"-"
"São João da Fronteira (PI)";"326";"91";"-";"574";"-";"-"
"São João da Serra (PI)";"791";"147";"-";"-";"-";"-"
"São João da Varjota (PI)";"215";"101";"-";"-";"-";"-"
"São João do Arraial (PI)";"113";"210";"-";"-";"-";"-"
"São João do Piauí (PI)";"1287";"448";"-";"847";"-";"-"
"São José do Divino (PI)";"10927";"375";"-";"27";"-";"-"
"São José do Peixe (PI)";"87";"81";"-";"468";"-";"-"
"São José do Piauí (PI)";"379";"293";"-";"972";"-";"-"
"São Julião (PI)";"801";"99";"-";"58";"-";"-"
"São Lourenço do Piauí (PI)";"263";"230";"-";"1866";"-";"-"
"São Luis do Piauí (PI)";"134";"100";"-";"193";"-";"-"
"São Miguel da Baixa Grande (PI)";"331";"34";"-";"-";"-";"-"
"São Miguel do Fidalgo (PI)";"150";"99";"-";"446";"-";"-"
"São Miguel do Tapuio (PI)";"1798";"395";"-";"266";"-";"-"
"São Pedro do Piauí (PI)";"1175";"282";"-";"4";"-";"-"
"São Raimundo Nonato (PI)";"856";"863";"-";"11198";"-";"-"
"Sebastião Barros (PI)";"350";"273";"-";"-";"-";"-"
"Sebastião Leal (PI)";"164";"119";"-";"-";"-";"-"
"Sigefredo Pacheco (PI)";"675";"348";"-";"42";"-";"-"
"Simões (PI)";"962";"358";"-";"4530";"-";"-"
"Simplício Mendes (PI)";"1745";"284";"-";"3719";"-";"-"
"Socorro do Piauí (PI)";"280";"66";"-";"853";"-";"-"
"Sussuapara (PI)";"1062";"235";"-";"80";"-";"-"
"Tamboril do Piauí (PI)";"250";"167";"-";"-";"-";"-"
"Tanque do Piauí (PI)";"158";"122";"-";"-";"-";"-"
"Teresina (PI)";"4460";"14567";"12";"-";"-";"-"
"União (PI)";"1106";"1455";"-";"-";"-";"-"
"Uruçuí (PI)";"1098";"27184";"-";"-";"-";"-"
"Valença do Piauí (PI)";"1486";"39415";"-";"307";"-";"-"
"Várzea Branca (PI)";"565";"257";"-";"2463";"-";"-"
"Várzea Grande (PI)";"88";"142";"-";"-";"-";"-"
"Vera Mendes (PI)";"298";"130";"-";"1100";"-";"-"
"Vila Nova do Piauí (PI)";"309";"104";"-";"114";"-";"-"
"Wall Ferraz (PI)";"474";"203";"-";"507";"-";"-"
