"Município";"Leite";"Ovos de galinha";"Ovos de codorna";"Mel de abelha";"Casulos do bicho-da-seda";"Lã"
"Brasil";"79919856";"25947202";"449116";"982362";"47715";"83306"
"Nordeste";"11784606";"5875393";"128641";"366645";"-";"-"
"Piauí";"176485";"174943";"174";"121715";"-";"-"
"Acauã (PI)";"2120";"491";"-";"990";"-";"-"
"Agricolândia (PI)";"183";"82";"-";"3";"-";"-"
"Água Branca (PI)";"596";"285";"-";"-";"-";"-"
"Alagoinha do Piauí (PI)";"375";"279";"-";"1471";"-";"-"
"Alegrete do Piauí (PI)";"590";"70";"-";"41";"-";"-"
"Alto Longá (PI)";"671";"660";"-";"-";"-";"-"
"Altos (PI)";"533";"1040";"-";"-";"-";"-"
"Alvorada do Gurguéia (PI)";"287";"65";"-";"-";"-";"-"
"Amarante (PI)";"313";"247";"-";"-";"-";"-"
"Angical do Piauí (PI)";"207";"259";"-";"-";"-";"-"
"Anísio de Abreu (PI)";"538";"276";"-";"4791";"-";"-"
"Antônio Almeida (PI)";"123";"70";"-";"-";"-";"-"
"Aroazes (PI)";"1056";"116";"-";"-";"-";"-"
"Aroeiras do Itaim (PI)";"279";"332";"-";"235";"-";"-"
"Arraial (PI)";"112";"140";"-";"-";"-";"-"
"Assunção do Piauí (PI)";"748";"147";"-";"60";"-";"-"
"Avelino Lopes (PI)";"1091";"369";"-";"56";"-";"-"
"Baixa Grande do Ribeiro (PI)";"537";"455";"-";"-";"-";"-"
"Barra D'Alcântara (PI)";"193";"147";"-";"-";"-";"-"
"Barras (PI)";"2252";"886";"-";"-";"-";"-"
"Barreiras do Piauí (PI)";"884";"100";"-";"35";"-";"-"
"Barro Duro (PI)";"213";"113";"-";"2";"-";"-"
"Batalha (PI)";"1354";"1673";"-";"289";"-";"-"
"Bela Vista do Piauí (PI)";"1250";"207";"-";"1059";"-";"-"
"Belém do Piauí (PI)";"332";"114";"-";"1282";"-";"-"
"Beneditinos (PI)";"80";"227";"-";"-";"-";"-"
"Bertolínia (PI)";"928";"179";"-";"-";"-";"-"
"Betânia do Piauí (PI)";"1146";"255";"-";"39";"-";"-"
"Boa Hora (PI)";"40";"135";"-";"-";"-";"-"
"Bocaina (PI)";"539";"131";"-";"80";"-";"-"
"Bom Jesus (PI)";"1824";"450";"-";"-";"-";"-"
"Bom Princípio do Piauí (PI)";"730";"97";"-";"10";"-";"-"
"Bonfim do Piauí (PI)";"193";"297";"-";"2918";"-";"-"
"Boqueirão do Piauí (PI)";"75";"123";"-";"-";"-";"-"
"Brasileira (PI)";"374";"597";"-";"320";"-";"-"
"Brejo do Piauí (PI)";"1009";"176";"-";"108";"-";"-"
"Buriti dos Lopes (PI)";"1514";"260";"-";"5";"-";"-"
"Buriti dos Montes (PI)";"1933";"213";"-";"-";"-";"-"
"Cabeceiras do Piauí (PI)";"168";"361";"-";"-";"-";"-"
"Cajazeiras do Piauí (PI)";"306";"129";"-";"75";"-";"-"
"Cajueiro da Praia (PI)";"223";"120";"-";"-";"-";"-"
"Caldeirão Grande do Piauí (PI)";"441";"177";"-";"35";"-";"-"
"Campinas do Piauí (PI)";"1887";"161";"-";"392";"-";"-"
"Campo Alegre do Fidalgo (PI)";"226";"94";"-";"301";"-";"-"
"Campo Grande do Piauí (PI)";"318";"239";"-";"2735";"-";"-"
"Campo Largo do Piauí (PI)";"156";"268";"-";"-";"-";"-"
"Campo Maior (PI)";"2329";"960";"-";"1026";"-";"-"
"Canavieira (PI)";"453";"164";"-";"-";"-";"-"
"Canto do Buriti (PI)";"2044";"575";"-";"864";"-";"-"
"Capitão de Campos (PI)";"325";"436";"-";"-";"-";"-"
"Capitão Gervásio Oliveira (PI)";"738";"84";"-";"111";"-";"-"
"Caracol (PI)";"915";"413";"-";"898";"-";"-"
"Caraúbas do Piauí (PI)";"2801";"196";"-";"-";"-";"-"
"Caridade do Piauí (PI)";"597";"156";"-";"86";"-";"-"
"Castelo do Piauí (PI)";"1210";"446";"-";"-";"-";"-"
"Caxingó (PI)";"168";"72";"-";"-";"-";"-"
"Cocal (PI)";"1064";"857";"-";"1361";"-";"-"
"Cocal de Telha (PI)";"280";"161";"-";"-";"-";"-"
"Cocal dos Alves (PI)";"126";"270";"-";"-";"-";"-"
"Coivaras (PI)";"200";"119";"-";"-";"-";"-"
"Colônia do Gurguéia (PI)";"281";"106";"-";"135";"-";"-"
"Colônia do Piauí (PI)";"1127";"289";"-";"23";"-";"-"
"Conceição do Canindé (PI)";"545";"96";"-";"4120";"-";"-"
"Coronel José Dias (PI)";"370";"225";"-";"1362";"-";"-"
"Corrente (PI)";"2317";"999";"-";"5";"-";"-"
"Cristalândia do Piauí (PI)";"404";"370";"-";"-";"-";"-"
"Cristino Castro (PI)";"324";"184";"-";"24";"-";"-"
"Curimatá (PI)";"1848";"370";"-";"9";"-";"-"
"Currais (PI)";"138";"227";"-";"-";"-";"-"
"Curralinhos (PI)";"223";"178";"-";"9";"-";"-"
"Curral Novo do Piauí (PI)";"305";"115";"-";"14";"-";"-"
"Demerval Lobão (PI)";"156";"176";"-";"-";"-";"-"
"Dirceu Arcoverde (PI)";"726";"336";"-";"881";"-";"-"
"Dom Expedito Lopes (PI)";"347";"125";"-";"24";"-";"-"
"Domingos Mourão (PI)";"273";"198";"-";"355";"-";"-"
"Dom Inocêncio (PI)";"1030";"323";"-";"1384";"-";"-"
"Elesbão Veloso (PI)";"3069";"356";"-";"-";"-";"-"
"Eliseu Martins (PI)";"161";"2184";"-";"28";"-";"-"
"Esperantina (PI)";"1498";"894";"-";"241";"-";"-"
"Fartura do Piauí (PI)";"616";"260";"-";"1044";"-";"-"
"Flores do Piauí (PI)";"393";"139";"-";"63";"-";"-"
"Floresta do Piauí (PI)";"289";"102";"-";"455";"-";"-"
"Floriano (PI)";"2590";"16090";"-";"48";"-";"-"
"Francinópolis (PI)";"434";"386";"-";"-";"-";"-"
"Francisco Ayres (PI)";"72";"132";"-";"-";"-";"-"
"Francisco Macedo (PI)";"313";"74";"-";"172";"-";"-"
"Francisco Santos (PI)";"776";"344";"-";"227";"-";"-"
"Fronteiras (PI)";"592";"323";"-";"96";"-";"-"
"Geminiano (PI)";"608";"422";"-";"1403";"-";"-"
"Gilbués (PI)";"1074";"269";"-";"-";"-";"-"
"Guadalupe (PI)";"366";"69";"-";"-";"-";"-"
"Guaribas (PI)";"252";"210";"-";"109";"-";"-"
"Hugo Napoleão (PI)";"357";"338";"-";"-";"-";"-"
"Ilha Grande (PI)";"775";"59";"-";"-";"-";"-"
"Inhuma (PI)";"1456";"720";"-";"68";"-";"-"
"Ipiranga do Piauí (PI)";"581";"227";"-";"87";"-";"-"
"Isaías Coelho (PI)";"908";"351";"-";"1215";"-";"-"
"Itainópolis (PI)";"968";"585";"-";"6320";"-";"-"
"Itaueira (PI)";"925";"570";"-";"96";"-";"-"
"Jacobina do Piauí (PI)";"1275";"118";"-";"3490";"-";"-"
"Jaicós (PI)";"359";"590";"-";"4157";"-";"-"
"Jardim do Mulato (PI)";"138";"148";"-";"-";"-";"-"
"Jatobá do Piauí (PI)";"479";"234";"-";"7";"-";"-"
"Jerumenha (PI)";"91";"36";"-";"-";"-";"-"
"João Costa (PI)";"154";"117";"-";"685";"-";"-"
"Joaquim Pires (PI)";"969";"394";"-";"9";"-";"-"
"Joca Marques (PI)";"395";"246";"-";"1";"-";"-"
"José de Freitas (PI)";"1418";"965";"-";"-";"-";"-"
"Juazeiro do Piauí (PI)";"539";"210";"-";"33";"-";"-"
"Júlio Borges (PI)";"724";"212";"-";"5";"-";"-"
"Jurema (PI)";"498";"306";"-";"1242";"-";"-"
"Lagoinha do Piauí (PI)";"289";"99";"-";"7";"-";"-"
"Lagoa Alegre (PI)";"89";"155";"-";"-";"-";"-"
"Lagoa do Barro do Piauí (PI)";"345";"70";"-";"956";"-";"-"
"Lagoa de São Francisco (PI)";"136";"219";"-";"167";"-";"-"
"Lagoa do Piauí (PI)";"155";"100";"-";"-";"-";"-"
"Lagoa do Sítio (PI)";"697";"230";"-";"58";"-";"-"
"Landri Sales (PI)";"78";"305";"-";"-";"-";"-"
"Luís Correia (PI)";"4164";"646";"-";"25";"-";"-"
"Luzilândia (PI)";"1048";"707";"-";"1";"-";"-"
"Madeiro (PI)";"334";"167";"-";"2";"-";"-"
"Manoel Emídio (PI)";"579";"191";"-";"14";"-";"-"
"Marcolândia (PI)";"276";"74";"-";"1257";"-";"-"
"Marcos Parente (PI)";"142";"71";"-";"-";"-";"-"
"Massapê do Piauí (PI)";"330";"185";"-";"783";"-";"-"
"Matias Olímpio (PI)";"44";"175";"-";"-";"-";"-"
"Miguel Alves (PI)";"702";"797";"-";"-";"-";"-"
"Miguel Leão (PI)";"54";"23";"-";"-";"-";"-"
"Milton Brandão (PI)";"444";"755";"-";"173";"-";"-"
