"Município";"Bovino";"Bubalino";"Equino";"Suíno - total";"Caprino";"Ovino";"Galináceos - total";"Codornas"
"Campinas do Piauí (PI)";"7236";"-";"315";"4142";"12403";"26595";"18211";"-"
"Campo Alegre do Fidalgo (PI)";"2478";"-";"297";"2793";"20477";"7660";"10632";"-"
"Campo Grande do Piauí (PI)";"2051";"-";"173";"1525";"1269";"2394";"18480";"-"
"Campo Largo do Piauí (PI)";"4124";"125";"218";"8513";"4237";"865";"27989";"-"
"Campo Maior (PI)";"21826";"18";"1880";"22090";"31828";"29922";"128054";"-"
"Canavieira (PI)";"9740";"-";"404";"1400";"2722";"4699";"13240";"-"
"Canto do Buriti (PI)";"9148";"-";"501";"7773";"2109";"11020";"48958";"-"
"Capitão de Campos (PI)";"4245";"-";"184";"8233";"7482";"2237";"20076";"-"
"Capitão Gervásio Oliveira (PI)";"5276";"-";"320";"2602";"28888";"12850";"9556";"-"
"Caracol (PI)";"4309";"-";"651";"1991";"4239";"4940";"27649";"-"
"Caraúbas do Piauí (PI)";"8533";"-";"211";"5828";"4650";"2392";"25220";"-"
"Caridade do Piauí (PI)";"4335";"-";"135";"1321";"6315";"29150";"11935";"-"
"Castelo do Piauí (PI)";"10834";"-";"308";"9296";"34458";"15492";"42384";"-"
"Caxingó (PI)";"4033";"-";"209";"2724";"3251";"1196";"8775";"-"
"Cocal (PI)";"6931";"-";"185";"21910";"21612";"5732";"100230";"-"
"Cocal de Telha (PI)";"2632";"-";"31";"4415";"4818";"1061";"15714";"-"
"Cocal dos Alves (PI)";"2051";"-";"108";"8098";"6849";"1251";"32832";"-"
"Coivaras (PI)";"2794";"-";"216";"3867";"5142";"3842";"16174";"-"
"Colônia do Gurguéia (PI)";"5958";"-";"125";"770";"517";"1899";"6667";"-"
"Colônia do Piauí (PI)";"7585";"-";"261";"5253";"7591";"8097";"25229";"-"
"Conceição do Canindé (PI)";"3723";"-";"110";"1190";"9281";"11604";"8225";"-"
"Coronel José Dias (PI)";"2683";"-";"302";"3802";"29782";"16502";"14406";"-"
"Corrente (PI)";"28599";"-";"1403";"5285";"2249";"6215";"65781";"-"
"Cristalândia do Piauí (PI)";"19922";"-";"828";"1863";"2577";"3559";"29169";"-"
"Cristino Castro (PI)";"5215";"-";"150";"803";"203";"957";"15362";"-"
"Curimatá (PI)";"19963";"-";"765";"2601";"5900";"14389";"33226";"-"
"Currais (PI)";"14091";"-";"120";"1316";"103";"347";"21911";"-"
"Curralinhos (PI)";"3501";"-";"52";"2373";"2473";"920";"13531";"-"
"Curral Novo do Piauí (PI)";"2880";"-";"215";"1218";"6220";"17471";"9549";"-"
"Demerval Lobão (PI)";"1702";"-";"121";"4158";"2667";"1668";"31266";"-"
"Dirceu Arcoverde (PI)";"3559";"-";"338";"9584";"44030";"35851";"24035";"-"
"Dom Expedito Lopes (PI)";"1200";"-";"31";"963";"208";"760";"11292";"-"
"Domingos Mourão (PI)";"3206";"-";"194";"8778";"10585";"4214";"15567";"-"
"Dom Inocêncio (PI)";"7210";"-";"760";"8030";"88772";"57807";"21859";"-"
"Elesbão Veloso (PI)";"16128";"-";"551";"3545";"10704";"21970";"31208";"-"
"Eliseu Martins (PI)";"6107";"-";"116";"1717";"1648";"876";"32481";"-"
"Esperantina (PI)";"9011";"10";"360";"23353";"23396";"4091";"110894";"-"
"Fartura do Piauí (PI)";"3227";"-";"307";"3882";"26418";"12521";"18327";"-"
"Flores do Piauí (PI)";"4628";"-";"175";"4080";"5855";"1908";"16501";"-"
"Floresta do Piauí (PI)";"2541";"-";"181";"1641";"1393";"5156";"9710";"-"
"Floriano (PI)";"10746";"-";"907";"6910";"18562";"9394";"208668";"-"
"Francinópolis (PI)";"3014";"-";"80";"1268";"2590";"1643";"24182";"-"
"Francisco Ayres (PI)";"3727";"-";"155";"1404";"1735";"2880";"11986";"-"
"Francisco Macedo (PI)";"1555";"-";"30";"864";"1347";"4080";"8185";"-"
"Francisco Santos (PI)";"3407";"-";"125";"1368";"934";"2045";"29776";"-"
"Fronteiras (PI)";"5905";"-";"83";"1210";"8950";"24884";"24514";"-"
"Geminiano (PI)";"3610";"-";"145";"1818";"859";"3561";"25838";"-"
"Gilbués (PI)";"10589";"-";"534";"2105";"1521";"1766";"23891";"-"
"Guadalupe (PI)";"5249";"-";"146";"1140";"3975";"1725";"6835";"-"
"Guaribas (PI)";"2088";"-";"63";"1936";"1766";"263";"15844";"-"
"Hugo Napoleão (PI)";"2055";"-";"17";"1580";"1367";"1150";"40951";"-"
"Ilha Grande (PI)";"1655";"-";"116";"537";"212";"820";"5557";"-"
"Inhuma (PI)";"7429";"-";"272";"5446";"3116";"3571";"46934";"-"
"Ipiranga do Piauí (PI)";"2861";"-";"81";"2060";"2381";"1633";"25648";"-"
"Isaías Coelho (PI)";"8232";"-";"358";"5263";"21098";"21768";"23794";"-"
"Itainópolis (PI)";"7080";"-";"435";"6534";"15821";"22694";"52927";"-"
"Itaueira (PI)";"13840";"-";"620";"8548";"10103";"14303";"45557";"-"
"Jacobina do Piauí (PI)";"10920";"-";"240";"983";"14391";"69511";"13198";"-"
"Jaicós (PI)";"4048";"-";"305";"4248";"12850";"14595";"54955";"-"
"Jardim do Mulato (PI)";"3235";"-";"27";"1383";"2975";"324";"19758";"-"
"Jatobá do Piauí (PI)";"7284";"-";"372";"5725";"20828";"14686";"25426";"-"
"Jerumenha (PI)";"6721";"-";"532";"1124";"3145";"3742";"3933";"-"
"João Costa (PI)";"3620";"-";"249";"3585";"16558";"15191";"12199";"-"
"Joaquim Pires (PI)";"11072";"29";"396";"12885";"13331";"2373";"42366";"-"
"Joca Marques (PI)";"4602";"-";"76";"5690";"2469";"655";"25209";"-"
"José de Freitas (PI)";"14001";"89";"1842";"27062";"24821";"20141";"182521";"-"
"Juazeiro do Piauí (PI)";"4173";"-";"136";"6041";"18876";"4529";"18996";"-"
"Júlio Borges (PI)";"11820";"-";"296";"2826";"13796";"3351";"19452";"-"
"Jurema (PI)";"2573";"-";"498";"1388";"4204";"8971";"20123";"-"
"Lagoinha do Piauí (PI)";"1470";"-";"23";"673";"739";"393";"7877";"-"
"Lagoa Alegre (PI)";"1800";"-";"242";"9656";"5814";"3037";"15769";"-"
"Lagoa do Barro do Piauí (PI)";"3541";"-";"385";"2620";"26002";"20265";"7973";"-"
"Lagoa de São Francisco (PI)";"1255";"-";"95";"9040";"8642";"1438";"24458";"-"
"Lagoa do Piauí (PI)";"2971";"-";"135";"4365";"5797";"2166";"176331";"-"
"Lagoa do Sítio (PI)";"3611";"-";"123";"3191";"4688";"4681";"16995";"-"
"Landri Sales (PI)";"7718";"4";"294";"2492";"4129";"2064";"25062";"-"
"Luís Correia (PI)";"8728";"-";"443";"13079";"11259";"8149";"77467";"-"
"Luzilândia (PI)";"7866";"-";"354";"18748";"10194";"1192";"64969";"-"
"Madeiro (PI)";"4149";"-";"165";"3901";"1628";"293";"18092";"-"
"Manoel Emídio (PI)";"7531";"-";"56";"1821";"302";"1122";"19276";"-"
"Marcolândia (PI)";"715";"-";"43";"848";"232";"1979";"8850";"-"
"Marcos Parente (PI)";"5525";"-";"158";"1786";"3816";"2254";"11455";"-"
"Massapê do Piauí (PI)";"2770";"-";"196";"1885";"8570";"19300";"18900";"-"
"Matias Olímpio (PI)";"2220";"50";"50";"5703";"3092";"430";"19252";"-"
"Miguel Alves (PI)";"7207";"12";"523";"23201";"8998";"2597";"75294";"-"
"Miguel Leão (PI)";"210";"-";"40";"392";"460";"307";"4480";"-"
"Milton Brandão (PI)";"3810";"-";"151";"9545";"22230";"5652";"33325";"-"
"Monsenhor Gil (PI)";"2661";"-";"121";"3913";"5954";"2069";"21899";"-"
"Monsenhor Hipólito (PI)";"5278";"-";"472";"1755";"366";"1274";"26649";"-"
"Monte Alegre do Piauí (PI)";"23492";"-";"391";"3592";"1972";"2599";"56835";"-"
"Morro Cabeça no Tempo (PI)";"6386";"-";"56";"529";"2456";"1228";"12073";"-"
"Morro do Chapéu do Piauí (PI)";"4165";"-";"214";"7410";"6667";"656";"18521";"-"
"Murici dos Portelas (PI)";"4683";"56";"263";"9082";"5282";"927";"34364";"-"
"Nazaré do Piauí (PI)";"6828";"-";"143";"3577";"6827";"4915";"14554";"-"
"Nazária (PI)";"4126";"39";"161";"5867";"3707";"1832";"90541";"-"
"Nossa Senhora de Nazaré (PI)";"3788";"-";"373";"11802";"10851";"10363";"21811";"-"
"Nossa Senhora dos Remédios (PI)";"4033";"-";"186";"9910";"4699";"1195";"27701";"-"
"Novo Oriente do Piauí (PI)";"6950";"-";"186";"1729";"4203";"8318";"16519";"-"
"Novo Santo Antônio (PI)";"4234";"-";"202";"4154";"8607";"10316";"15061";"-"
"Oeiras (PI)";"13566";"-";"528";"16249";"31811";"20720";"84939";"-"
"Olho D'Água do Piauí (PI)";"3643";"-";"51";"699";"812";"446";"8993";"-"
"Padre Marcos (PI)";"2352";"-";"183";"2174";"3070";"13945";"13900";"-"
"Paes Landim (PI)";"3635";"-";"174";"2175";"8148";"6500";"19273";"-"
"Pajeú do Piauí (PI)";"4903";"-";"194";"3331";"4034";"4230";"16496";"-"
"Palmeira do Piauí (PI)";"7254";"-";"155";"992";"1015";"1039";"21345";"-"
"Palmeirais (PI)";"6083";"-";"131";"4172";"1145";"979";"51541";"-"
"Paquetá (PI)";"2470";"-";"70";"1972";"1123";"1889";"11532";"-"
"Parnaguá (PI)";"40395";"-";"1226";"2338";"1793";"4121";"31665";"-"
"Parnaíba (PI)";"5942";"5";"361";"3566";"1437";"3501";"161475";"8342"
"Passagem Franca do Piauí (PI)";"4311";"-";"59";"3227";"4558";"2978";"15149";"-"
"Patos do Piauí (PI)";"4835";"-";"298";"2960";"16500";"22500";"16500";"-"
"Pau D'Arco do Piauí (PI)";"1821";"-";"115";"6452";"4883";"5361";"19847";"-"
"Paulistana (PI)";"9262";"-";"405";"5300";"26800";"65380";"25500";"-"
"Pavussu (PI)";"2290";"-";"228";"3662";"5742";"3144";"10911";"-"
"Pedro II (PI)";"6097";"-";"425";"21179";"25101";"8563";"86590";"-"
"Pedro Laurentino (PI)";"5072";"-";"280";"1699";"11840";"12009";"8665";"-"
"Nova Santa Rita (PI)";"5801";"-";"297";"2946";"18242";"19528";"15218";"-"
"Picos (PI)";"9746";"-";"265";"6096";"1122";"7073";"73638";"-"
"Pimenteiras (PI)";"14049";"-";"388";"5074";"18232";"8438";"32246";"-"
"Pio IX (PI)";"7154";"-";"463";"3635";"13018";"41385";"36277";"-"
"Piracuruca (PI)";"14645";"-";"535";"17805";"24735";"8338";"168401";"-"
"Piripiri (PI)";"12344";"93";"625";"28292";"27275";"7754";"95381";"-"
"Porto (PI)";"2942";"-";"234";"4872";"2727";"499";"16401";"-"
"Porto Alegre do Piauí (PI)";"6069";"-";"241";"1017";"2387";"1174";"8298";"-"
"Prata do Piauí (PI)";"1256";"-";"45";"886";"3898";"3041";"4187";"-"
"Queimada Nova (PI)";"5450";"-";"438";"4100";"43048";"37745";"14500";"-"
"Redenção do Gurguéia (PI)";"11934";"-";"275";"1411";"1450";"1308";"21111";"-"
"Regeneração (PI)";"5119";"-";"128";"3818";"7417";"2607";"40918";"-"
"Riacho Frio (PI)";"15059";"-";"628";"1070";"771";"1852";"17816";"-"
"Ribeira do Piauí (PI)";"6508";"-";"225";"2795";"9692";"10843";"7462";"-"
"Ribeiro Gonçalves (PI)";"9164";"-";"130";"635";"230";"576";"83255";"-"
"Rio Grande do Piauí (PI)";"5494";"-";"385";"5805";"5324";"4803";"22216";"-"
"Santa Cruz do Piauí (PI)";"5561";"-";"172";"2735";"2540";"6068";"14537";"-"
"Santa Cruz dos Milagres (PI)";"18987";"-";"245";"1000";"7739";"3902";"9076";"-"
"Santa Filomena (PI)";"14319";"-";"260";"1927";"2455";"1171";"22776";"-"
"Santa Luz (PI)";"13568";"-";"274";"418";"1474";"1937";"15277";"-"
"Santana do Piauí (PI)";"920";"-";"46";"575";"104";"198";"9114";"-"
"Santa Rosa do Piauí (PI)";"5398";"-";"205";"1505";"2159";"5188";"10268";"-"
"Santo Antônio de Lisboa (PI)";"2581";"-";"36";"1185";"916";"1045";"13084";"-"
"Santo Antônio dos Milagres (PI)";"268";"-";"20";"1341";"496";"226";"7831";"-"
"Santo Inácio do Piauí (PI)";"4759";"-";"228";"2594";"7301";"7091";"12688";"-"
"São Braz do Piauí (PI)";"1297";"-";"249";"2247";"5007";"5237";"18620";"-"
"São Félix do Piauí (PI)";"5965";"-";"102";"984";"7449";"8231";"5987";"-"
"São Francisco de Assis do Piauí (PI)";"4064";"-";"398";"2755";"24190";"18768";"9890";"-"
"São Francisco do Piauí (PI)";"5931";"-";"246";"4801";"13081";"7555";"25743";"-"
"São Gonçalo do Gurguéia (PI)";"5953";"-";"181";"1156";"198";"856";"10404";"-"
"São Gonçalo do Piauí (PI)";"2477";"-";"41";"1815";"930";"397";"13435";"-"
"São João da Canabrava (PI)";"1166";"-";"44";"2082";"1997";"1591";"6822";"-"
"São João da Fronteira (PI)";"3218";"-";"122";"3223";"7102";"3408";"6990";"-"
"São João da Serra (PI)";"8428";"-";"420";"2399";"18228";"13848";"15854";"-"
"São João da Varjota (PI)";"1466";"-";"63";"2343";"1017";"697";"9476";"-"
"São João do Arraial (PI)";"2233";"-";"60";"6208";"3598";"181";"21101";"-"
"São João do Piauí (PI)";"6417";"-";"523";"5791";"19823";"18642";"23985";"-"
"São José do Divino (PI)";"9511";"-";"205";"2977";"9524";"5994";"13151";"-"
"São José do Peixe (PI)";"5926";"-";"320";"1168";"3740";"7399";"6024";"-"
"São José do Piauí (PI)";"3227";"-";"222";"2964";"372";"261";"25595";"-"
"São Julião (PI)";"2747";"-";"116";"1368";"4946";"9900";"8517";"-"
"São Lourenço do Piauí (PI)";"1839";"-";"112";"7476";"30693";"21423";"18240";"-"
"São Luis do Piauí (PI)";"1474";"-";"61";"3645";"5454";"2484";"9108";"-"
"São Miguel da Baixa Grande (PI)";"2451";"-";"45";"1224";"2989";"3298";"4121";"-"
"São Miguel do Fidalgo (PI)";"3361";"-";"194";"1638";"2870";"3379";"8400";"-"
"São Miguel do Tapuio (PI)";"15408";"-";"322";"8012";"39880";"24382";"46466";"-"
"São Pedro do Piauí (PI)";"6431";"-";"134";"3154";"1088";"530";"108500";"-"
"São Raimundo Nonato (PI)";"4548";"-";"403";"10561";"49619";"23830";"57375";"-"
"Sebastião Barros (PI)";"16809";"-";"627";"1289";"1612";"3645";"23217";"-"
"Sebastião Leal (PI)";"7988";"-";"98";"784";"232";"932";"17074";"-"
"Sigefredo Pacheco (PI)";"6952";"-";"405";"10788";"26316";"12659";"36573";"-"
"Simões (PI)";"7580";"-";"623";"2760";"10550";"35550";"32400";"-"
"Simplício Mendes (PI)";"9951";"-";"558";"3686";"13761";"21727";"38644";"-"
"Socorro do Piauí (PI)";"3684";"-";"151";"2014";"11048";"4185";"7385";"-"
"Sussuapara (PI)";"2055";"-";"50";"1709";"1081";"1075";"17440";"-"
"Tamboril do Piauí (PI)";"2475";"-";"175";"3401";"10127";"3450";"13877";"-"
"Tanque do Piauí (PI)";"1221";"-";"43";"1162";"2061";"554";"11216";"-"
"Teresina (PI)";"10158";"15";"459";"14052";"5450";"5692";"2847489";"200"
"União (PI)";"9858";"-";"854";"30543";"14227";"9116";"139303";"-"
"Uruçuí (PI)";"20112";"-";"222";"4004";"1228";"1497";"295935";"-"
"Valença do Piauí (PI)";"6471";"-";"205";"3994";"4676";"6756";"435591";"-"
"Várzea Branca (PI)";"2433";"-";"384";"3262";"17212";"6719";"17393";"-"
"Várzea Grande (PI)";"1644";"-";"47";"1573";"2288";"1579";"17817";"-"
"Vera Mendes (PI)";"2178";"-";"169";"2637";"14649";"11103";"12257";"-"
"Vila Nova do Piauí (PI)";"3307";"-";"145";"864";"1498";"6442";"8736";"-"
"Wall Ferraz (PI)";"3553";"-";"155";"4699";"3990";"7682";"18632";"-"
