"Município";"Bovino";"Bubalino";"Equino";"Suíno - total";"Caprino";"Ovino";"Galináceos - total";"Codornas"
"Brasil";"234851536";"1597741";"5834752";"44388351";"12390490";"21520872";"1568518471";"14284999"
"Nordeste";"33212878";"138051";"1342687";"6151942";"11838172";"15044960";"203185137";"2756570"
"Piauí";"1407772";"545";"61557";"1070192";"1982362";"1772628";"11336257";"8542"
"Acauã (PI)";"6200";"-";"360";"3320";"21085";"51120";"20750";"-"
"Agricolândia (PI)";"1593";"-";"34";"715";"683";"429";"9085";"-"
"Água Branca (PI)";"2873";"-";"49";"950";"140";"143";"26312";"-"
"Alagoinha do Piauí (PI)";"5498";"-";"328";"3194";"5415";"13759";"27447";"-"
"Alegrete do Piauí (PI)";"3563";"-";"87";"654";"1794";"7993";"6267";"-"
"Alto Longá (PI)";"14241";"-";"647";"17171";"36013";"19936";"54585";"-"
"Altos (PI)";"7355";"-";"501";"16083";"12471";"9202";"1040783";"-"
"Alvorada do Gurguéia (PI)";"7106";"-";"116";"407";"267";"1123";"6098";"-"
"Amarante (PI)";"9331";"-";"376";"10678";"7295";"5210";"48721";"-"
"Angical do Piauí (PI)";"5409";"-";"59";"902";"1308";"882";"117601";"-"
"Anísio de Abreu (PI)";"2217";"-";"541";"2170";"4669";"11090";"18899";"-"
"Antônio Almeida (PI)";"3545";"-";"80";"449";"310";"670";"6130";"-"
"Aroazes (PI)";"6520";"-";"261";"2146";"8029";"10032";"12998";"-"
"Aroeiras do Itaim (PI)";"3232";"-";"127";"2419";"694";"4417";"18226";"-"
"Arraial (PI)";"3284";"-";"219";"2995";"3453";"3519";"16055";"-"
"Assunção do Piauí (PI)";"4361";"-";"122";"1854";"14389";"10581";"19086";"-"
"Avelino Lopes (PI)";"11169";"-";"463";"3522";"13999";"7352";"31167";"-"
"Baixa Grande do Ribeiro (PI)";"13647";"-";"287";"2616";"245";"397";"42447";"-"
"Barra D'Alcântara (PI)";"2165";"-";"47";"801";"2669";"2998";"13879";"-"
"Barras (PI)";"15640";"-";"909";"18848";"15215";"5302";"95551";"-"
"Barreiras do Piauí (PI)";"4692";"-";"180";"631";"1075";"241";"6809";"-"
"Barro Duro (PI)";"1830";"-";"56";"817";"1154";"403";"13269";"-"
"Batalha (PI)";"15185";"-";"382";"24882";"41446";"10752";"164223";"-"
"Bela Vista do Piauí (PI)";"5808";"-";"441";"2321";"11522";"15382";"10391";"-"
"Belém do Piauí (PI)";"1967";"-";"166";"1365";"1640";"7500";"10141";"-"
"Beneditinos (PI)";"4745";"-";"296";"8531";"12390";"8251";"23778";"-"
"Bertolínia (PI)";"9299";"-";"75";"2010";"651";"3478";"16750";"-"
"Betânia do Piauí (PI)";"2570";"-";"132";"1450";"3300";"22000";"14100";"-"
"Boa Hora (PI)";"1709";"-";"93";"5548";"3662";"1211";"14346";"-"
"Bocaina (PI)";"3271";"-";"77";"2343";"2797";"1919";"11573";"-"
"Bom Jesus (PI)";"26122";"-";"567";"1888";"851";"3135";"37823";"-"
"Bom Princípio do Piauí (PI)";"3059";"-";"118";"2706";"1756";"1630";"10656";"-"
"Bonfim do Piauí (PI)";"1609";"-";"390";"4911";"14247";"7214";"20345";"-"
"Boqueirão do Piauí (PI)";"1305";"-";"72";"5801";"4047";"975";"11388";"-"
"Brasileira (PI)";"4165";"-";"166";"7322";"9162";"3201";"22367";"-"
"Brejo do Piauí (PI)";"5554";"-";"390";"4504";"12140";"10376";"15121";"-"
"Buriti dos Lopes (PI)";"6052";"-";"310";"4106";"2938";"2531";"172170";"-"
"Buriti dos Montes (PI)";"6901";"-";"199";"2977";"19268";"10097";"24550";"-"
"Cabeceiras do Piauí (PI)";"5684";"-";"480";"14905";"12099";"4289";"33415";"-"
"Cajazeiras do Piauí (PI)";"3980";"-";"247";"3287";"3009";"4801";"11970";"-"
"Cajueiro da Praia (PI)";"1065";"-";"108";"1887";"1470";"500";"13693";"-"
"Caldeirão Grande do Piauí (PI)";"3211";"-";"184";"1287";"3145";"11498";"20331";"-"
