"Município";"Abacate";"Abacaxi*";"Açaí";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Azeitona";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Cana-de-açúcar";"Cana para forragem";"Caqui";"Castanha de caju";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Chá-da-índia (folha verde)";"Coco-da-baía*";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Figo";"Fumo (em folha)";"Girassol (em grão)";"Goiaba";"Guaraná (semente)";"Juta (fibra)";"Laranja";"Limão";"Linho (semente)";"Maçã";"Malva (fibra)";"Mamão";"Mamona (baga)";"Mandioca";"Manga";"Maracujá";"Marmelo";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Rami (fibra)";"Sisal ou agave (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tangerina";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"Brasil";"919472";"3889709";"8056995";"...";"-";"30044772";"2131302";"3228538";"17757392";"691112";"31489";"13948838";"1762324";"8170099";"1400269";"...";"4633462";"43781410";"33124350";"10657060";"...";"101878311";"...";"517165";"453159";"4074302";"7614";"473980";"5473";"1613849";"1810818";"956804";"13466";"82015";"11712364";"128050";"10640578";"162498";"1313952";"55238";"120";"20020619";"2439873";"9274";"2931988";"14090";"2484106";"133556";"19042435";"3231963";"2397950";"2165";"2227285";"1261058";"101824686";"93387";"412686";"55840";"646936";"1658081";"-";"311555";"348683454";"2709971";"1963540";"10592486";"7662690";"52059";"221";"161704";"5611355"
"Norte";"5003";"1729269";"8033803";"...";"-";"341581";"-";"2113";"1867682";"-";"-";"2078940";"40387";"300";"31919";"...";"2081908";"1654764";"-";"1654764";"...";"657668";"...";"-";"1991";"-";"-";"-";"-";"273108";"1795949";"-";"-";"1387";"388714";"-";"961";"-";"21454";"28257";"120";"361900";"185217";"-";"-";"14090";"133732";"-";"6831942";"4725";"189938";"-";"465564";"3155";"6404988";"-";"1176";"-";"-";"473690";"-";"-";"22688277";"121032";"7480";"53547";"-";"-";"-";"13472";"201"
"Nordeste";"107623";"1105396";"22247";"...";"-";"7710853";"60592";"62570";"593704";"-";"6";"4211287";"826446";"730506";"119922";"...";"2356551";"2735893";"1254920";"1480972";"...";"8618637";"...";"879";"450992";"814336";"-";"-";"-";"1076792";"14868";"-";"-";"80577";"1775817";"1714";"276330";"-";"627083";"23681";"-";"972832";"224671";"-";"-";"-";"1029287";"132741";"3198786";"2693214";"1546664";"50";"642474";"1217581";"10177113";"-";"14640";"-";"-";"143563";"-";"311555";"33120691";"167722";"54994";"2198650";"31783";"-";"-";"12429";"2574270"
"Sudeste";"699564";"764012";"706";"...";"-";"542433";"1189947";"3032168";"91588";"19104";"9091";"4942719";"432946";"3809224";"975577";"...";"187567";"38453224";"31049464";"7403759";"...";"68712066";"...";"342692";"-";"726361";"-";"33362";"5473";"241180";"-";"-";"9777";"-";"3519778";"83995";"6035";"30750";"435723";"-";"-";"17007034";"1883231";"-";"46510";"-";"1287652";"-";"2395513";"504516";"305947";"1737";"354219";"-";"13071640";"45";"221372";"7348";"187752";"1040713";"-";"-";"33521506";"1066759";"1197429";"4743586";"1182053";"5430";"-";"112982";"805652"
"Sul";"97216";"38524";"-";"...";"-";"747";"213603";"38896";"14299544";"650524";"22392";"2100872";"437243";"3026067";"6390";"...";"-";"613420";"613420";"-";"...";"4858214";"...";"173594";"-";"1697784";"7614";"440618";"-";"2857";"-";"955651";"2009";"51";"3438395";"42340";"10357162";"13360";"169774";"-";"-";"1394534";"99221";"9274";"2885478";"-";"5136";"-";"4909766";"15827";"276624";"174";"353944";"36434";"23302185";"93342";"144218";"48492";"459184";"-";"-";"-";"87029151";"94265";"651490";"1718013";"6134273";"46630";"221";"13786";"2203085"
"Centro-Oeste";"10066";"252508";"240";"...";"-";"21449159";"667160";"92791";"904874";"21483";"-";"615020";"25302";"604001";"266460";"...";"7436";"324110";"206546";"117564";"...";"19031725";"...";"-";"176";"835821";"-";"-";"-";"19914";"-";"1153";"1680";"-";"2589660";"-";"89";"118388";"59919";"3300";"-";"284318";"47533";"-";"-";"-";"28299";"815";"1706428";"13681";"78776";"204";"411084";"3888";"48868758";"-";"31279";"-";"-";"114";"-";"-";"172323828";"1260192";"52146";"1878690";"314581";"-";"-";"9035";"28147"
"Piauí";"-";"-";"-";"...";"-";"133442";"-";"203";"146510";"-";"-";"93311";"266";"-";"-";"...";"-";"-";"-";"-";"...";"218467";"...";"-";"52129";"41";"-";"-";"-";"8055";"-";"-";"-";"5512";"200789";"-";"-";"-";"1019";"-";"-";"2765";"336";"-";"-";"-";"1358";"-";"316653";"6660";"548";"-";"68634";"87450";"3426461";"-";"-";"-";"-";"-";"-";"-";"8103444";"58102";"-";"18798";"-";"-";"-";"-";"380"
"Acauã (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1455";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"58";"-";"-";"-";"-";"-";"1733";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Agricolândia (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"179";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"40";"-";"-";"-";"-";"-";"-";"-";"-";"39";"128";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"74";"-";"-";"-";"-";"-";"3407";"-";"-";"-";"-";"-";"-";"-";"4367";"-";"-";"-";"-";"-";"-";"-";"-"
"Água Branca (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"107";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"8";"-";"-";"-";"-";"-";"-";"-";"-";"16";"94";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"108";"-";"-";"-";"518";"-";"433";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"700";"-";"-";"-";"-";"-"
"Alagoinha do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"1386";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3402";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"144";"-";"-";"-";"-";"-";"1125";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Alegrete do Piauí (PI)";"-";"-";"-";"...";"-";"24";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"40";"232";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1800";"-";"3000";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Alto Longá (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"884";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"88";"...";"-";"124";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1158";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"720";"-";"-";"-";"1777";"-";"1562";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Altos (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"293";"-";"-";"29";"-";"-";"-";"...";"-";"-";"-";"-";"...";"45";"...";"-";"29";"-";"-";"-";"-";"128";"-";"-";"-";"36";"1001";"-";"-";"-";"-";"-";"-";"72";"-";"-";"-";"-";"-";"-";"462";"353";"-";"-";"2925";"-";"699";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
