"Município";"Abacate";"Abacaxi*";"Açaí";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Azeitona";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Cana-de-açúcar";"Cana para forragem";"Caqui";"Castanha de caju";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Chá-da-índia (folha verde)";"Coco-da-baía*";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Figo";"Fumo (em folha)";"Girassol (em grão)";"Goiaba";"Guaraná (semente)";"Juta (fibra)";"Laranja";"Limão";"Linho (semente)";"Maçã";"Malva (fibra)";"Mamão";"Mamona (baga)";"Mandioca";"Manga";"Maracujá";"Marmelo";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Rami (fibra)";"Sisal ou agave (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tangerina";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"Alvorada do Gurguéia (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"51";"-";"-";"1260";"-";"-";"-";"...";"-";"-";"-";"-";"...";"432";"...";"-";"8";"-";"-";"-";"-";"297";"-";"-";"-";"-";"485";"-";"-";"-";"-";"-";"-";"63";"-";"-";"-";"-";"-";"-";"360";"-";"-";"-";"978";"-";"9250";"-";"-";"-";"-";"-";"-";"-";"27874";"471";"-";"-";"-";"-";"-";"-";"-"
"Amarante (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"1555";"-";"-";"825";"-";"-";"-";"...";"-";"-";"-";"-";"...";"900";"...";"-";"461";"-";"-";"-";"-";"-";"-";"-";"-";"40";"754";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2168";"-";"-";"-";"-";"-";"2554";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Angical do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"370";"-";"-";"539";"-";"-";"-";"...";"-";"-";"-";"-";"...";"294";"...";"-";"60";"-";"-";"-";"-";"-";"-";"-";"-";"15";"41";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"300";"-";"-";"-";"-";"-";"718";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Anísio de Abreu (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"309";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"365";"-";"-";"-";"-";"-";"1172";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Antônio Almeida (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"58";"-";"-";"595";"-";"-";"-";"...";"-";"-";"-";"-";"...";"40";"...";"-";"67";"-";"-";"-";"-";"-";"-";"-";"-";"44";"346";"-";"-";"-";"-";"-";"-";"131";"-";"-";"-";"-";"-";"-";"62";"-";"-";"-";"192";"-";"4608";"-";"-";"-";"-";"-";"-";"-";"67912";"362";"-";"-";"-";"-";"-";"-";"-"
"Aroazes (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"205";"-";"-";"338";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"13";"-";"-";"-";"-";"-";"-";"-";"-";"8";"56";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"53";"-";"-";"-";"125";"-";"731";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Aroeiras do Itaim (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"188";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"17";"-";"-";"-";"-";"-";"1260";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Arraial (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"308";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"42";"-";"-";"-";"-";"-";"-";"-";"-";"-";"109";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"47";"-";"-";"-";"-";"-";"659";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Assunção do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"88";"...";"-";"18";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2675";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"90";"-";"-";"-";"-";"-";"1516";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Avelino Lopes (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2000";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"122";"-";"-";"-";"-";"-";"1016";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Baixa Grande do Ribeiro (PI)";"-";"-";"-";"...";"-";"28676";"-";"-";"18068";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"216";"...";"-";"13";"-";"-";"-";"-";"-";"-";"-";"-";"45";"22893";"-";"-";"-";"-";"-";"-";"95";"-";"-";"-";"-";"-";"-";"571";"-";"-";"-";"158";"-";"780220";"-";"-";"-";"-";"-";"-";"-";"2365831";"4637";"-";"-";"-";"-";"-";"-";"-"
"Barra D'Alcântara (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"235";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"10";"-";"-";"-";"-";"-";"-";"-";"-";"90";"16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"58";"-";"-";"-";"120";"-";"503";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Barras (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"3440";"-";"-";"535";"-";"-";"-";"...";"-";"-";"-";"-";"...";"432";"...";"-";"204";"-";"-";"-";"-";"47";"-";"-";"-";"50";"877";"-";"-";"-";"-";"-";"-";"317";"-";"-";"-";"-";"-";"-";"1500";"576";"-";"-";"6728";"-";"2088";"-";"-";"-";"-";"-";"-";"-";"1081";"-";"-";"-";"-";"-";"-";"-";"-"
"Barreiras do Piauí (PI)";"-";"-";"-";"...";"-";"7659";"-";"-";"38";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"96";"365";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"103";"-";"-";"-";"-";"-";"10386";"-";"-";"-";"-";"-";"-";"-";"90275";"-";"-";"-";"-";"-";"-";"-";"-"
"Barro Duro (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"398";"-";"-";"3368";"-";"-";"-";"...";"-";"-";"-";"-";"...";"551";"...";"-";"92";"-";"-";"-";"-";"-";"-";"-";"-";"60";"316";"-";"-";"-";"-";"-";"-";"144";"-";"-";"-";"-";"-";"-";"185";"-";"-";"-";"2300";"-";"709";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Batalha (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"1260";"-";"-";"375";"-";"-";"-";"...";"-";"-";"-";"-";"...";"110";"...";"-";"265";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1460";"-";"-";"-";"-";"-";"-";"32";"-";"-";"-";"-";"-";"-";"619";"230";"-";"-";"200";"-";"1177";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Bela Vista do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"724";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"20";"-";"-";"-";"-";"-";"2696";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Belém do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"81";"-";"-";"-";"-";"64";"-";"-";"-";"-";"392";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"91";"-";"-";"-";"-";"-";"88";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Beneditinos (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"918";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"42";"-";"-";"-";"-";"-";"-";"-";"-";"-";"528";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"600";"-";"-";"-";"2231";"-";"540";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Bertolínia (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"122";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"18";"259";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"137";"-";"-";"-";"-";"-";"858";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Betânia do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"827";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"737";"-";"-";"-";"-";"-";"175";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Boa Hora (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"194";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"4048";"...";"-";"38";"-";"-";"-";"-";"-";"-";"-";"-";"-";"187";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"315";"-";"-";"-";"-";"-";"90";"-";"-";"-";"-";"-";"-";"-";"3244";"-";"-";"-";"-";"-";"-";"-";"-"
"Bocaina (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"26";"-";"-";"450";"9";"-";"-";"...";"-";"-";"-";"-";"...";"14";"...";"-";"34";"10";"-";"-";"-";"135";"-";"-";"-";"-";"243";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"135";"61";"-";"-";"-";"-";"321";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"68";"-";"-";"-";"-";"-"
"Bom Jesus (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"5416";"-";"-";"340";"-";"-";"-";"...";"-";"-";"-";"-";"...";"69";"...";"-";"28";"-";"-";"-";"-";"63";"-";"-";"-";"108";"6498";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"500";"84";"-";"-";"693";"-";"263770";"-";"-";"-";"-";"-";"-";"-";"639591";"9972";"-";"-";"-";"-";"-";"-";"-"
"Bom Princípio do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"1184";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3890";"-";"-";"-";"-";"-";"-";"48";"-";"-";"-";"-";"-";"-";"12492";"180";"-";"-";"-";"-";"3072";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Bonfim do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"415";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"371";"-";"-";"-";"-";"-";"256";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Boqueirão do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"340";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"46";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1260";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"303";"-";"-";"-";"-";"-";"948";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Brasileira (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"50";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"82";"-";"-";"-";"-";"-";"-";"-";"-";"-";"758";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"344";"-";"-";"-";"367";"-";"253";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Brejo do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"214";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"784";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"43";"-";"-";"-";"500";"-";"667";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Buriti dos Lopes (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"14907";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"50";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1460";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"7292";"-";"-";"-";"-";"-";"1675";"-";"-";"-";"-";"-";"-";"-";"720";"-";"-";"-";"-";"-";"-";"-";"-"
"Buriti dos Montes (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"846";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"197";"-";"-";"-";"-";"-";"1785";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cabeceiras do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"891";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"95";"-";"-";"-";"-";"50";"-";"-";"-";"-";"250";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"546";"-";"-";"-";"600";"-";"436";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cajazeiras do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"47";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"75";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"58";"-";"-";"-";"-";"-";"612";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cajueiro da Praia (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"70";"-";"-";"-";"-";"135";"-";"-";"-";"-";"1186";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3817";"-";"-";"-";"-";"-";"928";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Caldeirão Grande do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"412";"8190";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"57160";"-";"-";"-";"-";"-";"5148";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Campinas do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"737";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"861";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"108";"384";"-";"-";"38";"-";"1575";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Campo Alegre do Fidalgo (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"136";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"113";"-";"-";"-";"-";"-";"70";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Campo Grande do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"643";"-";"-";"-";"-";"-";"-";"-";"-";"-";"600";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1250";"-";"-";"-";"-";"-";"540";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Campo Largo do Piauí (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"654";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"9";"-";"-";"-";"-";"-";"-";"-";"-";"45";"215";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"285";"-";"-";"-";"-";"-";"469";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
