Município;Leite;Ovos de galinha;Ovos de codorna;Mel de abelha;Casulos do bicho-da-seda;Lã
Miguel Alves (PI);818;1113;-;-;-;-
Miguel Leão (PI);56;30;-;-;-;-
Milton Brandão (PI);476;822;-;88;-;-
Monsenhor Gil (PI);541;257;-;18;-;-
Monsenhor Hipólito (PI);598;846;-;729;-;-
Monte Alegre do Piauí (PI);512;684;-;-;-;-
Morro Cabeça no Tempo (PI);508;217;-;28;-;-
Morro do Chapéu do Piauí (PI);260;314;-;25;-;-
Murici dos Portelas (PI);760;384;-;-;-;-
Nazaré do Piauí (PI);454;187;-;-;-;-
Nazária (PI);1008;370;-;-;-;-
Nossa Senhora de Nazaré (PI);162;337;-;-;-;-
Nossa Senhora dos Remédios (PI);76;425;-;-;-;-
Novo Oriente do Piauí (PI);492;216;-;33;-;-
Novo Santo Antônio (PI);546;175;-;-;-;-
Oeiras (PI);1609;1221;-;263;-;-
Olho D'Água do Piauí (PI);587;95;-;-;-;-
Padre Marcos (PI);478;165;-;568;-;-
Paes Landim (PI);613;197;-;2686;-;-
Pajeú do Piauí (PI);709;256;-;253;-;-
Palmeira do Piauí (PI);703;309;-;-;-;-
Palmeirais (PI);396;512;-;-;-;-
Paquetá (PI);405;186;-;64;-;-
Parnaguá (PI);3607;446;-;2;-;-
Parnaíba (PI);9795;14488;199;14;-;-
Passagem Franca do Piauí (PI);899;147;-;-;-;-
Patos do Piauí (PI);485;238;-;560;-;-
Pau D'Arco do Piauí (PI);149;184;-;-;-;-
Paulistana (PI);1281;341;-;1275;-;-
Pavussu (PI);106;163;-;879;-;-
Pedro II (PI);1135;1146;-;93;-;-
Pedro Laurentino (PI);659;91;-;964;-;-
Nova Santa Rita (PI);1275;160;-;503;-;-
Picos (PI);1613;1128;-;6668;-;-
Pimenteiras (PI);2797;545;-;522;-;-
Pio IX (PI);1166;585;-;1828;-;-
Piracuruca (PI);4305;2002;-;586;-;-
Piripiri (PI);2389;1736;-;9;-;-
Porto (PI);437;231;-;-;-;-
Porto Alegre do Piauí (PI);156;68;-;-;-;-
Prata do Piauí (PI);293;37;-;-;-;-
Queimada Nova (PI);1357;210;-;720;-;-
Redenção do Gurguéia (PI);843;298;-;-;-;-
Regeneração (PI);107;603;-;20;-;-
Riacho Frio (PI);722;265;-;-;-;-
Ribeira do Piauí (PI);399;79;-;144;-;-
