Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Cristino Castro (PI);-;-;-;...;-;-;-;-;3299;-;-;320;-;-;-;...;-;-;-;-;...;-;...;-;20;-;-;-;-;-;-;-;-;231;1334;-;-;-;-;-;-;-;-;-;-;-;-;-;420;-;-;-;-;-;971;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Curimatá (PI);-;-;-;...;-;-;-;-;12;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;2552;-;-;-;-;-;-;-;-;-;-;-;-;-;42;-;-;-;-;-;2100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Currais (PI);-;-;-;...;-;-;-;-;2555;-;-;80;-;-;-;...;-;-;-;-;...;342;...;-;12;-;-;-;-;-;-;-;-;-;465;-;-;-;-;-;-;-;-;-;-;-;-;-;325;-;-;-;-;-;129453;-;-;-;-;-;-;-;360186;-;-;-;-;-;-;-;-
Curralinhos (PI);-;-;-;...;-;-;-;-;156;-;-;126;-;-;-;...;-;-;-;-;...;-;...;-;96;-;-;-;-;-;-;-;-;15;72;-;-;-;-;-;-;-;-;-;-;-;-;-;141;-;-;-;-;-;92;-;-;-;-;-;-;-;5081;-;-;-;-;-;-;-;-
Curral Novo do Piauí (PI);-;-;-;...;-;22;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;247;-;-;-;-;-;-;-;-;-;-;-;-;-;2687;-;-;-;-;-;528;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Demerval Lobão (PI);-;-;-;...;-;-;-;-;120;-;-;-;-;-;-;...;-;-;-;-;...;18;...;-;25;-;-;-;-;-;-;-;-;-;196;-;-;-;-;-;-;-;-;-;-;-;-;-;114;-;-;-;563;-;124;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Dirceu Arcoverde (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;379;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Dom Expedito Lopes (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;672;-;-;-;-;-;-;-;-;-;3395;-;-;-;-;-;-;-;-;-;-;-;-;-;210;25;-;-;34;-;320;-;-;-;-;-;-;-;-;-;-;135;-;-;-;-;-
Domingos Mourão (PI);-;-;-;...;-;-;-;-;2;-;-;30;-;-;-;...;-;-;-;-;...;92;...;-;81;-;-;-;-;-;-;-;-;-;640;-;-;-;-;-;-;-;-;-;-;-;-;-;100;-;-;-;540;-;375;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Dom Inocêncio (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;428;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;302;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Elesbão Veloso (PI);-;-;-;...;-;-;-;-;369;-;-;77;-;-;-;...;-;-;-;-;...;-;...;-;49;-;-;-;-;-;-;-;-;38;260;-;-;-;-;-;-;-;-;-;-;-;-;-;1053;-;-;-;104;-;1238;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Eliseu Martins (PI);-;-;-;...;-;-;-;-;12;-;-;61;-;-;-;...;-;-;-;-;...;-;...;-;21;-;-;-;-;-;-;-;-;-;484;-;-;-;-;-;-;-;-;-;-;-;-;-;70;-;-;-;57;-;2516;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Esperantina (PI);-;-;-;...;-;-;-;-;3509;-;-;523;-;-;-;...;-;-;-;-;...;-;...;-;252;-;-;-;-;-;-;-;-;80;485;-;-;-;-;-;-;214;-;-;-;-;-;-;1155;221;-;-;488;-;1554;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Fartura do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;481;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;161;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Flores do Piauí (PI);-;-;-;...;-;-;-;-;166;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;31;-;-;-;-;-;-;-;-;19;486;-;-;-;-;-;-;-;-;-;-;-;-;-;102;-;-;-;-;-;1549;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Floresta do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;7;-;-;-;-;-;-;-;-;-;176;-;-;-;-;-;-;-;-;-;-;-;-;-;72;-;-;-;-;-;380;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Floriano (PI);-;-;-;...;-;-;-;-;29;-;-;54;-;-;-;...;-;-;-;-;...;-;...;-;242;-;-;-;-;-;-;-;-;10;1944;-;-;-;-;-;-;31;-;-;-;-;-;-;186;-;-;-;185;-;3042;-;-;-;-;-;-;-;-;-;-;313;-;-;-;-;-
Francinópolis (PI);-;-;-;...;-;-;-;-;308;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;34;-;-;-;-;-;-;-;-;78;19;-;-;-;-;-;-;-;-;-;-;-;-;-;68;-;-;-;72;-;737;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Francisco Ayres (PI);-;-;-;...;-;-;-;-;2916;-;-;150;-;-;-;...;-;-;-;-;...;-;...;-;21;-;-;-;-;-;-;-;-;20;612;-;-;-;-;-;-;-;-;-;-;-;-;-;123;-;-;-;-;-;2808;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Francisco Macedo (PI);-;-;-;...;-;20;-;33;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;80;366;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;776;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Francisco Santos (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;2548;-;-;-;-;-;-;-;-;-;3060;-;-;-;-;-;-;-;-;-;-;-;-;-;2016;-;-;-;-;-;187;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Fronteiras (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;459;7560;-;-;-;-;-;-;-;-;-;-;-;-;-;420;-;-;-;-;-;9984;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Geminiano (PI);-;-;-;...;-;-;-;-;9;-;-;180;-;-;-;...;-;-;-;-;...;-;...;-;1890;-;-;-;-;16;-;-;-;-;4518;-;-;-;-;-;-;-;-;-;-;-;-;-;2567;-;-;-;200;-;3667;-;-;-;-;-;-;-;-;-;-;250;-;-;-;-;-
Gilbués (PI);-;-;-;...;-;3587;-;-;128;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;15;-;-;-;-;-;-;-;-;29;4160;-;-;-;-;-;-;-;-;-;-;-;-;-;401;-;-;-;-;-;13144;-;-;-;-;-;-;-;311158;-;-;-;-;-;-;-;-
Guadalupe (PI);-;-;-;...;-;-;-;-;58;-;-;49998;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;95;-;-;-;-;403;-;-;-;85;-;-;-;-;-;-;-;835;-;252;-;-;-;30;-;92;-;-;-;-;-;-;-;3251;-;-;-;-;-;-;-;-
Guaribas (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;9;...;-;6;-;-;-;-;-;-;-;-;-;1569;-;-;-;-;-;-;-;-;-;-;-;-;-;260;-;-;-;-;-;1460;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hugo Napoleão (PI);-;-;-;...;-;-;-;-;441;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;115;-;-;-;-;-;-;-;-;19;67;-;-;-;-;-;-;-;-;-;-;-;-;-;64;-;-;-;-;-;1123;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ilha Grande (PI);-;-;-;...;-;-;-;-;1845;-;-;180;-;-;-;...;-;-;-;-;...;440;...;-;7;-;-;-;-;60;-;-;-;-;121;-;-;-;-;-;-;-;-;-;-;-;-;-;151;237;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Inhuma (PI);-;-;-;...;-;-;-;-;9;-;-;552;-;-;-;...;-;-;-;-;...;1127;...;-;3038;-;-;-;-;53;-;-;-;74;1673;-;-;-;-;-;-;-;-;-;-;-;-;-;10500;90;899;-;1320;-;1580;-;-;-;-;-;-;-;-;-;-;1950;-;-;-;-;-
Ipiranga do Piauí (PI);-;-;-;...;-;-;-;-;11;-;-;44;-;-;-;...;-;-;-;-;...;59;...;-;266;-;-;-;-;23;-;-;-;9;745;-;-;-;-;-;-;-;-;-;-;-;-;-;2288;-;-;-;788;1296;224;-;-;-;-;-;-;-;-;-;-;192;-;-;-;-;-
Isaías Coelho (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;9;-;-;-;-;-;-;-;-;-;397;-;-;-;-;-;-;-;-;-;-;-;-;-;72;-;-;-;-;-;1744;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Itainópolis (PI);-;-;-;...;-;-;-;-;-;-;-;402;12;-;-;...;-;-;-;-;...;-;...;-;17;-;-;-;-;-;-;-;-;-;562;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;17;-;1575;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Itaueira (PI);-;-;-;...;-;-;-;81;524;-;-;198;-;-;-;...;-;-;-;-;...;-;...;-;97;-;-;-;-;-;-;-;-;29;1215;-;-;-;-;-;-;-;-;-;-;-;-;-;360;-;-;-;100;-;18257;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Jacobina do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;102;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35;-;56;-;-;-;-;-;-;-;-;-;-;305;-;-;-;-;-
Jaicós (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;3192;-;-;-;-;-;-;-;-;-;1371;-;-;-;-;-;-;-;-;-;-;-;-;-;1575;-;-;-;-;-;844;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Jardim do Mulato (PI);-;-;-;...;-;-;-;-;998;-;-;165;-;-;-;...;-;-;-;-;...;45;...;-;116;-;-;-;-;-;-;-;-;29;207;-;-;-;-;-;-;-;-;-;-;-;-;-;126;-;-;-;-;-;518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Jatobá do Piauí (PI);-;-;-;...;-;-;-;-;113;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;28;-;-;-;-;-;-;-;-;-;185;-;-;-;-;-;-;-;-;-;-;-;-;-;222;-;-;-;16664;-;1578;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Jerumenha (PI);-;-;-;...;-;-;-;-;32;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;14;-;-;-;-;216;-;-;-;-;511;-;-;-;-;-;-;-;-;-;-;-;-;-;158;-;-;-;120;-;370;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
João Costa (PI);-;-;-;...;-;-;-;-;-;-;-;2161;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;108;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Joaquim Pires (PI);-;-;-;...;-;-;-;-;892;-;-;166;-;-;-;...;-;-;-;-;...;-;...;-;68;-;-;-;-;-;-;-;-;-;747;-;-;-;-;-;-;-;-;-;-;-;-;-;600;-;-;-;-;-;1008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Joca Marques (PI);-;-;-;...;-;-;-;-;214;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;23;-;-;-;-;-;-;-;-;-;315;-;-;-;-;-;-;-;-;-;-;-;-;-;601;-;-;-;390;-;200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
José de Freitas (PI);-;-;-;...;-;-;-;-;924;-;-;103;-;-;-;...;-;-;-;-;...;65307;...;-;72;-;-;-;-;-;-;-;-;18;1123;-;-;-;-;-;-;-;-;-;-;-;-;-;1634;65;-;-;1485;-;1474;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Juazeiro do Piauí (PI);-;-;-;...;-;-;-;-;32;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;40;-;-;-;-;-;-;-;-;-;169;-;-;-;-;-;-;-;-;-;-;-;-;-;55;-;-;-;151;-;542;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Júlio Borges (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;95;...;-;-;-;-;-;-;-;-;-;-;-;1120;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;950;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Jurema (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;768;-;-;-;-;-;-;-;-;-;-;-;-;-;272;-;-;-;-;-;9892;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Lagoinha do Piauí (PI);-;-;-;...;-;-;-;-;180;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;25;-;-;-;-;-;-;-;-;10;71;-;-;-;-;-;-;-;-;-;-;-;-;-;198;-;-;-;-;-;248;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Lagoa Alegre (PI);-;-;-;...;-;-;-;-;390;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;16;-;-;-;-;-;-;-;-;55;384;-;-;-;-;-;-;-;-;-;-;-;-;-;600;-;-;-;840;-;365;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Lagoa do Barro do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;525;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;141;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Lagoa de São Francisco (PI);-;-;-;...;-;-;-;-;234;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;75;-;-;-;-;-;-;-;-;104;515;-;-;-;-;-;-;-;-;-;-;-;-;-;382;-;-;-;-;-;476;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Lagoa do Piauí (PI);-;-;-;...;-;-;-;-;278;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;33;-;-;-;-;-;-;-;-;27;92;-;-;-;-;-;-;-;-;-;-;-;-;-;372;-;-;-;255;-;144;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Lagoa do Sítio (PI);-;-;-;...;-;-;-;-;27;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;611;-;-;-;-;-;-;-;-;29;1719;-;-;-;-;-;-;-;-;-;-;-;-;-;423;-;-;-;-;-;2753;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Landri Sales (PI);-;-;-;...;-;-;-;-;275;-;-;41;-;-;-;...;-;-;-;-;...;15;...;-;101;-;-;-;-;-;-;-;-;70;632;-;-;-;-;-;-;17;-;-;-;-;-;-;70;-;-;-;-;-;866;-;-;-;-;-;-;-;5120;-;-;-;-;-;-;-;-
Luís Correia (PI);-;-;-;...;-;-;-;-;26;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;1012;-;-;-;-;648;-;-;-;-;6518;-;-;-;-;-;-;-;-;-;-;-;-;-;16813;-;-;-;-;-;2592;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Luzilândia (PI);-;-;-;...;-;-;-;-;1305;-;-;133;-;-;-;...;-;-;-;-;...;-;...;-;26;-;-;-;-;-;-;-;-;-;430;-;-;-;-;-;-;-;-;-;-;-;-;-;608;-;-;-;563;-;1065;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Madeiro (PI);-;-;-;...;-;-;-;-;378;-;-;76;-;-;-;...;-;-;-;-;...;-;...;-;24;-;-;-;-;-;-;-;-;-;454;-;-;-;-;-;-;-;-;-;-;-;-;-;333;-;-;-;188;-;283;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Manoel Emídio (PI);-;-;-;...;-;-;-;-;156;-;-;429;-;-;-;...;-;-;-;-;...;-;...;-;210;-;-;-;-;-;-;-;-;61;104;-;-;-;-;-;-;-;-;-;-;-;-;-;567;-;-;-;-;-;126;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Marcolândia (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;149;-;-;-;-;-;-;-;-;-;-;-;-;-;13405;-;-;-;-;-;1595;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Marcos Parente (PI);-;-;-;...;-;-;-;-;86;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;17;-;-;-;-;-;-;-;-;29;344;-;-;-;-;-;-;-;-;-;-;-;-;-;76;-;-;-;-;-;259;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Massapê do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;171;-;-;-;-;-;-;-;-;-;81;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Matias Olímpio (PI);-;-;-;...;-;-;-;-;1103;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;14;-;-;-;-;-;-;-;-;46;277;-;-;-;-;-;-;-;-;-;-;-;-;-;428;-;-;-;-;-;329;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Miguel Alves (PI);-;-;-;...;-;-;-;-;28312;-;-;274;-;-;-;...;-;-;-;-;...;33516;...;-;31;-;-;-;-;69;-;-;-;-;1400;-;-;-;-;-;-;63;-;-;-;-;-;-;1615;282;-;-;600;-;1285;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Miguel Leão (PI);-;-;-;...;-;-;-;-;116;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;77;164;-;-;-;-;-;-;-;-;-;-;-;-;-;86;-;-;-;-;-;164;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Milton Brandão (PI);-;-;-;...;-;-;-;-;84;-;-;-;-;-;-;...;-;-;-;-;...;19;...;-;678;-;-;-;-;-;-;-;-;-;440;-;-;-;-;-;-;-;-;-;-;-;-;-;628;-;-;-;600;-;1467;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Monsenhor Gil (PI);-;-;-;...;-;-;-;-;273;-;-;103;-;-;-;...;-;-;-;-;...;36;...;-;21;-;-;-;-;-;-;-;-;102;226;-;-;-;-;-;-;-;-;-;-;-;-;-;176;63;-;-;1169;-;481;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Monsenhor Hipólito (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;4060;-;-;-;-;-;-;-;-;-;2754;-;-;-;-;-;-;-;-;-;-;-;-;-;2568;-;-;-;-;-;532;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Monte Alegre do Piauí (PI);-;-;-;...;-;-;-;-;923;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;2038;-;-;-;-;-;-;-;-;-;-;-;-;-;109;-;-;-;-;-;6978;-;-;-;-;-;-;-;261165;-;-;-;-;-;-;-;-
Morro Cabeça no Tempo (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;969;-;-;-;-;-;-;-;-;-;-;-;-;-;84;-;-;-;-;-;1072;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Morro do Chapéu do Piauí (PI);-;-;-;...;-;-;-;-;493;-;-;138;-;-;-;...;-;-;-;-;...;-;...;-;62;-;-;-;-;-;-;-;-;60;245;-;-;-;-;-;-;-;-;-;-;-;-;-;720;-;-;-;195;-;314;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Murici dos Portelas (PI);-;-;-;...;-;-;-;-;1738;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;408;-;-;-;-;-;-;-;-;-;1815;-;-;-;-;-;-;-;-;-;-;-;-;-;1607;-;-;-;-;-;392;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nazaré do Piauí (PI);-;-;-;...;-;-;-;-;171;-;-;30;-;-;-;...;-;-;-;-;...;-;...;-;12;-;-;-;-;-;-;-;-;-;126;-;-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;-;-;-;507;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nazária (PI);-;-;-;...;-;-;-;-;71;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;56;-;-;-;-;-;-;-;-;9;164;-;-;-;-;-;-;-;-;-;-;-;-;-;203;-;-;-;315;-;207;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nossa Senhora de Nazaré (PI);-;-;-;...;-;-;-;-;53;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;61;-;-;-;-;-;-;-;-;-;550;-;-;-;-;-;-;-;-;-;-;-;-;-;136;-;-;-;-;-;535;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nossa Senhora dos Remédios (PI);-;-;-;...;-;-;-;-;858;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;12;-;-;-;-;-;-;-;-;35;155;-;-;-;-;-;-;-;-;-;-;-;-;-;500;-;-;-;-;-;319;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Novo Oriente do Piauí (PI);-;-;-;...;-;-;-;-;60;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;280;-;-;-;-;-;-;-;-;76;420;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;1166;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Novo Santo Antônio (PI);-;-;-;...;-;-;-;-;70;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;3;-;-;-;-;-;-;-;-;-;292;-;-;-;-;-;-;-;-;-;-;-;-;-;46;-;-;-;-;-;490;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Oeiras (PI);-;-;-;...;-;-;-;-;666;-;-;465;-;-;-;...;-;-;-;-;...;54;...;-;255;-;-;-;-;-;-;-;-;186;3140;-;-;-;-;-;-;-;-;-;-;-;-;-;1170;-;-;-;282;-;6300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Olho D'Água do Piauí (PI);-;-;-;...;-;-;-;-;148;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;35;-;-;-;-;-;-;-;-;21;126;-;-;-;-;-;-;-;-;-;-;-;-;-;115;-;-;-;3125;-;1188;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Padre Marcos (PI);-;-;-;...;-;28;-;85;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;13;-;-;-;-;37;-;-;-;-;1584;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;1892;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Paes Landim (PI);-;-;-;...;-;-;-;-;-;-;-;91;-;-;-;...;-;-;-;-;...;-;...;-;8;-;-;-;-;-;-;-;-;-;238;-;-;-;-;-;-;-;-;-;-;-;-;-;148;36;-;-;63;-;851;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pajeú do Piauí (PI);-;-;-;...;-;-;-;-;6;-;-;-;-;-;-;...;-;-;-;-;...;116;...;-;10;-;-;-;-;-;-;-;-;9;65;-;-;-;-;-;-;-;-;-;-;-;-;-;75;-;-;-;1804;47678;307;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Palmeira do Piauí (PI);-;-;-;...;-;-;-;-;5215;-;-;63;-;-;-;...;-;-;-;-;...;1620;...;-;90;-;-;-;-;-;-;-;-;51;339;-;-;-;-;-;-;-;-;-;-;-;-;-;448;-;-;-;-;-;42207;-;-;-;-;-;-;-;120009;-;-;-;-;-;-;-;-
Palmeirais (PI);-;-;-;...;-;-;-;-;4899;-;-;338;-;-;-;...;-;-;-;-;...;51;...;-;505;-;-;-;-;-;-;-;-;383;400;-;-;-;-;-;-;-;-;-;-;-;-;-;333;167;-;-;487;-;2787;-;-;-;-;-;-;-;3413;-;-;-;-;-;-;-;-
Paquetá (PI);-;-;-;...;-;-;-;-;-;-;-;120;-;-;-;...;-;-;-;-;...;97;...;-;1971;-;-;-;-;72;-;-;-;-;240;-;-;-;-;-;-;-;-;-;-;-;-;-;1200;-;-;-;55;-;1616;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Parnaguá (PI);-;-;-;...;-;-;-;-;37;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;1392;-;-;-;-;-;-;-;-;-;-;-;-;-;256;-;-;-;-;-;1274;-;-;-;-;-;-;-;1922;-;-;-;-;-;-;-;-
Parnaíba (PI);-;-;-;...;-;-;-;-;580;-;-;1646;-;-;-;...;-;-;-;-;...;-;...;-;60;-;-;-;-;1987;-;-;-;-;545;-;-;-;-;-;-;-;-;-;-;-;74;-;1169;35;-;-;6563;-;243;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Passagem Franca do Piauí (PI);-;-;-;...;-;-;-;-;620;-;-;123;-;-;-;...;-;-;-;-;...;-;...;-;30;-;-;-;-;-;-;-;-;9;82;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;2415;-;240;-;-;-;-;-;-;-;7307;-;-;-;-;-;-;-;-
