Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Aroazes (PI);-;-;-;...;-;-;-;-;150;-;-;458;-;-;-;...;-;-;-;-;...;-;...;-;23;-;-;-;-;-;-;-;-;9;31;-;-;-;-;-;-;-;-;-;-;-;-;-;54;-;-;-;135;-;306;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Aroeiras do Itaim (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;10;-;-;-;-;-;-;-;-;-;735;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;1920;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Arraial (PI);-;-;-;...;-;-;-;-;307;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;63;-;-;-;-;-;-;-;-;-;399;-;-;-;-;-;-;-;-;-;-;-;-;-;45;-;-;-;-;-;966;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Assunção do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;96;...;-;36;-;-;-;-;-;-;-;-;-;2484;-;-;-;-;-;-;-;-;-;-;-;-;-;94;-;-;-;-;-;463;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Avelino Lopes (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;3771;-;-;-;-;-;-;-;-;-;-;-;-;-;101;-;-;-;-;-;2979;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Baixa Grande do Ribeiro (PI);-;-;-;...;-;40181;-;-;18004;-;-;-;-;-;-;...;-;-;-;-;...;207;...;-;16;-;-;-;-;-;-;-;-;27;26900;-;-;-;-;-;-;98;-;-;-;-;-;-;790;-;-;-;167;-;340853;-;-;-;-;-;-;-;1955021;5692;-;-;-;-;-;-;-
Barra D'Alcântara (PI);-;-;-;...;-;-;-;-;146;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;14;-;-;-;-;-;-;-;-;68;9;-;-;-;-;-;-;-;-;-;-;-;-;-;54;-;-;-;128;-;312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Barras (PI);-;-;-;...;-;-;-;-;5053;-;-;365;-;-;-;...;-;-;-;-;...;432;...;-;410;-;-;-;-;58;-;-;-;60;1456;-;-;-;-;-;-;282;-;-;-;-;-;-;1400;612;-;-;9900;-;2551;-;-;-;-;-;-;-;932;-;-;-;-;-;-;-;-
Barreiras do Piauí (PI);-;-;-;...;-;4231;-;-;45;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;11;-;-;-;-;-;-;-;-;100;550;-;-;-;-;-;-;-;-;-;-;-;-;-;155;-;-;-;-;-;19064;-;-;-;-;-;-;-;118985;-;-;-;-;-;-;-;-
Barro Duro (PI);-;-;-;...;-;-;-;-;473;-;-;3723;-;-;-;...;-;-;-;-;...;144;...;-;210;-;-;-;-;-;-;-;-;90;353;-;-;-;-;-;-;-;-;-;-;-;-;-;351;-;-;-;2200;-;684;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
