Município;Bovino;Bubalino;Equino;Suíno - total;Caprino;Ovino;Galináceos - total;Codornas
Ilha Grande (PI);1609;-;108;545;222;856;5969;-
Inhuma (PI);7222;-;254;5509;3253;3724;49292;-
Ipiranga do Piauí (PI);2781;-;76;2092;2486;1704;26920;-
Isaías Coelho (PI);8004;-;333;5345;22028;22714;24974;-
Itainópolis (PI);6884;-;404;6636;16518;23680;55552;-
Itaueira (PI);13577;-;580;8671;10508;14873;47839;-
Jacobina do Piauí (PI);10626;-;224;997;15025;72531;13825;-
Jaicós (PI);3929;-;285;4324;13426;15250;57680;-
Jardim do Mulato (PI);3252;-;29;1407;3105;350;20859;-
Jatobá do Piauí (PI);7072;-;351;5828;21717;15365;26670;-
Jerumenha (PI);6554;-;506;1143;3273;3899;4118;-
João Costa (PI);3539;-;238;3652;17318;15869;12738;-
Joaquim Pires (PI);10791;29;384;13054;13699;2451;43418;-
Joca Marques (PI);4505;-;74;5746;2519;669;26021;-
José de Freitas (PI);13612;93;1711;27486;25915;21016;191574;-
Juazeiro do Piauí (PI);4140;-;130;6177;19721;4733;19908;-
Júlio Borges (PI);11837;-;275;2868;14414;3526;20416;-
Jurema (PI);2637;-;466;1434;4390;9361;21121;-
Lagoinha do Piauí (PI);1443;-;25;689;770;411;8272;-
Lagoa Alegre (PI);1750;-;224;9807;6071;3169;16551;-
Lagoa do Barro do Piauí (PI);3470;-;370;2667;27174;21146;8331;-
Lagoa de São Francisco (PI);1336;-;94;8431;8346;1549;24443;-
Lagoa do Piauí (PI);2888;-;125;4433;6052;2260;185077;-
Lagoa do Sítio (PI);3512;-;117;3241;4894;4923;17838;-
Landri Sales (PI);7571;4;277;2523;4260;2128;26060;-
Luís Correia (PI);8486;-;412;13282;11755;8504;81464;-
Luzilândia (PI);7702;-;346;18946;10499;1236;67161;-
Madeiro (PI);4065;-;161;3951;1682;303;18757;-
Manoel Emídio (PI);7332;-;53;1849;316;1171;20232;-
Marcolândia (PI);695;-;41;860;239;2064;9288;-
Marcos Parente (PI);5385;-;149;1787;3982;2351;11962;-
Massapê do Piauí (PI);2693;-;185;1914;8948;20139;19837;-
Matias Olímpio (PI);2176;48;48;5760;3184;444;19902;-
Miguel Alves (PI);7033;12;508;23433;9390;2721;77413;-
Miguel Leão (PI);204;-;38;398;480;321;4702;-
Milton Brandão (PI);3816;-;162;9694;22219;5897;32981;-
Monsenhor Gil (PI);2587;-;113;3975;6217;2158;22974;-
Monsenhor Hipólito (PI);5311;-;439;1783;382;1329;41025;-
Monte Alegre do Piauí (PI);23487;-;374;3648;2059;2712;59653;-
Morro Cabeça no Tempo (PI);6218;-;53;541;2564;1281;12662;-
Morro do Chapéu do Piauí (PI);4072;-;208;7494;6851;680;19174;-
Murici dos Portelas (PI);4552;54;245;9224;5514;967;36071;-
Nazaré do Piauí (PI);6661;-;135;3628;7075;5025;15250;-
Nazária (PI);4011;36;150;5959;3880;1911;95032;-
Nossa Senhora de Nazaré (PI);3764;-;351;12014;11415;10922;22812;-
Nossa Senhora dos Remédios (PI);3933;-;178;10060;4853;1239;28993;-
Novo Oriente do Piauí (PI);6749;-;175;1756;4388;8679;17339;-
Novo Santo Antônio (PI);4143;-;194;4217;9018;10779;15759;-
Oeiras (PI);13211;-;506;16506;33213;21620;89152;-
Olho D'Água do Piauí (PI);3571;-;52;698;840;462;9447;-
Padre Marcos (PI);2286;-;171;2208;3205;14551;14589;-
Paes Landim (PI);3552;-;167;2221;8538;6793;20130;-
Pajeú do Piauí (PI);4771;-;187;3387;4220;4420;17263;-
Palmeira do Piauí (PI);7132;-;146;1008;1060;1084;22395;-
Palmeirais (PI);5914;-;120;4237;1195;1021;54098;-
Paquetá (PI);2402;-;65;2002;1172;1971;12104;-
Parnaguá (PI);40396;-;1139;2374;1875;4325;33336;-
Parnaíba (PI);5916;5;338;3647;1498;3655;168003;13440
Passagem Franca do Piauí (PI);4255;-;59;3290;4761;3110;15891;-
Patos do Piauí (PI);4700;-;284;3006;17227;23560;17318;-
Pau D'Arco do Piauí (PI);1771;-;107;6553;5098;5594;20830;-
Paulistana (PI);9004;-;387;5383;27981;68221;26765;-
Pavussu (PI);2232;-;216;3662;5926;3243;11367;-
Pedro II (PI);6268;-;443;21510;25089;8935;90946;-
Pedro Laurentino (PI);4956;-;267;1732;12324;12532;9058;-
Nova Santa Rita (PI);5639;-;285;2956;19033;20417;15907;-
Picos (PI);9480;-;246;6192;1171;7380;77290;-
Pimenteiras (PI);13668;-;367;5098;19114;8823;33945;-
Pio IX (PI);6960;-;430;3692;13592;43184;38077;-
Piracuruca (PI);16004;-;563;18085;25825;8700;176753;-
Piripiri (PI);13325;84;629;28736;28477;8091;100112;-
Porto (PI);2874;-;230;4961;2832;519;17159;-
Porto Alegre do Piauí (PI);5926;-;225;1031;2474;1216;8687;-
Prata do Piauí (PI);1216;-;43;901;4005;3180;4421;-
Queimada Nova (PI);5298;-;407;4164;44955;39394;15219;-
Redenção do Gurguéia (PI);11602;-;256;1433;1514;1365;22158;-
Regeneração (PI);5110;-;126;3903;7721;2716;42895;-
Riacho Frio (PI);15057;-;584;1086;805;1932;18699;-
Ribeira do Piauí (PI);6368;-;215;2863;10128;11329;7788;-
