"Município";"Bovino";"Bubalino";"Equino";"Suíno - total";"Caprino";"Ovino";"Galináceos - total";"Codornas"
"Brasil";"211764292";"1332284";"5312076";"36743593";"8779213";"17290519";"1240995258";"18171955"
"Nordeste";"28958676";"126209";"1245616";"5559110";"8023070";"9774436";"135754654";"1496886"
"Piauí";"1666107";"877";"102092";"857208";"1239161";"1205232";"9526306";"22962"
"Acauã (PI)";"7887";"-";"282";"2382";"7997";"21465";"13183";"-"
"Agricolândia (PI)";"2206";"-";"9";"238";"349";"62";"4118";"-"
"Água Branca (PI)";"3208";"-";"13";"282";"108";"99";"25759";"-"
"Alagoinha do Piauí (PI)";"4612";"-";"806";"3483";"3519";"5941";"19727";"-"
"Alegrete do Piauí (PI)";"5130";"-";"58";"639";"1545";"3430";"4131";"-"
"Alto Longá (PI)";"8898";"-";"1640";"14033";"18352";"21068";"62898";"-"
"Altos (PI)";"8398";"-";"589";"8002";"11899";"10205";"141144";"-"
"Alvorada do Gurguéia (PI)";"10309";"-";"240";"336";"386";"1222";"4679";"-"
"Amarante (PI)";"11403";"-";"583";"7547";"4580";"6078";"66490";"-"
"Angical do Piauí (PI)";"6088";"-";"56";"824";"622";"846";"31288";"-"
"Anísio de Abreu (PI)";"2241";"-";"471";"1192";"1499";"3105";"6522";"-"
"Antônio Almeida (PI)";"3682";"-";"170";"181";"357";"202";"6401";"-"
"Aroazes (PI)";"7648";"-";"885";"1240";"6361";"5837";"6872";"-"
"Aroeiras do Itaim (PI)";"2958";"-";"111";"2462";"436";"2290";"12901";"-"
"Arraial (PI)";"3653";"-";"422";"3235";"3056";"4661";"14560";"-"
"Assunção do Piauí (PI)";"7853";"-";"133";"3224";"2440";"1212";"21385";"-"
"Avelino Lopes (PI)";"12650";"-";"589";"2366";"5687";"6859";"29497";"-"
"Baixa Grande do Ribeiro (PI)";"13935";"-";"358";"1220";"69";"358";"38253";"-"
"Barra D'Alcântara (PI)";"2548";"-";"155";"4861";"4465";"3103";"28447";"-"
"Barras (PI)";"17227";"6";"1822";"20963";"22336";"6061";"108989";"-"
"Barreiras do Piauí (PI)";"9086";"-";"97";"403";"1092";"359";"6301";"-"
"Barro Duro (PI)";"1778";"-";"12";"490";"672";"286";"28157";"-"
"Batalha (PI)";"15656";"-";"775";"21698";"28651";"11279";"69422";"-"
"Bela Vista do Piauí (PI)";"6378";"-";"481";"1764";"6244";"6525";"11918";"-"
"Belém do Piauí (PI)";"1987";"-";"279";"1175";"741";"4334";"7344";"-"
"Beneditinos (PI)";"5299";"-";"1025";"11096";"9372";"16623";"44471";"-"
"Bertolínia (PI)";"13375";"-";"477";"667";"1523";"2240";"13077";"-"
"Betânia do Piauí (PI)";"4859";"-";"581";"1876";"3573";"16959";"13355";"-"
"Boa Hora (PI)";"1838";"8";"112";"5306";"2305";"2139";"12116";"-"
"Bocaina (PI)";"2596";"-";"101";"1905";"1929";"2006";"8100";"-"
"Bom Jesus (PI)";"24231";"-";"604";"1859";"656";"1603";"30936";"-"
"Bom Princípio do Piauí (PI)";"5348";"-";"462";"4377";"3218";"2819";"19612";"-"
"Bonfim do Piauí (PI)";"1360";"-";"436";"2408";"6993";"5929";"10821";"-"
"Boqueirão do Piauí (PI)";"2242";"-";"519";"3625";"3142";"2908";"9456";"-"
"Brasileira (PI)";"5350";"-";"461";"7110";"9550";"5307";"17120";"-"
"Brejo do Piauí (PI)";"6183";"-";"326";"1519";"3983";"3081";"8456";"-"
"Buriti dos Lopes (PI)";"8592";"-";"555";"2987";"2127";"1843";"111156";"-"
"Buriti dos Montes (PI)";"6824";"-";"489";"2639";"8844";"8386";"26955";"-"
"Cabeceiras do Piauí (PI)";"6786";"-";"1054";"13905";"13416";"5573";"40619";"-"
"Cajazeiras do Piauí (PI)";"8295";"-";"409";"2480";"2955";"4312";"10856";"-"
"Cajueiro da Praia (PI)";"1880";"-";"230";"3083";"2889";"1278";"28386";"-"
"Caldeirão Grande do Piauí (PI)";"3420";"-";"171";"1781";"2202";"4326";"19767";"-"
"Campinas do Piauí (PI)";"7959";"-";"419";"2370";"4758";"11600";"10269";"-"
"Campo Alegre do Fidalgo (PI)";"2694";"-";"367";"1807";"8656";"3579";"5780";"-"
"Campo Grande do Piauí (PI)";"2615";"-";"460";"1947";"1335";"2104";"12500";"-"
"Campo Largo do Piauí (PI)";"3660";"160";"240";"8861";"3373";"1580";"18670";"-"
"Campo Maior (PI)";"25776";"151";"4362";"14873";"17366";"26415";"187940";"-"
"Canavieira (PI)";"11509";"-";"972";"1594";"1899";"4716";"16474";"-"
"Canto do Buriti (PI)";"12026";"-";"881";"4979";"3126";"7331";"41720";"-"
"Capitão de Campos (PI)";"3888";"-";"275";"4138";"6717";"2129";"6465";"-"
"Capitão Gervásio Oliveira (PI)";"7041";"-";"462";"1839";"16164";"6551";"5296";"-"
"Caracol (PI)";"3420";"-";"675";"1584";"1296";"1706";"13881";"-"
"Caraúbas do Piauí (PI)";"10493";"-";"281";"3873";"2853";"2783";"15044";"-"
"Caridade do Piauí (PI)";"4681";"-";"293";"1114";"1791";"14153";"8402";"-"
"Castelo do Piauí (PI)";"15051";"-";"799";"10690";"20117";"15718";"54940";"-"
"Caxingó (PI)";"5330";"-";"368";"2223";"2379";"2144";"17803";"-"
"Cocal (PI)";"7077";"-";"792";"6122";"13172";"5905";"96346";"-"
"Cocal de Telha (PI)";"2441";"-";"299";"2844";"3614";"1386";"27428";"-"
"Cocal dos Alves (PI)";"1256";"-";"153";"5816";"4588";"2285";"31029";"-"
"Coivaras (PI)";"3668";"-";"251";"2729";"7411";"5797";"10314";"-"
"Colônia do Gurguéia (PI)";"5816";"-";"323";"507";"628";"1082";"6194";"-"
"Colônia do Piauí (PI)";"8233";"31";"360";"3794";"4499";"4372";"17766";"-"
"Conceição do Canindé (PI)";"5106";"-";"337";"1397";"3564";"4802";"6105";"-"
"Coronel José Dias (PI)";"2655";"-";"249";"1709";"8514";"6871";"5829";"-"
"Corrente (PI)";"52635";"-";"2312";"4591";"2103";"5599";"53052";"-"
"Cristalândia do Piauí (PI)";"25533";"-";"1048";"1937";"2724";"2864";"23067";"-"
"Cristino Castro (PI)";"8253";"-";"182";"248";"181";"789";"8846";"-"
"Curimatá (PI)";"22655";"-";"917";"1756";"3402";"7972";"24252";"-"
"Currais (PI)";"9268";"-";"134";"345";"101";"172";"9353";"-"
"Curralinhos (PI)";"2878";"-";"53";"2227";"2287";"610";"11898";"-"
"Curral Novo do Piauí (PI)";"4810";"-";"448";"1146";"1932";"11553";"10560";"-"
"Demerval Lobão (PI)";"2452";"-";"108";"3642";"3303";"1339";"16733";"-"
"Dirceu Arcoverde (PI)";"3823";"-";"532";"3768";"16379";"16934";"9384";"-"
"Dom Expedito Lopes (PI)";"2053";"-";"13";"1411";"56";"479";"12225";"-"
"Domingos Mourão (PI)";"2510";"-";"462";"5910";"7743";"4962";"14149";"-"
"Dom Inocêncio (PI)";"7767";"-";"1079";"4965";"41349";"33573";"13431";"-"
"Elesbão Veloso (PI)";"20458";"-";"616";"2832";"11780";"18788";"19355";"-"
"Eliseu Martins (PI)";"6945";"-";"269";"836";"1470";"752";"7817";"-"
"Esperantina (PI)";"11447";"-";"345";"12868";"18730";"3854";"44544";"-"
"Fartura do Piauí (PI)";"2917";"-";"326";"1694";"10027";"6482";"9714";"-"
"Flores do Piauí (PI)";"5197";"-";"260";"2874";"2242";"1883";"15961";"-"
"Floresta do Piauí (PI)";"2798";"-";"200";"1168";"510";"3337";"7899";"-"
"Floriano (PI)";"15842";"-";"2737";"6694";"8743";"13421";"128583";"-"
"Francinópolis (PI)";"3147";"-";"81";"1283";"2545";"1573";"6301";"-"
"Francisco Ayres (PI)";"4590";"-";"435";"3215";"1830";"5294";"17157";"-"
"Francisco Macedo (PI)";"1824";"-";"80";"600";"746";"1909";"6379";"-"
"Francisco Santos (PI)";"2577";"-";"738";"579";"452";"664";"8779";"-"
"Fronteiras (PI)";"8104";"-";"332";"1434";"7860";"17424";"14418";"-"
"Geminiano (PI)";"4746";"-";"309";"1245";"933";"2332";"26988";"-"
"Gilbués (PI)";"18069";"-";"829";"2508";"1991";"1274";"25347";"-"
"Guadalupe (PI)";"6201";"-";"388";"987";"3347";"2530";"5768";"-"
"Guaribas (PI)";"1324";"-";"33";"1025";"883";"98";"4558";"-"
"Hugo Napoleão (PI)";"2065";"-";"16";"661";"1261";"194";"37462";"-"
"Ilha Grande (PI)";"2568";"-";"132";"517";"259";"847";"1166";"-"
