"Município";"Bovino";"Bubalino";"Equino";"Suíno - total";"Caprino";"Ovino";"Galináceos - total";"Codornas"
"Inhuma (PI)";"5691";"-";"503";"7556";"4097";"3346";"47760";"-"
"Ipiranga do Piauí (PI)";"3277";"-";"138";"3120";"2193";"1502";"22184";"-"
"Isaías Coelho (PI)";"8243";"-";"737";"4172";"11160";"14138";"23789";"-"
"Itainópolis (PI)";"7958";"-";"879";"6947";"7290";"14844";"38348";"-"
"Itaueira (PI)";"12005";"-";"796";"5851";"8722";"8591";"36083";"-"
"Jacobina do Piauí (PI)";"12130";"-";"346";"1066";"4219";"30719";"11055";"-"
"Jaicós (PI)";"4663";"-";"544";"3617";"4266";"9150";"30561";"-"
"Jardim do Mulato (PI)";"3481";"-";"60";"1238";"2145";"397";"37093";"-"
"Jatobá do Piauí (PI)";"6923";"-";"477";"3696";"9534";"10143";"27969";"-"
"Jerumenha (PI)";"7884";"-";"974";"1271";"1352";"4921";"6684";"-"
"João Costa (PI)";"4658";"-";"332";"1110";"5619";"3485";"5878";"-"
"Joaquim Pires (PI)";"13426";"-";"763";"11753";"13903";"2884";"38088";"-"
"Joca Marques (PI)";"5401";"-";"124";"5328";"2822";"203";"15212";"-"
"José de Freitas (PI)";"14870";"48";"1744";"18582";"21979";"15970";"92475";"-"
"Juazeiro do Piauí (PI)";"6846";"-";"333";"5781";"14259";"1945";"24473";"-"
"Júlio Borges (PI)";"14026";"-";"493";"1523";"7399";"2620";"17356";"-"
"Jurema (PI)";"2444";"-";"374";"897";"1507";"3149";"7854";"-"
"Lagoinha do Piauí (PI)";"2248";"-";"6";"52";"756";"36";"6308";"-"
"Lagoa Alegre (PI)";"4121";"-";"161";"7013";"8541";"4899";"11643";"-"
"Lagoa do Barro do Piauí (PI)";"5698";"-";"607";"1189";"16603";"10748";"5285";"-"
"Lagoa de São Francisco (PI)";"1297";"-";"78";"3475";"9408";"1257";"9023";"-"
"Lagoa do Piauí (PI)";"2920";"-";"164";"3373";"5520";"2347";"240771";"-"
"Lagoa do Sítio (PI)";"4137";"-";"194";"5740";"4657";"4215";"20785";"-"
"Landri Sales (PI)";"8564";"6";"303";"1255";"1715";"1859";"13192";"-"
"Luís Correia (PI)";"10631";"-";"1095";"9845";"7518";"7174";"106296";"-"
"Luzilândia (PI)";"10102";"-";"268";"14734";"10619";"1271";"48160";"-"
"Madeiro (PI)";"4198";"7";"313";"4768";"2348";"359";"17945";"-"
"Manoel Emídio (PI)";"8010";"-";"363";"1167";"350";"996";"14698";"-"
"Marcolândia (PI)";"1278";"-";"59";"528";"133";"730";"4255";"-"
"Marcos Parente (PI)";"5640";"-";"230";"1544";"2268";"1837";"6531";"-"
"Massapê do Piauí (PI)";"4110";"-";"557";"2288";"3316";"11513";"10914";"-"
"Matias Olímpio (PI)";"3134";"67";"145";"5422";"4733";"888";"16360";"-"
"Miguel Alves (PI)";"7035";"10";"495";"25357";"12645";"2500";"66609";"-"
"Miguel Leão (PI)";"412";"-";"57";"866";"537";"390";"2123";"-"
"Milton Brandão (PI)";"4297";"-";"202";"8204";"18529";"6807";"20390";"-"
"Monsenhor Gil (PI)";"4208";"-";"220";"3374";"5628";"2632";"27599";"-"
"Monsenhor Hipólito (PI)";"3828";"-";"806";"2726";"358";"1092";"19295";"-"
"Monte Alegre do Piauí (PI)";"19971";"-";"570";"1544";"1234";"1913";"26122";"-"
"Morro Cabeça no Tempo (PI)";"9614";"-";"216";"668";"1543";"1915";"5735";"-"
"Morro do Chapéu do Piauí (PI)";"5155";"-";"113";"5313";"6055";"852";"10122";"-"
"Murici dos Portelas (PI)";"6044";"-";"580";"7443";"5717";"1523";"30949";"-"
"Nazaré do Piauí (PI)";"8625";"-";"755";"6169";"4273";"8054";"40894";"-"
"Nazária (PI)";"6207";"-";"141";"4365";"2707";"2239";"14151";"-"
"Nossa Senhora de Nazaré (PI)";"3157";"70";"1617";"7068";"4171";"9386";"15927";"-"
"Nossa Senhora dos Remédios (PI)";"2769";"-";"257";"9234";"4059";"764";"17806";"-"
"Novo Oriente do Piauí (PI)";"6740";"-";"259";"2702";"3840";"4941";"10623";"-"
"Novo Santo Antônio (PI)";"3453";"-";"599";"7549";"10916";"12490";"34495";"-"
"Oeiras (PI)";"15889";"-";"990";"9842";"17426";"11026";"51171";"-"
"Olho D'Água do Piauí (PI)";"3789";"-";"62";"371";"1028";"164";"2033";"-"
"Padre Marcos (PI)";"3003";"-";"320";"1475";"1898";"8189";"9358";"-"
"Paes Landim (PI)";"4929";"-";"450";"1677";"3443";"3109";"10776";"-"
"Pajeú do Piauí (PI)";"4873";"-";"309";"1655";"2774";"2893";"11786";"-"
"Palmeira do Piauí (PI)";"7652";"-";"174";"579";"1833";"480";"28627";"-"
"Palmeirais (PI)";"9095";"-";"154";"1817";"1867";"1101";"28031";"-"
"Paquetá (PI)";"4266";"-";"127";"2543";"1258";"2595";"12923";"-"
"Parnaguá (PI)";"40510";"-";"1406";"1923";"1367";"3692";"28394";"-"
"Parnaíba (PI)";"8469";"158";"174";"2449";"1118";"2289";"166574";"1902"
"Passagem Franca do Piauí (PI)";"3824";"-";"202";"2348";"4392";"3177";"19660";"-"
"Patos do Piauí (PI)";"5952";"-";"740";"3011";"5888";"14068";"15913";"-"
"Pau D'Arco do Piauí (PI)";"2082";"-";"285";"4991";"5873";"6738";"3834";"-"
"Paulistana (PI)";"14948";"-";"450";"3380";"9279";"29339";"14093";"-"
"Pavussu (PI)";"3566";"-";"246";"3330";"4258";"1929";"14221";"-"
"Pedro II (PI)";"7246";"-";"503";"15183";"21375";"9608";"54927";"-"
"Pedro Laurentino (PI)";"6311";"-";"205";"657";"4487";"3334";"4741";"-"
"Nova Santa Rita (PI)";"8697";"-";"399";"1670";"7958";"6063";"11438";"-"
"Picos (PI)";"12633";"-";"263";"4257";"859";"3320";"52027";"-"
"Pimenteiras (PI)";"12849";"-";"385";"4516";"7299";"7093";"25167";"-"
"Pio IX (PI)";"10177";"-";"1123";"5861";"9417";"24670";"28779";"-"
"Piracuruca (PI)";"14546";"-";"998";"14106";"18982";"11067";"39662";"-"
"Piripiri (PI)";"13372";"135";"780";"14040";"21418";"7315";"51456";"-"
"Porto (PI)";"3205";"4";"112";"5446";"2715";"225";"7929";"-"
"Porto Alegre do Piauí (PI)";"6368";"-";"332";"516";"2144";"1090";"6366";"-"
"Prata do Piauí (PI)";"1361";"-";"187";"1220";"3868";"2756";"2625";"-"
"Queimada Nova (PI)";"7463";"-";"619";"4146";"20252";"19744";"14554";"-"
"Redenção do Gurguéia (PI)";"14336";"-";"375";"827";"482";"350";"13988";"-"
"Regeneração (PI)";"6325";"-";"320";"5405";"8650";"4194";"53987";"-"
"Riacho Frio (PI)";"18976";"-";"839";"814";"245";"1752";"17780";"-"
"Ribeira do Piauí (PI)";"7295";"-";"357";"951";"4921";"3619";"5449";"-"
"Ribeiro Gonçalves (PI)";"12948";"-";"133";"1181";"70";"152";"89927";"-"
"Rio Grande do Piauí (PI)";"8528";"-";"266";"2154";"463";"7763";"11248";"-"
"Santa Cruz do Piauí (PI)";"6240";"-";"193";"1795";"2063";"3023";"9811";"-"
"Santa Cruz dos Milagres (PI)";"25272";"-";"349";"592";"7357";"5283";"4467";"-"
"Santa Filomena (PI)";"15952";"-";"265";"1348";"143";"608";"13730";"-"
"Santa Luz (PI)";"18648";"-";"222";"305";"428";"947";"7426";"-"
"Santana do Piauí (PI)";"1281";"-";"118";"679";"242";"37";"3321";"-"
"Santa Rosa do Piauí (PI)";"6907";"-";"225";"1099";"1267";"2455";"5860";"-"
"Santo Antônio de Lisboa (PI)";"2149";"-";"146";"763";"455";"1439";"5427";"-"
"Santo Antônio dos Milagres (PI)";"320";"-";"5";"169";"111";"17";"782";"-"
"Santo Inácio do Piauí (PI)";"4559";"-";"302";"1652";"2554";"4068";"6003";"-"
"São Braz do Piauí (PI)";"1239";"-";"439";"1416";"3099";"2430";"6847";"-"
"São Félix do Piauí (PI)";"5436";"-";"229";"1124";"7217";"6375";"5611";"-"
"São Francisco de Assis do Piauí (PI)";"5691";"-";"477";"2504";"12593";"7896";"9545";"-"
"São Francisco do Piauí (PI)";"8062";"-";"454";"3234";"8911";"5574";"15028";"-"
"São Gonçalo do Gurguéia (PI)";"6635";"-";"279";"1249";"242";"835";"8379";"-"
"São Gonçalo do Piauí (PI)";"3943";"-";"14";"314";"813";"311";"5618";"-"
"São João da Canabrava (PI)";"1604";"-";"103";"1945";"1444";"2024";"5052";"-"
"São João da Fronteira (PI)";"3126";"-";"240";"3618";"3020";"4224";"6379";"-"
"São João da Serra (PI)";"8964";"-";"1064";"7153";"13587";"18688";"33685";"-"
"São João da Varjota (PI)";"3081";"-";"87";"2379";"1557";"664";"8635";"-"
"São João do Arraial (PI)";"2085";"-";"58";"6263";"2815";"105";"19327";"-"
"São João do Piauí (PI)";"10624";"-";"692";"2763";"11882";"9345";"14999";"-"
"São José do Divino (PI)";"11178";"-";"420";"2722";"7138";"6515";"8872";"-"
"São José do Peixe (PI)";"6750";"-";"800";"2952";"5100";"8778";"10982";"-"
"São José do Piauí (PI)";"1792";"-";"348";"1499";"326";"112";"14183";"-"
"São Julião (PI)";"3120";"-";"131";"1329";"2951";"5651";"6171";"-"
"São Lourenço do Piauí (PI)";"2098";"-";"328";"3614";"19498";"12996";"17381";"-"
"São Luis do Piauí (PI)";"1629";"-";"70";"1389";"373";"713";"13088";"-"
"São Miguel da Baixa Grande (PI)";"2818";"-";"111";"1218";"2545";"3051";"2963";"-"
"São Miguel do Fidalgo (PI)";"5217";"-";"587";"3978";"3508";"5216";"22033";"-"
"São Miguel do Tapuio (PI)";"16801";"-";"1069";"10778";"21222";"23684";"88280";"-"
"São Pedro do Piauí (PI)";"7790";"-";"111";"1823";"1180";"347";"80820";"-"
"São Raimundo Nonato (PI)";"5234";"-";"646";"4315";"16908";"10671";"31062";"-"
"Sebastião Barros (PI)";"26558";"-";"1057";"1373";"1535";"3923";"21983";"-"
"Sebastião Leal (PI)";"10167";"-";"346";"726";"150";"790";"21323";"-"
"Sigefredo Pacheco (PI)";"7751";"-";"1114";"7874";"13878";"9968";"38384";"-"
"Simões (PI)";"9731";"-";"845";"2791";"3362";"20717";"22604";"-"
"Simplício Mendes (PI)";"16572";"-";"580";"1811";"6500";"9509";"10361";"-"
"Socorro do Piauí (PI)";"5005";"-";"216";"1348";"4716";"1330";"5505";"-"
"Sussuapara (PI)";"2423";"-";"25";"1242";"344";"601";"12039";"-"
"Tamboril do Piauí (PI)";"2253";"-";"184";"1392";"3447";"2465";"6351";"-"
"Tanque do Piauí (PI)";"1410";"-";"80";"1199";"3053";"417";"5646";"-"
"Teresina (PI)";"13642";"16";"402";"12301";"7689";"6374";"3676560";"21060"
"União (PI)";"10493";"-";"1100";"31906";"17740";"10352";"199167";"-"
"Uruçuí (PI)";"18309";"-";"551";"2890";"554";"566";"40361";"-"
"Valença do Piauí (PI)";"10054";"-";"233";"4240";"6138";"6018";"235747";"-"
"Várzea Branca (PI)";"1905";"-";"395";"1935";"7221";"3981";"9760";"-"
"Várzea Grande (PI)";"2168";"-";"95";"2129";"2131";"917";"19327";"-"
"Vera Mendes (PI)";"3331";"-";"291";"2198";"5011";"6318";"9750";"-"
"Vila Nova do Piauí (PI)";"2864";"-";"368";"1026";"474";"2904";"8419";"-"
"Wall Ferraz (PI)";"4466";"-";"216";"3383";"3070";"4732";"16954";"-"
