"Município";"1 - Alimentícios";"1.1 - Açaí (fruto)";"1.2 - Castanha-de-caju";"1.3 - Castanha-do-pará";"1.4 - Erva-mate";"1.5 - Mangaba (fruto)";"1.6 - Palmito";"1.7 - Pequi (fruto)";"1.8 - Pinhão";"1.9 - Umbu (fruto)";"1.10 - Outros";"2 - Aromáticos, medicinais, tóxicos e corantes";"2.1 - Ipecacuanha ou poaia (raiz)";"2.2 - Jaborandi (folha)";"2.3 - Urucum (semente)";"2.4 - Outros";"3 - Borrachas";"3.1 - Caucho";"3.2 - Hevea (látex coagulado)";"3.3 - Hevea (látex líquido)";"3.4 - Mangabeira";"4 - Ceras";"4.1 - Carnaúba (cera)";"4.2 - Carnaúba (pó)";"4.3 - Outras";"5 - Fibras";"5.1 - Buriti";"5.2 - Carnaúba";"5.3 - Piaçava";"5.4 - Outras";"6 - Gomas não elásticas";"6.1 - Balata";"6.2 - Maçaranduba";"6.3 - Sorva";"7.1 - Carvão vegetal";"7.2 - Lenha";"7.3 - Madeira em tora";"8 - Oleaginosos";"8.1 - Babaçu (amêndoa)";"8.2 - Copaíba (óleo)";"8.3 - Cumaru (amêndoa)";"8.4 - Licuri (coquilho)";"8.5 - Oiticica (semente)";"8.6 - Pequi (amêndoa)";"8.7 - Tucum (amêndoa)";"8.8 - Outros";"9.1 - Pinheiro brasileiro (nó de pinho)";"9.2 - Pinheiro brasileiro (árvores abatidas)";"9.3 - Pinheiro brasileiro (madeira em tora)";"10 - Tanantes";"10.1 - Angico (casca)";"10.2 - Barbatimão (casca)";"10.3 - Outros"
"Arraial (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"123";"-";"123";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"13";"19";"4";"1";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Assunção do Piauí (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"107";"-";"107";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"23";"253";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Avelino Lopes (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"38";"262";"132";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Baixa Grande do Ribeiro (PI)";"1";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"51";"742";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Barra D'Alcântara (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"121";"-";"121";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"19";"15";"4";"7";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Barras (PI)";"2";"-";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"1731";"-";"1731";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"507";"124";"40";"950";"926";"-";"-";"-";"-";"-";"24";"-";"-";"-";"-";"-";"-";"-";"-"
"Barreiras do Piauí (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"13";"9";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Barro Duro (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"38";"9";"1";"11";"11";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Batalha (PI)";"29";"-";"-";"-";"-";"-";"-";"29";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"2513";"-";"2513";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"64";"268";"133";"114";"103";"-";"-";"-";"-";"-";"11";"-";"-";"-";"-";"-";"-";"-";"-"
"Bela Vista do Piauí (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"88";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Belém do Piauí (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"34";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Beneditinos (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"1246";"-";"1246";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"75";"82";"16";"2";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Bertolínia (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"8";"27";"8";"8";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Betânia do Piauí (PI)";"0";"-";"-";"-";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"268";"15";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Boa Hora (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"42";"-";"42";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"79";"118";"7";"1";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-"
"Bocaina (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"53";"19";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Bom Jesus (PI)";"13";"-";"-";"-";"-";"-";"-";"0";"-";"-";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"82";"298";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Bom Princípio do Piauí (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"523";"-";"523";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"187";"165";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Bonfim do Piauí (PI)";"12";"-";"-";"-";"-";"-";"-";"-";"-";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"12";"10";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Boqueirão do Piauí (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"1170";"-";"1170";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"118";"4";"-";"39";"25";"-";"-";"-";"-";"-";"14";"-";"-";"-";"-";"-";"-";"-";"-"
"Brasileira (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"288";"-";"288";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"31";"365";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Brejo do Piauí (PI)";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"146";"-";"146";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"58";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Buriti dos Lopes (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"1376";"-";"1376";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"37";"160";"34";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Buriti dos Montes (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"3517";"-";"3517";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"66";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cabeceiras do Piauí (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"1219";"-";"1219";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"201";"19";"38";"136";"113";"-";"-";"-";"-";"-";"23";"-";"-";"-";"-";"-";"-";"-";"-"
"Cajazeiras do Piauí (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"15";"59";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cajueiro da Praia (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"435";"-";"435";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"102";"33";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Caldeirão Grande do Piauí (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5";"78";"17";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Campinas do Piauí (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"385";"-";"385";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"51";"69";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Campo Alegre do Fidalgo (PI)";"10";"-";"-";"-";"-";"-";"-";"-";"-";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"191";"8";"1";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Campo Grande do Piauí (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4";"25";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Campo Largo do Piauí (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"103";"-";"103";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"119";"6";"14";"433";"433";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Campo Maior (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"40";"-";"40";"-";"-";"-";"-";"-";"-";"...";"5830";"-";"5830";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"199";"105";"9";"55";"-";"-";"-";"-";"-";"-";"55";"-";"-";"-";"-";"-";"-";"-";"-"
"Canavieira (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"111";"-";"111";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"8";"56";"7";"3";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Canto do Buriti (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6";"182";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Capitão de Campos (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"96";"-";"96";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"124";"50";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Capitão Gervásio Oliveira (PI)";"2";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"8";"134";"24";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Caracol (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"91";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Caraúbas do Piauí (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"966";"-";"966";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"35";"44";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Caridade do Piauí (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"16";"123";"39";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Castelo do Piauí (PI)";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"4465";"-";"4465";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"384";"117";"10";"2";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Caxingó (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"744";"-";"744";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"30";"37";"15";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cocal (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"415";"-";"415";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"453";"214";"87";"148";"18";"-";"-";"-";"-";"-";"131";"-";"-";"-";"-";"-";"-";"-";"-"
"Cocal de Telha (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"525";"-";"525";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"102";"46";"-";"32";"23";"-";"-";"-";"-";"-";"9";"-";"-";"-";"-";"-";"-";"-";"-"
"Cocal dos Alves (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"463";"-";"463";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"30";"108";"-";"129";"6";"-";"-";"-";"-";"-";"123";"-";"-";"-";"-";"-";"-";"-";"-"
"Coivaras (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"605";"-";"605";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"32";"31";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Colônia do Gurguéia (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0";"11";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Colônia do Piauí (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"14";"197";"23";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Conceição do Canindé (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"1522";"-";"1522";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"70";"31";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Coronel José Dias (PI)";"2";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"169";"11";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Corrente (PI)";"1";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"262";"364";"285";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cristalândia do Piauí (PI)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"9";"113";"47";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cristino Castro (PI)";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"23";"26";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
