"Município";"Peixes";"Carpa";"Curimatã, curimbatá";"Dourado";"Jatuarana, piabanha e piracanjuba";"Lambari";"Matrinxã";"Pacu e patinga";"Piau, piapara, piauçu, piava";"Pintado, cachara, cachapira e pintachara, surubim";"Pirapitinga";"Pirarucu";"Tambacu, tambatinga";"Tambaqui";"Tilápia";"Traíra e trairão";"Truta";"Tucunaré";"Outros peixes";"Alevinos";"Camarão";"Larvas e pós-larvas de camarão";"Ostras, vieiras e mexilhões";"Sementes de moluscos";"Outros produtos (rã, jacaré, siri, caranguejo, lagosta, etc)"
"Brasil";"...";"167945";"33913";"1608";"5730";"5920";"49571";"86870";"32304";"177690";"17480";"34159";"442075";"1090494";"3485740";"8247";"35461";"2276";"30336";"408248";"2219825";"262394";"100412";"3059";"4382"
"Nordeste";"...";"1824";"26147";"48";"470";"10";"568";"16577";"10660";"6355";"218";"2618";"92279";"195785";"759585";"1957";"-";"673";"5723";"47178";"2205998";"261569";"3462";"100";"8"
"Piauí";"...";"36";"569";"-";"-";"-";"-";"-";"194";"438";"-";"28";"9522";"52556";"49115";"22";"-";"-";"2685";"4524";"54119";"6300";"-";"-";"-"
"Agricolândia (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"133";"40";"-";"-";"-";"41";"-";"-";"-";"-";"-";"-"
"Água Branca (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Alto Longá (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"234";"1144";"232";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Altos (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"50";"218";"163";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Alvorada do Gurguéia (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"48";"-";"18";"-";"181";"-";"-";"-";"-";"140";"-";"-";"-";"-";"-";"-"
"Amarante (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"381";"-";"-";"-";"-";"78";"-";"-";"-";"-";"-";"-"
"Angical do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"108";"56";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Anísio de Abreu (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"32";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Antônio Almeida (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"20";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Aroazes (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"144";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Arraial (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"66";"29";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Baixa Grande do Ribeiro (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"39";"171";"114";"14";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Barra D'Alcântara (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"122";"56";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Barras (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"356";"1423";"45";"-";"-";"-";"96";"-";"-";"-";"-";"-";"-"
"Barreiras do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"26";"108";"-";"-";"-";"-";"12";"-";"-";"-";"-";"-";"-"
"Barro Duro (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"158";"-";"-";"-";"-";"9";"-";"-";"-";"-";"-";"-"
"Batalha (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"157";"1793";"129";"-";"-";"-";"77";"-";"-";"-";"-";"-";"-"
"Belém do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"75";"19";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Beneditinos (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"137";"3110";"68";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Bertolínia (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"81";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Boa Hora (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"28";"14";"-";"-";"-";"8";"-";"-";"-";"-";"-";"-"
"Bocaina (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"28";"-";"-";"-";"-";"79";"1311";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Bom Jesus (PI)";"...";"-";"8";"-";"-";"-";"-";"-";"14";"-";"-";"-";"-";"221";"-";"-";"-";"-";"14";"-";"-";"-";"-";"-";"-"
"Bom Princípio do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
